序号,词名称,全局词频,文档频率,平均TF-IDF
1,盾构,61321,205,0.026781236956692354
2,施工,57965,205,0.02542735962172076
17162,櫆,188,2,0.02524727816124671
5620,锚索,319,3,0.022135821991695056
1629,风险,56411,203,0.02198299531199451
17753,櫅,196,2,0.021285640035640038
32811,00000,136,1,0.020890937019969278
20743,檵,98,1,0.020480668756530828
22674,定额,854,2,0.016469856830050117
43527,辅料,116,1,0.016024312750379886
27479,输水管线,76,1,0.015976455749421904
34297,櫂,96,1,0.015862524785194978
44854,桥隧,532,1,0.015673334708187256
15938,大沟,56,1,0.012655367231638417
107,隧道,28628,204,0.01236478794796119
17487,檾,96,1,0.012167300380228136
47147,脱壳,366,1,0.010975829184909735
447,中,21456,205,0.00908786791623514
39038,别墅,26,1,0.008956252152945229
17643,0524,46,1,0.00888030888030888
32944,民宅,50,2,0.008760167500701927
30470,三十八,22,1,0.008448540706605223
313,进行,20016,204,0.008246036278183072
30581,台阵,238,1,0.00818038083453633
3461,微动,679,3,0.007967242235442672
35703,陆守权,22,1,0.00785433773652267
179,地铁,19013,192,0.007751799359535799
29491,过湖,32,1,0.007697859032956459
11799,吊挂,19,2,0.00754363200993575
27374,中山站,28,1,0.007380073800738007
3928,评价,12433,120,0.007311652142286929
1058,安全,19068,200,0.007307055797580466
15936,京哈,64,2,0.007217681165876002
5781,西江,356,2,0.007109123917021844
11842,吊顶,8,1,0.007023705004389816
30207,东六环,32,1,0.00700832238282961
17607,槇,70,2,0.006943204121485439
41124,工香,28,1,0.006290721186250281
44002,牌楼,38,1,0.0061909416748126425
40358,合武,20,1,0.0061823802163833074
173,指标,10214,126,0.006056897571690376
9,工程,13140,205,0.005752146885296035
1325,注浆,9498,173,0.0057393855217726785
110,掘进,10788,187,0.005697479862108687
41791,皂,24,1,0.005510907003444317
14794,本体,2526,10,0.005407194835335465
30467,细柳,14,1,0.005376344086021506
12127,0000,146,4,0.0053405449852750786
35381,三刃,14,1,0.00529500756429652
29494,石门,22,1,0.005292278085157567
27376,广珠,20,1,0.005271481286241434
11828,钢脚,6,1,0.005267778753292362
13565,叠落,49,3,0.005260763836443704
23774,峨,54,2,0.0052527767190835425
30586,频散,152,1,0.005224444902729085
841,因素,12671,166,0.005154421344645073
15937,高速路,70,3,0.005101289622337685
