首实体,首实体类型,关系,尾实体,尾实体类型,关系ID,首实体ID,尾实体ID
结泥饼,故障名称,导致,总推力,掘进参数,0,58,59
结泥饼,故障名称,导致,扭矩,掘进参数,1,58,0
结泥饼,故障名称,导致,贯入度,掘进参数,2,58,1
结泥饼,故障名称,导致,刀盘,系统部位,3,58,2
总推力,掘进参数,导致,液压系统,系统部位,4,59,3
扭矩,掘进参数,导致,液压系统,系统部位,5,0,3
总推力,掘进参数,导致,作业环境,系统部位,6,59,4
扭矩,掘进参数,导致,作业环境,系统部位,7,0,4
刀盘,系统部位,导致,刀具,系统部位,8,2,5
结泥饼,故障名称,原因,刀盘中心开口率,主要原因,9,58,6
结泥饼,故障名称,主因,塑性指数,主要原因,10,58,7
结泥饼,故障名称,主因,掘进模式,主要原因,11,58,8
结泥饼,故障名称,主因,液性指数,主要原因,12,58,9
结泥饼,故障名称,次因,改良剂,次要原因,13,58,10
结泥饼,故障名称,次因,土仓,次要原因,14,58,11
结泥饼,故障名称,次因,刀具高差,次要原因,15,58,12
结泥饼,故障名称,次因,搅拌系统,次要原因,16,58,13
结泥饼,故障名称,次因,冲刷系统,次要原因,17,58,14
结泥饼,故障名称,次因,停机时间,次要原因,18,58,15
结泥饼,故障名称,次因,刀具布置,次要原因,19,58,16
结泥饼,故障名称,次因,螺旋输送器,次要原因,20,58,17
结泥饼,故障名称,次因,盾构机司机,次要原因,21,58,18
结泥饼,故障名称,次因,盾构设备,次要原因,22,58,19
结泥饼,故障名称,次因,地下水影响,次要原因,23,58,20
结泥饼,故障名称,原因,渣土改良的效果不佳,原因,24,58,21
改良剂,次要原因,表现,渣土改良的效果不佳,现象,25,10,22
塑性指数,主要原因,表现,土体黏度过高,现象,26,7,23
液性指数,主要原因,表现,土体黏度过高,现象,27,9,23
结泥饼,故障名称,方法,人工带压进仓清理,清理方法,28,58,24
刀具布置,次要原因,方法,割除不受力的限径肋板,方案,29,16,25
刀具布置,次要原因,方法,拆除过密的固定刮刀,方案,30,16,26
冲刷系统,次要原因,方法,改进中心冲刷,方案,31,14,27
掘进模式,主要原因,方法,气压辅助掘进,方案,32,8,28
改良剂,次要原因,方法,注入泡沫剂,方案,33,10,29
土仓,次要原因,方法,增加容积,方案,34,11,30
螺旋输送器,次要原因,方法,延长螺旋输送机的长度,方案,35,17,31
搅拌系统,次要原因,方法,重新设计搅拌棒，提高搅拌效率和土壤均匀性,方案,36,13,32
搅拌系统,次要原因,方法,定期检查和调整搅拌棒的性能,方案,37,13,33
盾构机司机,次要原因,方法,加强操作员的培训,方案,38,18,34
地下水影响,次要原因,方法,使用水泵和排水系统,方案,39,20,35
刀盘中心开口率,主要原因,方法,调整刀盘设计,方案,40,6,36
刀盘中心开口率,主要原因,方法,定期评估刀盘性能,方案,41,6,37
土仓,次要原因,方法,土仓压力平衡,方案,42,11,38
土体黏度过高,现象,方法,注入膨润剂,方案,43,23,39
盾构设备,次要原因,方法,定期维护和检修,方案,44,19,40
