Rank	Word	TF-IDF	TF	IDF
1	油缸	0.014418	0.0104	1.3912
2	滤芯	0.012422	0.0027	4.6299
3	故障	0.011501	0.0138	0.8344
4	齿轮油	0.011147	0.0032	3.5313
5	开关	0.011018	0.0035	3.1258
6	刀筒	0.010668	0.0025	4.2244
7	滚刀	0.010570	0.0058	1.8265
8	电机	0.009169	0.0037	2.4898
9	小车	0.008987	0.0024	3.7136
10	冲刷	0.008511	0.0037	2.2785
11	吊机	0.008422	0.0028	3.0204
12	吸盘	0.008284	0.0021	3.9367
13	维保	0.007979	0.0031	2.6150
14	刮刀	0.007632	0.0034	2.2320
15	更换	0.007472	0.0067	1.1183
16	油脂	0.007423	0.0047	1.5853
17	信号	0.007280	0.0033	2.2320
18	GIL	0.007064	0.0015	4.6299
19	球阀	0.006833	0.0023	3.0204
20	排障	0.006820	0.0015	4.6299
21	节流阀	0.006333	0.0014	4.6299
22	螺栓	0.006316	0.0047	1.3340
23	HBW	0.006223	0.0015	4.2244
24	计数	0.006223	0.0015	4.2244
25	电气	0.006197	0.0021	3.0204
26	苏通	0.006089	0.0013	4.6299
27	检查	0.006003	0.0091	0.6596
28	计数器	0.005846	0.0013	4.6299
29	打开	0.005631	0.0024	2.3786
30	闸板	0.005602	0.0012	4.6299
31	流量	0.005482	0.0031	1.7966
32	管路	0.005394	0.0031	1.7677
33	葫芦	0.005388	0.0015	3.5313
34	扬州	0.005385	0.0014	3.9367
35	瘦西湖	0.005385	0.0014	3.9367
36	闸阀	0.005385	0.0014	3.9367
37	信号线	0.005385	0.0014	3.9367
38	PROFIBUS	0.005359	0.0012	4.6299
39	泥浆泵	0.005290	0.0016	3.2436
40	限位	0.005202	0.0015	3.5313
41	传感器	0.005144	0.0026	1.9557
42	气动	0.004933	0.0016	3.1258
43	处理结果	0.004778	0.0015	3.2436
44	水泵	0.004769	0.0015	3.1258
45	仰拱块	0.004628	0.0010	4.6299
46	堵塞	0.004571	0.0024	1.8890
47	液压泵	0.004556	0.0012	3.9367
48	动作	0.004518	0.0017	2.6840
49	液压	0.004430	0.0031	1.4518
50	换刀	0.004420	0.0024	1.8265
51	油管	0.004384	0.0009	4.6299
52	SICK	0.004384	0.0009	4.6299
53	报警	0.004373	0.0023	1.8890
54	刹车	0.004266	0.0013	3.2436
55	线圈	0.004223	0.0010	4.2244
56	控制阀	0.004000	0.0009	4.2244
57	拆卸	0.003956	0.0017	2.2785
58	关闭	0.003956	0.0017	2.2785
59	马达	0.003909	0.0012	3.3771
60	刀臂	0.003897	0.0008	4.6299
61	刀具	0.003891	0.0057	0.6786
62	胶结	0.003852	0.0015	2.6150
63	砾岩	0.003814	0.0013	3.0204
64	接地	0.003731	0.0011	3.3771
65	描述	0.003711	0.0038	0.9663
66	调节	0.003627	0.0021	1.7677
67	是否	0.003589	0.0044	0.8122
68	回缩	0.003583	0.0011	3.2436
69	如图	0.003570	0.0078	0.4555
70	恢复正常	0.003517	0.0009	3.7136
71	现象	0.003467	0.0060	0.5781
72	董冰	0.003410	0.0007	4.6299
73	管廊	0.003405	0.0015	2.2320
74	泥浆	0.003392	0.0032	1.0745
75	实物图	0.003321	0.0009	3.7136
76	脉冲	0.003198	0.0009	3.3771
77	原因	0.003196	0.0054	0.5956
78	卡滞	0.003166	0.0007	4.6299
79	所示	0.003126	0.0087	0.3602
80	常见故障	0.003126	0.0008	3.7136
