Rank	Word	TF-IDF	TF	IDF
1	Tab	0.023572	0.0075	3.1258
2	Result	0.010214	0.0024	4.2244
3	违章操作	0.009896	0.0031	3.2436
4	Calculation	0.009193	0.0025	3.7136
5	起吊	0.008976	0.0039	2.3273
6	隶属	0.008816	0.0062	1.4312
7	大风	0.008172	0.0027	3.0204
8	Results	0.008029	0.0025	3.2436
9	专业学位	0.007978	0.0031	2.6150
10	Weight	0.007917	0.0025	3.1258
11	权重	0.007855	0.0083	0.9410
12	损失	0.007728	0.0108	0.7178
13	大连理工大学	0.007394	0.0031	2.3786
14	Frequency	0.006130	0.0013	4.6299
15	视点	0.006080	0.0014	4.2244
16	灾难性	0.005877	0.0024	2.4898
17	Loss	0.005666	0.0014	3.9367
18	Matrix	0.005666	0.0014	3.9367
19	CI	0.005415	0.0025	2.1875
20	掉落	0.005398	0.0020	2.7581
21	硕士学位	0.005224	0.0031	1.7121
22	得分	0.005111	0.0025	2.0649
23	Consistency	0.005107	0.0012	4.2244
24	Judgment	0.004986	0.0013	3.9367
25	安拆	0.004864	0.0012	4.2244
26	Test	0.004276	0.0012	3.7136
27	基座	0.004070	0.0023	1.7677
28	论文	0.004070	0.0031	1.3340
29	堆载	0.004066	0.0012	3.5313
30	改良	0.004015	0.0032	1.2455
31	of	0.003974	0.0077	0.5190
32	Risk	0.003890	0.0040	0.9792
33	分解	0.003885	0.0030	1.2977
34	故障	0.003843	0.0046	0.8344
35	RI	0.003804	0.0017	2.2785
36	始发	0.003675	0.0071	0.5190
37	Analytic	0.003554	0.0013	2.6840
38	偏心	0.003536	0.0012	2.9251
39	Hierarchy	0.003524	0.0014	2.5504
40	一致性	0.003513	0.0028	1.2455
41	过低	0.003478	0.0012	3.0204
42	矩阵	0.003441	0.0039	0.8922
43	焊接	0.003441	0.0023	1.4944
44	事件	0.003390	0.0038	0.8922
45	混乱	0.003334	0.0012	2.7581
46	死亡	0.003319	0.0017	1.9218
47	围护结构	0.003310	0.0018	1.7966
48	项目风险	0.003299	0.0020	1.6854
49	过量	0.003239	0.0010	3.1258
50	未经检验	0.003198	0.0007	4.6299
51	易燃物	0.003173	0.0008	3.9367
52	扣头	0.003173	0.0008	3.9367
53	不当	0.003158	0.0037	0.8571
54	特征向量	0.003087	0.0014	2.1450
55	概率	0.003041	0.0035	0.8804
56	评价	0.002974	0.0056	0.5272
57	不佳	0.002955	0.0013	2.2320
58	风险管理	0.002944	0.0056	0.5272
59	Process	0.002853	0.0014	2.0649
60	识别	0.002853	0.0041	0.6883
61	生产	0.002816	0.0028	1.0189
62	人员	0.002810	0.0074	0.3814
63	接受	0.002802	0.0021	1.3157
64	估计	0.002780	0.0015	1.8573
65	计算错误	0.002779	0.0007	3.7136
66	水平	0.002768	0.0099	0.2796
67	CR	0.002754	0.0012	2.2785
68	水涌	0.002685	0.0020	1.3718
69	失火	0.002675	0.0006	4.2244
70	合格	0.002674	0.0018	1.4518
71	时涌	0.002665	0.0006	4.6299
72	反力	0.002555	0.0016	1.5853
73	完善	0.002527	0.0036	0.7079
74	WBS	0.002524	0.0014	1.8265
75	可燃	0.002493	0.0006	3.9367
76	计算结果	0.002489	0.0025	1.0055
77	基坑	0.002438	0.0020	1.2455
78	万元	0.002437	0.0010	2.4898
79	Cont	0.002432	0.0006	4.2244
80	灭火器	0.002427	0.0007	3.2436
