Rank	Word	TF-IDF	TF	IDF
1	大厦	0.045082	0.0115	3.9367
2	锚索	0.045082	0.0115	3.9367
3	滨海	0.021409	0.0061	3.5313
4	电力	0.020916	0.0115	1.8265
5	阳光	0.019920	0.0047	4.2244
6	转运站	0.015594	0.0034	4.6299
7	旋挖	0.013259	0.0034	3.9367
8	科苑	0.012475	0.0027	4.6299
9	金融	0.011894	0.0034	3.5313
10	秀丽	0.011894	0.0034	3.5313
11	大楼	0.011383	0.0027	4.2244
12	卓越	0.011375	0.0034	3.3771
13	保险	0.010744	0.0047	2.2785
14	燃气	0.010651	0.0044	2.4326
15	总部	0.010608	0.0027	3.9367
16	南方电网	0.009356	0.0020	4.6299
17	垃圾	0.009290	0.0034	2.7581
18	围护结构	0.009077	0.0051	1.7966
19	正线	0.008808	0.0034	2.6150
20	立交	0.008422	0.0027	3.1258
21	地下室	0.008326	0.0024	3.5313
22	跟踪	0.007713	0.0054	1.4312
23	深圳	0.006653	0.0047	1.4110
24	住宅	0.006555	0.0027	2.4326
25	舜远	0.006238	0.0013	4.6299
26	及舜远	0.006238	0.0013	4.6299
27	基坑	0.005873	0.0047	1.2455
28	调压	0.005691	0.0013	4.2244
29	预应力	0.005574	0.0020	2.7581
30	分量	0.005424	0.0020	2.6840
31	构筑物	0.005419	0.0054	1.0055
32	正穿	0.005304	0.0013	3.9367
33	各外	0.005304	0.0013	3.9367
34	实行	0.005270	0.0027	1.9557
35	轮廓	0.005154	0.0020	2.5504
36	竖向	0.005135	0.0047	1.0889
37	国际	0.005033	0.0034	1.4944
38	适时	0.005032	0.0020	2.4898
39	深圳市	0.005003	0.0013	3.7136
40	袖阀	0.004916	0.0020	2.4326
41	里程	0.004858	0.0061	0.8012
42	间距	0.004663	0.0061	0.7691
43	增刊	0.004605	0.0020	2.2785
44	向北	0.004550	0.0013	3.3771
45	侵入	0.004511	0.0020	2.2320
46	应对	0.004219	0.0074	0.5694
47	桩体	0.004069	0.0013	3.0204
48	花岗岩	0.004023	0.0020	1.9908
49	大道	0.004023	0.0020	1.9908
50	超挖	0.003969	0.0027	1.4729
51	高压	0.003749	0.0027	1.3912
52	起止	0.003716	0.0013	2.7581
53	信息化	0.003595	0.0027	1.3340
54	重大	0.003524	0.0034	1.0463
55	多个	0.003311	0.0027	1.2287
56	处下	0.003277	0.0010	3.2436
57	单液	0.003277	0.0013	2.4326
58	加大	0.003137	0.0027	1.1641
59	申国奎	0.003119	0.0007	4.6299
60	线拟	0.003119	0.0007	4.6299
61	砾质	0.003119	0.0007	4.6299
62	出后	0.003119	0.0007	4.6299
63	海站	0.003119	0.0007	4.6299
64	入科苑	0.003119	0.0007	4.6299
65	多米	0.003119	0.0007	4.6299
66	穿舜远	0.003119	0.0007	4.6299
67	界内	0.003119	0.0007	4.6299
68	段侧	0.003119	0.0007	4.6299
69	及次	0.003119	0.0007	4.6299
70	海科	0.003119	0.0007	4.6299
71	群应	0.003119	0.0007	4.6299
72	绞住	0.003119	0.0007	4.6299
73	孔预	0.003119	0.0007	4.6299
74	坚向	0.003119	0.0007	4.6299
75	索后	0.003119	0.0007	4.6299
76	阀管	0.003119	0.0007	4.6299
77	以尽	0.003119	0.0007	4.6299
78	前施	0.003119	0.0007	4.6299
79	边建	0.003119	0.0007	4.6299
80	郑永军	0.003119	0.0007	4.6299
