Rank	Word	TF-IDF	TF	IDF
1	西江	0.065402	0.0155	4.2244
2	股份	0.014437	0.0051	2.8381
3	穿巧	0.010240	0.0022	4.6299
4	研巧	0.010240	0.0022	4.6299
5	巧巧	0.008192	0.0018	4.6299
6	救援	0.006869	0.0035	1.9908
7	巧道	0.006554	0.0014	4.6299
8	应急	0.006208	0.0080	0.7797
9	风检	0.006144	0.0013	4.6299
10	上海	0.004789	0.0041	1.1641
11	借助于	0.004599	0.0012	3.7136
12	巧工	0.004506	0.0010	4.6299
13	风险管理	0.004198	0.0080	0.5272
14	穿巧项	0.003686	0.0008	4.6299
15	王程	0.003482	0.0008	4.6299
16	有巧	0.003277	0.0007	4.6299
17	巧况	0.003072	0.0007	4.6299
18	被评	0.002786	0.0007	3.9367
19	事物	0.002595	0.0013	1.9557
20	极少	0.002588	0.0009	2.9251
21	大堤	0.002583	0.0008	3.2436
22	演练	0.002583	0.0011	2.4326
23	化工	0.002511	0.0009	2.8381
24	定级	0.002489	0.0008	3.1258
25	上巧巧巧	0.002458	0.0005	4.6299
26	级别	0.002406	0.0017	1.4312
27	专用	0.002315	0.0010	2.3786
28	回灌	0.002300	0.0006	3.7136
29	掩埋	0.002300	0.0006	3.7136
30	天然气	0.002256	0.0009	2.5504
31	江水	0.002187	0.0006	3.5313
32	进出	0.002183	0.0015	1.4518
33	偶尔	0.002152	0.0009	2.4326
34	后果	0.002124	0.0016	1.2977
35	第二	0.002115	0.0014	1.4944
36	可能	0.002078	0.0074	0.2796
37	北岸	0.002070	0.0007	2.9251
38	步巧	0.002048	0.0004	4.6299
39	影巧	0.002048	0.0004	4.6299
40	这篇	0.002048	0.0004	4.6299
41	识别	0.002009	0.0029	0.6883
42	广东省	0.002009	0.0006	3.2436
43	有限公司	0.001990	0.0046	0.4327
44	隧址	0.001971	0.0005	3.7136
45	可能性	0.001952	0.0015	1.2977
46	管网	0.001937	0.0008	2.4326
47	控制性	0.001936	0.0006	3.1258
48	刀头	0.001936	0.0006	3.1258
49	致险	0.001898	0.0009	2.1450
50	非常	0.001881	0.0019	0.9663
51	南岸	0.001870	0.0006	3.0204
52	发生	0.001827	0.0115	0.1582
53	等级	0.001764	0.0031	0.5781
54	经常	0.001762	0.0011	1.6594
55	项目	0.001743	0.0070	0.2478
56	对讲机	0.001741	0.0004	3.9367
57	答案	0.001741	0.0004	3.9367
58	问卷	0.001725	0.0009	1.8573
59	地下工程	0.001713	0.0017	1.0189
60	一个	0.001699	0.0033	0.5190
61	人们	0.001683	0.0011	1.5853
62	穿越	0.001639	0.0073	0.2231
63	巧塌	0.001638	0.0004	4.6299
64	上巧巧	0.001638	0.0004	4.6299
65	施王	0.001638	0.0004	4.6299
66	巧应	0.001638	0.0004	4.6299
67	巧理	0.001638	0.0004	4.6299
68	度道	0.001638	0.0004	4.6299
69	地霖	0.001638	0.0004	4.6299
70	曾理	0.001638	0.0004	4.6299
71	部口	0.001638	0.0004	4.6299
72	概率	0.001636	0.0019	0.8804
73	偏移	0.001615	0.0010	1.6594
74	应当	0.001615	0.0010	1.6594
75	具备	0.001604	0.0014	1.1334
76	公司	0.001587	0.0013	1.1959
77	结构性	0.001562	0.0004	3.5313
78	急救	0.001562	0.0004	3.5313
79	相对来说	0.001494	0.0004	3.3771
80	指挥部	0.001494	0.0004	3.3771
