Rank	Word	TF-IDF	TF	IDF
1	石油	0.065419	0.0209	3.1258
2	管道	0.028929	0.0235	1.2287
3	含砾	0.025747	0.0065	3.9367
4	补浆	0.016057	0.0072	2.2320
5	黄埔	0.013814	0.0033	4.2244
6	墩台	0.013252	0.0039	3.3771
7	mm	0.012924	0.0137	0.9410
8	砂岩	0.011236	0.0072	1.5618
9	bar	0.010431	0.0046	2.2785
10	灌注桩	0.010218	0.0046	2.2320
11	试验段	0.009101	0.0052	1.7395
12	孔令展	0.009084	0.0020	4.6299
13	庙头路	0.009084	0.0020	4.6299
14	每环	0.008305	0.0059	1.4110
15	东延段	0.008289	0.0020	4.2244
16	方桩	0.008289	0.0020	4.2244
17	监测数据	0.008216	0.0085	0.9663
18	pipeline	0.008177	0.0026	3.1258
19	警戒	0.007652	0.0026	2.9251
20	桥墩	0.007610	0.0033	2.3273
21	值为	0.007488	0.0052	1.4312
22	危险品	0.007286	0.0020	3.7136
23	保护区	0.006929	0.0020	3.5313
24	出碴量	0.006056	0.0013	4.6299
25	或监	0.006056	0.0013	4.6299
26	桩基	0.006039	0.0039	1.5388
27	东路	0.005961	0.0026	2.2785
28	bridge	0.005569	0.0020	2.8381
29	夏园	0.005526	0.0013	4.2244
30	风化	0.005182	0.0059	0.8804
31	最佳时机	0.005149	0.0013	3.9367
32	坐标轴	0.005149	0.0013	3.9367
33	Petroleum	0.004858	0.0013	3.7136
34	Pipeline	0.004858	0.0013	3.7136
35	改建	0.004858	0.0013	3.7136
36	截图	0.004858	0.0013	3.7136
37	钻孔	0.004854	0.0046	1.0603
38	转速	0.004568	0.0039	1.1641
39	土仓	0.004543	0.0046	0.9923
40	位移	0.004485	0.0052	0.8571
41	oil	0.004417	0.0013	3.3771
42	管廊	0.004379	0.0020	2.2320
43	竖向	0.004273	0.0039	1.0889
44	implemented	0.004243	0.0013	3.2436
45	比为	0.004243	0.0013	3.2436
46	不得	0.004128	0.0020	2.1041
47	五号线	0.004089	0.0013	3.1258
48	动态平衡	0.004089	0.0013	3.1258
49	mmd	0.004089	0.0013	3.1258
50	停止	0.004073	0.0033	1.2455
51	桥梁	0.004073	0.0033	1.2455
52	the	0.003974	0.0072	0.5523
53	Bridge	0.003951	0.0013	3.0204
54	道桥	0.003951	0.0013	3.0204
55	匀速	0.003906	0.0020	1.9908
56	means	0.003712	0.0013	2.8381
57	频率	0.003514	0.0033	1.0745
58	特大	0.003511	0.0013	2.6840
59	Road	0.003511	0.0013	2.6840
60	underneath	0.003511	0.0013	2.6840
61	广州市	0.003420	0.0013	2.6150
62	OF	0.003420	0.0013	2.6150
63	时间段	0.003420	0.0013	2.6150
64	下坡	0.003257	0.0013	2.4898
65	累计	0.003214	0.0026	1.2287
66	趋于稳定	0.003111	0.0013	2.3786
67	二次	0.003107	0.0046	0.6786
68	本构	0.003044	0.0013	2.3273
69	北京建工集团	0.003028	0.0007	4.6299
70	HUGE	0.003028	0.0007	4.6299
71	SOURCE	0.003028	0.0007	4.6299
72	PIPELINE	0.003028	0.0007	4.6299
73	BRIDGE	0.003028	0.0007	4.6299
74	KONG	0.003028	0.0007	4.6299
75	zhan	0.003028	0.0007	4.6299
76	Miaotou	0.003028	0.0007	4.6299
77	StationXiayuan	0.003028	0.0007	4.6299
78	Geqiangbei	0.003028	0.0007	4.6299
79	simultaneously	0.003028	0.0007	4.6299
80	petroleum	0.003028	0.0007	4.6299
