Rank	Word	TF-IDF	TF	IDF
1	扭转	0.015814	0.0059	2.6840
2	吊运	0.015320	0.0052	2.9251
3	单杠	0.015155	0.0033	4.6299
4	喷口	0.014587	0.0039	3.7136
5	优化	0.013947	0.0334	0.4177
6	硬岩	0.011590	0.0072	1.6094
7	广恒	0.009093	0.0020	4.6299
8	泥板	0.009093	0.0020	4.6299
9	制冷系统	0.008297	0.0020	4.2244
10	载荷	0.008185	0.0026	3.1258
11	称重	0.008185	0.0026	3.1258
12	双模	0.007660	0.0026	2.9251
13	接口	0.007458	0.0033	2.2785
14	新村	0.007293	0.0020	3.7136
15	滚刀	0.007174	0.0039	1.8265
16	Innovation	0.006370	0.0020	3.2436
17	后退	0.006370	0.0026	2.4326
18	李艳斌	0.006062	0.0013	4.6299
19	广园	0.006062	0.0013	4.6299
20	技术改造	0.006062	0.0013	4.6299
21	体防	0.006062	0.0013	4.6299
22	EPBTBM	0.006062	0.0013	4.6299
23	皮带机	0.005932	0.0020	3.0204
24	进仓	0.005745	0.0020	2.9251
25	TBM	0.005703	0.0039	1.4518
26	machine	0.005604	0.0033	1.7121
27	design	0.005604	0.0033	1.7121
28	恒福路	0.005531	0.0013	4.2244
29	高尔夫	0.005531	0.0013	4.2244
30	超欠	0.005531	0.0013	4.2244
31	渣土	0.005480	0.0052	1.0463
32	广深	0.005154	0.0013	3.9367
33	拌制	0.005154	0.0013	3.9367
34	the	0.005062	0.0092	0.5523
35	经济效益	0.005033	0.0026	1.9218
36	and	0.004937	0.0098	0.5027
37	改良	0.004892	0.0039	1.2455
38	舒适性	0.004862	0.0013	3.7136
39	performance	0.004778	0.0020	2.4326
40	改善	0.004761	0.0039	1.2121
41	出渣	0.004752	0.0033	1.4518
42	能够	0.004702	0.0098	0.4788
43	剪切	0.004571	0.0020	2.3273
44	可视化	0.004555	0.0026	1.7395
45	土仓	0.004547	0.0046	0.9923
46	创新	0.004512	0.0039	1.1486
47	干涉	0.004422	0.0013	3.3771
48	故障率	0.004422	0.0013	3.3771
49	提升	0.004289	0.0059	0.7279
50	便捷	0.004133	0.0020	2.1041
51	断裂带	0.004093	0.0013	3.1258
52	双液	0.004090	0.0026	1.5618
53	配置	0.004056	0.0039	1.0326
54	灰岩	0.004055	0.0020	2.0649
55	刀盘	0.004008	0.0111	0.3602
56	里面	0.003830	0.0013	2.9251
57	尤为重要	0.003774	0.0020	1.9218
58	皮带	0.003716	0.0013	2.8381
59	Application	0.003648	0.0020	1.8573
60	换刀	0.003587	0.0020	1.8265
61	温度	0.003529	0.0020	1.7966
62	machines	0.003514	0.0013	2.6840
63	西路	0.003514	0.0013	2.6840
64	长约	0.003514	0.0013	2.6840
65	适应	0.003493	0.0026	1.3340
66	项目	0.003407	0.0137	0.2478
67	of	0.003398	0.0065	0.5190
68	整机	0.003339	0.0013	2.5504
69	工效	0.003339	0.0013	2.5504
70	its	0.003310	0.0020	1.6854
71	盾体	0.003310	0.0020	1.6854
72	设计	0.003247	0.0334	0.0973
73	公园	0.003185	0.0013	2.4326
74	中土	0.003185	0.0013	2.4326
75	转速	0.003048	0.0026	1.1641
76	预留	0.003048	0.0026	1.1641
77	两台	0.003047	0.0013	2.3273
78	optimization	0.003047	0.0013	2.3273
79	But	0.003031	0.0007	4.6299
80	comfort	0.003031	0.0007	4.6299
