Rank	Word	TF-IDF	TF	IDF
1	双模	0.013020	0.0045	2.9251
2	换刀	0.009033	0.0049	1.8265
3	选型	0.008592	0.0099	0.8687
4	称重	0.007729	0.0025	3.1258
5	检测	0.007328	0.0089	0.8232
6	Equipment	0.007233	0.0025	2.9251
7	TBM	0.007180	0.0049	1.4518
8	旱塘	0.006869	0.0015	4.6299
9	新阳	0.006869	0.0015	4.6299
10	王杜娟	0.006869	0.0015	4.6299
11	土压	0.006379	0.0114	0.5608
12	双模式	0.006268	0.0015	4.2244
13	邕江	0.006268	0.0015	4.2244
14	冷冻管	0.006268	0.0015	4.2244
15	铰接	0.005907	0.0030	1.9908
16	规避	0.005544	0.0045	1.2455
17	常压	0.005519	0.0025	2.2320
18	泥水	0.005473	0.0069	0.7904
19	气体	0.005327	0.0035	1.5388
20	部件	0.004671	0.0025	1.8890
21	景云路	0.004579	0.0010	4.6299
22	偏线	0.004579	0.0010	4.6299
23	泥岩	0.004517	0.0025	1.8265
24	皮带机	0.004481	0.0015	3.0204
25	定向	0.004481	0.0015	3.0204
26	泵送	0.004340	0.0015	2.9251
27	Project	0.004301	0.0025	1.7395
28	自稳性	0.004211	0.0015	2.8381
29	恒福路	0.004178	0.0010	4.2244
30	堵仓	0.004178	0.0010	4.2244
31	如果	0.004071	0.0054	0.7483
32	效率	0.003905	0.0054	0.7178
33	跳闸	0.003894	0.0010	3.9367
34	砂浆	0.003802	0.0020	1.9218
35	江底	0.003784	0.0015	2.5504
36	模式	0.003674	0.0040	0.9286
37	conmec	0.003673	0.0010	3.7136
38	单护盾	0.003673	0.0010	3.7136
39	水平衡	0.003673	0.0010	3.7136
40	新刀	0.003673	0.0010	3.7136
41	纠偏	0.003646	0.0030	1.2287
42	冷冻	0.003609	0.0015	2.4326
43	配置	0.003575	0.0035	1.0326
44	破岩	0.003453	0.0015	2.3273
45	浓度	0.003453	0.0015	2.3273
46	MECHANIZATION	0.003340	0.0010	3.3771
47	摆动	0.003340	0.0010	3.3771
48	主控室	0.003208	0.0010	3.2436
49	路站	0.003182	0.0015	2.1450
50	主动	0.003136	0.0020	1.5853
51	系统	0.003112	0.0109	0.2861
52	滞排	0.003092	0.0010	3.1258
53	Shield	0.003048	0.0035	0.8804
54	刀盘	0.003028	0.0084	0.3602
55	主机	0.003008	0.0015	2.0272
56	壁后	0.003000	0.0020	1.5163
57	设备	0.002971	0.0104	0.2861
58	软弱	0.002918	0.0025	1.1799
59	有害	0.002902	0.0015	1.9557
60	电源	0.002893	0.0010	2.9251
61	瓦斯	0.002893	0.0010	2.9251
62	姿态	0.002840	0.0040	0.7178
63	切断	0.002807	0.0010	2.8381
64	贵阳	0.002807	0.0010	2.8381
65	效益	0.002756	0.0015	1.8573
66	泥饼	0.002710	0.0015	1.8265
67	刀具	0.002685	0.0040	0.6786
68	机械化	0.002676	0.0020	1.3527
69	四大	0.002655	0.0010	2.6840
70	示意图	0.002622	0.0025	1.0603
71	渣土	0.002587	0.0025	1.0463
72	功能	0.002578	0.0030	0.8687
73	同一	0.002532	0.0020	1.2800
74	辐条	0.002463	0.0010	2.4898
75	洞外	0.002463	0.0010	2.4898
76	断面	0.002451	0.0035	0.7079
77	泥膜	0.002406	0.0010	2.4326
78	盘结	0.002353	0.0010	2.3786
79	砂岩	0.002317	0.0015	1.5618
80	CONSTRUCTION	0.002302	0.0010	2.3273
