Rank	Word	TF-IDF	TF	IDF
1	SSP	0.016830	0.0040	4.2244
2	溶洞	0.016233	0.0089	1.8265
3	定稿	0.015684	0.0040	3.9367
4	TSP	0.012946	0.0031	4.2244
5	和平	0.011652	0.0028	4.2244
6	岩溶	0.011085	0.0080	1.3912
7	探测	0.009762	0.0049	1.9908
8	超前	0.009414	0.0074	1.2800
9	录用	0.009315	0.0028	3.3771
10	首发	0.009062	0.0021	4.2244
11	黄鹤楼	0.007804	0.0017	4.6299
12	稿件	0.007768	0.0018	4.2244
13	整期	0.007094	0.0015	4.6299
14	探测器	0.007094	0.0015	4.6299
15	出版	0.006840	0.0031	2.2320
16	棚户区	0.006829	0.0018	3.7136
17	武昌	0.006032	0.0015	3.9367
18	不均	0.005944	0.0049	1.2121
19	任士房	0.005676	0.0012	4.6299
20	大道	0.005491	0.0028	1.9908
21	软硬	0.005426	0.0034	1.6094
22	网络版	0.005179	0.0012	4.2244
23	京广铁路	0.005179	0.0012	4.2244
24	地震	0.004985	0.0029	1.7121
25	南延	0.004826	0.0012	3.9367
26	发育	0.004690	0.0034	1.3912
27	汇编	0.004552	0.0012	3.7136
28	of	0.004453	0.0086	0.5190
29	涂文博	0.004257	0.0009	4.6299
30	古城区	0.004257	0.0009	4.6299
31	胜像	0.004257	0.0009	4.6299
32	宝塔	0.004257	0.0009	4.6299
33	和平号	0.004257	0.0009	4.6299
34	Fig	0.004196	0.0021	1.9557
35	钻机	0.004190	0.0018	2.2785
36	tunnel	0.004147	0.0049	0.8457
37	shield	0.004065	0.0064	0.6317
38	刀高	0.003983	0.0011	3.7136
39	南延线	0.003976	0.0012	3.2436
40	排版	0.003976	0.0012	3.2436
41	滚刀	0.003918	0.0021	1.8265
42	房屋	0.003918	0.0021	1.8265
43	technology	0.003887	0.0025	1.5853
44	中山路	0.003884	0.0009	4.2244
45	武昌区	0.003884	0.0009	4.2244
46	硅质	0.003884	0.0009	4.2244
47	Railway	0.003792	0.0021	1.7677
48	刀具	0.003744	0.0055	0.6786
49	配备	0.003718	0.0025	1.5163
50	民房	0.003703	0.0012	3.0204
51	景区	0.003619	0.0009	3.9367
52	地震波	0.003619	0.0009	3.9367
53	老旧	0.003586	0.0012	2.9251
54	压进	0.003586	0.0012	2.9251
55	破碎	0.003579	0.0028	1.2977
56	坚硬	0.003420	0.0015	2.2320
57	super	0.003414	0.0009	3.7136
58	预报	0.003304	0.0018	1.7966
59	期刊	0.003290	0.0012	2.6840
60	武汉	0.003250	0.0031	1.0603
61	TU	0.003247	0.0009	3.5313
62	学术期刊	0.003247	0.0009	3.5313
63	karst	0.003206	0.0012	2.6150
64	machine	0.003148	0.0018	1.7121
65	boring	0.003126	0.0012	2.5504
66	反射	0.003105	0.0009	3.3771
67	Yangtze	0.003105	0.0009	3.3771
68	网络	0.003082	0.0031	1.0055
69	and	0.003081	0.0061	0.5027
70	洞内	0.003027	0.0021	1.4110
71	宽约	0.002982	0.0009	3.2436
72	wear	0.002874	0.0009	3.1258
73	充填	0.002872	0.0018	1.5618
74	版式	0.002838	0.0006	4.6299
75	印刷	0.002838	0.0006	4.6299
76	航务	0.002838	0.0006	4.6299
77	Heping	0.002838	0.0006	4.6299
78	古城	0.002838	0.0006	4.6299
79	顺江	0.002838	0.0006	4.6299
80	张之洞	0.002838	0.0006	4.6299
