Rank	Word	TF-IDF	TF	IDF
1	III	0.015057	0.0089	1.6854
2	机电设备	0.013199	0.0039	3.3771
3	锦江	0.012441	0.0034	3.7136
4	预案	0.010829	0.0089	1.2121
5	海昌	0.009435	0.0022	4.2244
6	城站	0.008792	0.0022	3.9367
7	地连墙	0.008726	0.0028	3.1258
8	应急	0.008707	0.0112	0.7797
9	洪水	0.008432	0.0028	3.0204
10	车站	0.008093	0.0084	0.9663
11	路站	0.007186	0.0034	2.1450
12	编制	0.006991	0.0050	1.3912
13	立刻	0.006791	0.0028	2.4326
14	基坑	0.006259	0.0050	1.2455
15	泥岩	0.006119	0.0034	1.8265
16	BIM	0.005840	0.0022	2.6150
17	抢险	0.005561	0.0022	2.4898
18	换乘	0.005561	0.0022	2.4898
19	等级	0.005487	0.0095	0.5781
20	加油站	0.005236	0.0017	3.1258
21	鞍山	0.005170	0.0011	4.6299
22	干粉	0.005170	0.0011	4.6299
23	事件	0.004982	0.0056	0.8922
24	河道	0.004446	0.0022	1.9908
25	天府	0.004396	0.0011	3.9367
26	CMM	0.004396	0.0011	3.9367
27	CONSUMERS	0.004396	0.0011	3.9367
28	火警	0.004396	0.0011	3.9367
29	围护结构	0.004013	0.0022	1.7966
30	把关	0.003943	0.0011	3.5313
31	边墙	0.003943	0.0011	3.5313
32	灭火	0.003771	0.0011	3.3771
33	灭火器	0.003622	0.0011	3.2436
34	土建	0.003593	0.0017	2.1450
35	世纪	0.003541	0.0022	1.5853
36	管线	0.003532	0.0067	0.5272
37	火灾事故	0.003491	0.0011	3.1258
38	风化	0.003441	0.0039	0.8804
39	钙质	0.003373	0.0011	3.0204
40	号线	0.003362	0.0073	0.4632
41	联络	0.003289	0.0022	1.4729
42	塌方	0.003242	0.0022	1.4518
43	控制措施	0.003238	0.0061	0.5272
44	原则	0.003206	0.0045	0.7178
45	专项	0.003196	0.0022	1.4312
46	评判	0.003196	0.0022	1.4312
47	通道	0.003132	0.0039	0.8012
48	矩阵	0.002989	0.0034	0.8922
49	预防措施	0.002961	0.0017	1.7677
50	渗漏	0.002938	0.0022	1.3157
51	青岛市	0.002920	0.0011	2.6150
52	路基	0.002914	0.0017	1.7395
53	后果	0.002898	0.0022	1.2977
54	评审	0.002848	0.0011	2.5504
55	类别	0.002820	0.0022	1.2626
56	工程机械	0.002780	0.0011	2.4898
57	模板	0.002780	0.0011	2.4898
58	编写	0.002717	0.0011	2.4326
59	建模	0.002656	0.0017	1.5853
60	青岛	0.002656	0.0017	1.5853
61	评估	0.002614	0.0073	0.3602
62	漏水	0.002600	0.0022	1.1641
63	用户	0.002599	0.0011	2.3273
64	CONSTRUCTION	0.002599	0.0011	2.3273
65	何众颖	0.002585	0.0006	4.6299
66	师梁艳	0.002585	0.0006	4.6299
67	段河	0.002585	0.0006	4.6299
68	法比	0.002585	0.0006	4.6299
69	富士康	0.002585	0.0006	4.6299
70	沉量	0.002585	0.0006	4.6299
71	时预	0.002585	0.0006	4.6299
72	槽孔	0.002585	0.0006	4.6299
73	歪曲	0.002585	0.0006	4.6299
74	工队	0.002585	0.0006	4.6299
75	地连	0.002585	0.0006	4.6299
76	换撑	0.002585	0.0006	4.6299
77	暴风雨	0.002585	0.0006	4.6299
78	要持	0.002585	0.0006	4.6299
79	遵照	0.002585	0.0006	4.6299
80	拆撑	0.002585	0.0006	4.6299
