Rank	Word	TF-IDF	TF	IDF
1	铁路	0.016775	0.0230	0.7279
2	TRANSIT	0.012699	0.0030	4.2244
3	MODERN	0.011834	0.0030	3.9367
4	URBAN	0.011834	0.0030	3.9367
5	权重	0.011314	0.0120	0.9410
6	陇海铁路	0.009278	0.0020	4.6299
7	第三段	0.009278	0.0020	4.6299
8	位移	0.009018	0.0105	0.8571
9	第四段	0.006959	0.0015	4.6299
10	陇海	0.006959	0.0015	4.6299
11	第五段	0.006959	0.0015	4.6299
12	层次	0.006513	0.0070	0.9286
13	京广铁路	0.006349	0.0015	4.2244
14	郑州	0.006094	0.0030	2.0272
15	指标	0.005757	0.0120	0.4788
16	mm	0.005657	0.0060	0.9410
17	分析法	0.005395	0.0070	0.7691
18	贾剑青	0.005076	0.0015	3.3771
19	管控	0.004874	0.0065	0.7483
20	垂直	0.004693	0.0053	0.8922
21	唐艳	0.004639	0.0010	4.6299
22	佘才	0.004639	0.0010	4.6299
23	郑浩龙	0.004639	0.0010	4.6299
24	梁玉钊	0.004639	0.0010	4.6299
25	庞振勇	0.004639	0.0010	4.6299
26	刘德兵	0.004639	0.0010	4.6299
27	冯湾	0.004639	0.0010	4.6299
28	至终	0.004639	0.0010	4.6299
29	exist	0.004639	0.0010	4.6299
30	评价	0.004490	0.0085	0.5272
31	路基	0.004357	0.0025	1.7395
32	实践	0.004294	0.0050	0.8571
33	徐干成	0.004233	0.0010	4.2244
34	晋云雷	0.004233	0.0010	4.2244
35	马相峰	0.004233	0.0010	4.2244
36	石舒	0.004233	0.0010	4.2244
37	剑桥	0.004233	0.0010	4.2244
38	模拟	0.003970	0.0045	0.8804
39	第二段	0.003945	0.0010	3.9367
40	第一段	0.003945	0.0010	3.9367
41	线下	0.003919	0.0020	1.9557
42	准则	0.003819	0.0035	1.0889
43	模型	0.003756	0.0070	0.5355
44	既有	0.003743	0.0060	0.6225
45	刘仁辉	0.003721	0.0010	3.7136
46	紫红	0.003721	0.0010	3.7136
47	现代	0.003698	0.0050	0.7380
48	指数	0.003585	0.0025	1.4312
49	振华	0.003538	0.0010	3.5313
50	京津	0.003538	0.0010	3.5313
51	评估	0.003428	0.0095	0.3602
52	处下	0.003250	0.0010	3.2436
53	铁路线	0.003250	0.0010	3.2436
54	得分	0.003104	0.0015	2.0649
55	城际	0.003047	0.0015	2.0272
56	模糊	0.003046	0.0035	0.8687
57	减小	0.003041	0.0040	0.7587
58	numerical	0.002992	0.0015	1.9908
59	衬砌	0.002966	0.0035	0.8457
60	适中	0.002931	0.0010	2.9251
61	黏质	0.002931	0.0010	2.9251
62	土层	0.002896	0.0050	0.5781
63	边缘	0.002888	0.0015	1.9218
64	端的	0.002844	0.0010	2.8381
65	数值	0.002726	0.0045	0.6045
66	非线性	0.002700	0.0015	1.7966
67	克泥效	0.002689	0.0010	2.6840
68	sections	0.002689	0.0010	2.6840
69	地表	0.002578	0.0065	0.3958
70	埋深	0.002574	0.0043	0.6045
71	箱涵	0.002495	0.0010	2.4898
72	management	0.002462	0.0020	1.2287
73	reasonable	0.002383	0.0010	2.3786
74	何国	0.002320	0.0005	4.6299
75	胡丹枫	0.002320	0.0005	4.6299
76	程维敬	0.002320	0.0005	4.6299
77	宏智	0.002320	0.0005	4.6299
78	对案	0.002320	0.0005	4.6299
79	例中	0.002320	0.0005	4.6299
80	验可为	0.002320	0.0005	4.6299
