Rank	Word	TF-IDF	TF	IDF
1	管廊	0.063236	0.0283	2.2320
2	河流	0.023758	0.0139	1.7121
3	物元	0.018972	0.0087	2.1875
4	蒙特卡罗	0.017542	0.0064	2.7581
5	指标	0.016058	0.0335	0.4788
6	评价	0.015547	0.0295	0.5272
7	权重	0.013058	0.0139	0.9410
8	岳阳	0.010708	0.0023	4.6299
9	量值	0.009627	0.0040	2.3786
10	关联度	0.009311	0.0035	2.6840
11	跨河	0.008589	0.0023	3.7136
12	综合	0.008485	0.0278	0.3057
13	敏感性	0.008449	0.0046	1.8265
14	大道	0.008058	0.0040	1.9908
15	王家	0.008031	0.0017	4.6299
16	王家河	0.008031	0.0017	4.6299
17	漏损	0.008031	0.0017	4.6299
18	等级	0.007688	0.0133	0.5781
19	定位	0.007676	0.0046	1.6594
20	合管	0.007328	0.0017	4.2244
21	覆水	0.007328	0.0017	4.2244
22	个级	0.007328	0.0017	4.2244
23	河段	0.007229	0.0023	3.1258
24	赋权	0.006930	0.0040	1.7121
25	污水处理	0.006829	0.0017	3.9367
26	河堤	0.006829	0.0017	3.9367
27	关于	0.006223	0.0052	1.1959
28	穿河	0.006125	0.0017	3.5313
29	湖北	0.005899	0.0023	2.5504
30	涌水量	0.005899	0.0023	2.5504
31	板岩	0.005858	0.0017	3.3771
32	管网	0.005626	0.0023	2.4326
33	敏感	0.005500	0.0035	1.5853
34	扩散器	0.005354	0.0012	4.6299
35	第个	0.005074	0.0017	2.9251
36	少华	0.004885	0.0012	4.2244
37	级评	0.004885	0.0012	4.2244
38	基于	0.004790	0.0133	0.3602
39	指标体系	0.004713	0.0046	1.0189
40	坡度	0.004502	0.0035	1.2977
41	第卷	0.004424	0.0017	2.5504
42	敏感度	0.004424	0.0017	2.5504
43	客观	0.004205	0.0035	1.2121
44	第期	0.004126	0.0017	2.3786
45	能源科学	0.004084	0.0012	3.5313
46	高风险	0.004022	0.0029	1.3912
47	标准规范	0.003905	0.0012	3.3771
48	节域	0.003905	0.0012	3.3771
49	第页	0.003905	0.0012	3.3771
50	多级	0.003872	0.0017	2.2320
51	河床	0.003794	0.0017	2.1875
52	围岩	0.003758	0.0040	0.9286
53	分解	0.003752	0.0029	1.2977
54	模型	0.003716	0.0069	0.5355
55	确定	0.003633	0.0133	0.2732
56	冲突性	0.003615	0.0012	3.1258
57	评物元	0.003615	0.0012	3.1258
58	线性组合	0.003493	0.0012	3.0204
59	相吻合	0.003493	0.0012	3.0204
60	管理水平	0.003456	0.0023	1.4944
61	极低	0.003383	0.0012	2.9251
62	划分	0.003335	0.0052	0.6409
63	理论	0.003308	0.0087	0.3814
64	层次	0.003221	0.0035	0.9286
65	供水管	0.003189	0.0012	2.7581
66	自身	0.003113	0.0040	0.7691
67	模拟	0.003054	0.0035	0.8804
68	主观	0.003043	0.0023	1.3157
69	经典	0.003024	0.0012	2.6150
70	准确度	0.003024	0.0012	2.6150
71	组合	0.002946	0.0029	1.0189
72	主客观	0.002879	0.0012	2.4898
73	周边环境	0.002856	0.0035	0.8232
74	强度	0.002787	0.0052	0.5355
75	下限	0.002691	0.0012	2.3273
76	水电	0.002691	0.0012	2.3273
77	周鑫隆	0.002677	0.0006	4.6299
78	物元理	0.002677	0.0006	4.6299
79	发再	0.002677	0.0006	4.6299
80	何锋	0.002677	0.0006	4.6299
