Rank	Word	TF-IDF	TF	IDF
1	高铁	0.012396	0.0062	1.9908
2	基座	0.012107	0.0068	1.7677
3	帘幕	0.010522	0.0025	4.2244
4	洞时	0.009404	0.0031	3.0204
5	贤路	0.008649	0.0019	4.6299
6	进出	0.008136	0.0056	1.4518
7	砂层	0.007818	0.0075	1.0463
8	折页	0.007354	0.0019	3.9367
9	富水	0.006619	0.0068	0.9663
10	洞门	0.006351	0.0056	1.1334
11	高速铁路	0.005782	0.0031	1.8573
12	牢固	0.005448	0.0025	2.1875
13	sand	0.005302	0.0019	2.8381
14	ProjectManagement	0.005261	0.0012	4.2244
15	学府	0.005261	0.0012	4.2244
16	土舱	0.005241	0.0025	2.1041
17	进洞	0.005143	0.0025	2.0649
18	反力	0.004936	0.0031	1.5853
19	止水	0.004791	0.0031	1.5388
20	始发	0.004524	0.0087	0.5190
21	rich	0.004443	0.0019	2.3786
22	中断	0.004443	0.0019	2.3786
23	stratum	0.004418	0.0022	2.0272
24	张涛	0.004398	0.0012	3.5313
25	出洞	0.004264	0.0025	1.7121
26	机栽头	0.004206	0.0012	3.3771
27	保养	0.004070	0.0025	1.6341
28	核算	0.004039	0.0012	3.2436
29	极端	0.004007	0.0019	2.1450
30	不得	0.003931	0.0019	2.1041
31	Xian	0.003893	0.0012	3.1258
32	地下管道	0.003893	0.0012	3.1258
33	洞口	0.003777	0.0025	1.5163
34	贯入	0.003761	0.0012	3.0204
35	泥砂	0.003761	0.0012	3.0204
36	制订	0.003761	0.0012	3.0204
37	大桥	0.003719	0.0019	1.9908
38	天气	0.003719	0.0019	1.9908
39	中砂	0.003534	0.0012	2.8381
40	water	0.003507	0.0022	1.6094
41	导向	0.003469	0.0019	1.8573
42	西安	0.003436	0.0031	1.1035
43	full	0.003435	0.0012	2.7581
44	接收	0.003352	0.0044	0.7691
45	机出	0.003342	0.0012	2.6840
46	检查	0.003286	0.0050	0.6596
47	控制措施	0.003283	0.0062	0.5272
48	the	0.003267	0.0059	0.5523
49	密封	0.003262	0.0044	0.7483
50	检查和	0.003176	0.0012	2.5504
51	预控	0.003176	0.0012	2.5504
52	机在	0.003049	0.0031	0.9792
53	geology	0.003029	0.0012	2.4326
54	cross	0.003029	0.0012	2.4326
55	每日	0.003029	0.0012	2.4326
56	石英	0.002962	0.0012	2.3786
57	型钢	0.002962	0.0012	2.3786
58	橡胶	0.002898	0.0012	2.3273
59	即全	0.002883	0.0006	4.6299
60	floodplain	0.002883	0.0006	4.6299
61	richsandstratum	0.002883	0.0006	4.6299
62	客站	0.002883	0.0006	4.6299
63	贺韶村	0.002883	0.0006	4.6299
64	浅黄色	0.002883	0.0006	4.6299
65	属级	0.002883	0.0006	4.6299
66	本线	0.002883	0.0006	4.6299
67	构由尚	0.002883	0.0006	4.6299
68	兰大	0.002883	0.0006	4.6299
69	线特	0.002883	0.0006	4.6299
70	跨西	0.002883	0.0006	4.6299
71	徐兰	0.002883	0.0006	4.6299
72	龙记	0.002883	0.0006	4.6299
73	国会山	0.002883	0.0006	4.6299
74	学府路	0.002883	0.0006	4.6299
75	乾县	0.002883	0.0006	4.6299
76	携裹	0.002883	0.0006	4.6299
77	旋片	0.002883	0.0006	4.6299
78	应编	0.002883	0.0006	4.6299
79	上空	0.002883	0.0006	4.6299
80	松紧度	0.002883	0.0006	4.6299
