Rank	Word	TF-IDF	TF	IDF
1	干渠	0.053002	0.0150	3.5313
2	既有	0.015573	0.0250	0.6225
3	构筑物	0.008175	0.0081	1.0055
4	径向	0.006969	0.0038	1.8573
5	穿越	0.006838	0.0306	0.2231
6	试验段	0.006527	0.0038	1.7395
7	mm	0.006473	0.0069	0.9410
8	structures	0.006380	0.0025	2.5504
9	旋喷	0.006085	0.0019	3.2436
10	冯玮光	0.005791	0.0013	4.6299
11	构筑	0.005667	0.0019	3.0204
12	补浆	0.005583	0.0025	2.2320
13	测点	0.005527	0.0031	1.7677
14	减阻	0.005284	0.0013	4.2244
15	高粘度	0.005284	0.0013	4.2244
16	对盾体	0.005284	0.0013	4.2244
17	引水	0.005175	0.0019	2.7581
18	深层	0.005071	0.0025	2.0272
19	克泥效	0.005036	0.0019	2.6840
20	机壳	0.004924	0.0013	3.9367
21	侧方	0.004924	0.0013	3.9367
22	buildings	0.004892	0.0025	1.9557
23	make	0.004224	0.0013	3.3771
24	existing	0.004151	0.0025	1.6594
25	注浆	0.004101	0.0250	0.1640
26	疏松	0.004057	0.0013	3.2436
27	节点	0.003948	0.0031	1.2626
28	Building	0.003874	0.0019	2.0649
29	建筑物	0.003829	0.0081	0.4710
30	注入	0.003773	0.0038	1.0055
31	and	0.003773	0.0075	0.5027
32	有限元	0.003738	0.0025	1.4944
33	土体	0.003681	0.0106	0.3463
34	Development	0.003606	0.0019	1.9218
35	construction	0.003555	0.0056	0.6317
36	二次	0.003395	0.0050	0.6786
37	MPa	0.003384	0.0025	1.3527
38	impact	0.003371	0.0019	1.7966
39	双线	0.003337	0.0025	1.3340
40	少量	0.003264	0.0019	1.7395
41	应对	0.003205	0.0056	0.5694
42	润滑	0.003043	0.0013	2.4326
43	收缩	0.003043	0.0013	2.4326
44	之前	0.002952	0.0025	1.1799
45	填充	0.002904	0.0031	0.9286
46	RESPONSE	0.002895	0.0006	4.6299
47	MONITORING	0.002895	0.0006	4.6299
48	SECTION	0.002895	0.0006	4.6299
49	EXISTING	0.002895	0.0006	4.6299
50	STRUCTURES	0.002895	0.0006	4.6299
51	guang	0.002895	0.0006	4.6299
52	飞快	0.002895	0.0006	4.6299
53	底约	0.002895	0.0006	4.6299
54	midas	0.002895	0.0006	4.6299
55	盾尾同	0.002895	0.0006	4.6299
56	中不受	0.002895	0.0006	4.6299
57	后时	0.002895	0.0006	4.6299
58	至差	0.002895	0.0006	4.6299
59	对点	0.002895	0.0006	4.6299
60	侧限	0.002895	0.0006	4.6299
61	薄膜	0.002895	0.0006	4.6299
62	面旋	0.002895	0.0006	4.6299
63	向盾体	0.002895	0.0006	4.6299
64	塑性材料	0.002895	0.0006	4.6299
65	对东	0.002895	0.0006	4.6299
66	呈矩	0.002895	0.0006	4.6299
67	程会	0.002895	0.0006	4.6299
68	所注	0.002895	0.0006	4.6299
69	固态	0.002895	0.0006	4.6299
70	降点	0.002895	0.0006	4.6299
71	充盾	0.002895	0.0006	4.6299
72	刘斌	0.002895	0.0006	4.6299
73	兴仁	0.002895	0.0006	4.6299
74	蒋承轩	0.002895	0.0006	4.6299
75	宾彬	0.002895	0.0006	4.6299
76	薛一彤	0.002895	0.0006	4.6299
77	Technology	0.002847	0.0038	0.7587
78	上方	0.002835	0.0025	1.1334
79	shield	0.002765	0.0044	0.6317
80	the	0.002763	0.0050	0.5523
