Rank	Word	TF-IDF	TF	IDF
1	联络	0.048896	0.0332	1.4729
2	通道	0.029554	0.0369	0.8012
3	水涌	0.015180	0.0111	1.3718
4	粗砾	0.013026	0.0037	3.5313
5	涌水后	0.010247	0.0022	4.6299
6	GXC	0.009349	0.0022	4.2244
7	防护门	0.009349	0.0022	4.2244
8	险情	0.008973	0.0037	2.4326
9	袋装	0.008713	0.0022	3.9367
10	Learning	0.007815	0.0022	3.5313
11	粉土	0.007717	0.0052	1.4944
12	封堵	0.007391	0.0052	1.4312
13	黏土	0.007288	0.0089	0.8232
14	暗河	0.007179	0.0022	3.2436
15	封闭	0.006851	0.0037	1.8573
16	层上	0.006831	0.0015	4.6299
17	陡急	0.006831	0.0015	4.6299
18	钢拱架	0.006831	0.0015	4.6299
19	取消	0.006831	0.0015	4.6299
20	监测点	0.006345	0.0052	1.2287
21	DBC	0.006233	0.0015	4.2244
22	下台阶	0.006233	0.0015	4.2244
23	率较	0.006233	0.0015	4.2244
24	反压	0.006233	0.0015	4.2244
25	小幅	0.006233	0.0015	4.2244
26	第四阶段	0.006233	0.0015	4.2244
27	引流	0.006233	0.0015	4.2244
28	粉细砂	0.006121	0.0037	1.6594
29	验收	0.005988	0.0044	1.3527
30	砂砾	0.005940	0.0022	2.6840
31	内采	0.005809	0.0015	3.9367
32	劳动保护	0.005479	0.0015	3.7136
33	第一阶段	0.005479	0.0015	3.7136
34	砂袋	0.005479	0.0015	3.7136
35	第三阶段	0.005479	0.0015	3.7136
36	基底	0.005384	0.0022	2.4326
37	JS	0.005210	0.0015	3.5313
38	第二阶段	0.005210	0.0015	3.5313
39	底板	0.005133	0.0030	1.7395
40	双控	0.004983	0.0015	3.3771
41	标高	0.004890	0.0033	1.4729
42	教训	0.004457	0.0015	3.0204
43	水位	0.004334	0.0044	0.9792
44	事故	0.004251	0.0118	0.3602
45	转为	0.004188	0.0015	2.8381
46	处置	0.004105	0.0030	1.3912
47	突涌	0.004069	0.0015	2.7581
48	应急	0.004027	0.0052	0.7797
49	一座	0.003960	0.0015	2.6840
50	承压	0.003912	0.0022	1.7677
51	平缓	0.003858	0.0015	2.6150
52	隐患	0.003829	0.0030	1.2977
53	徐州	0.003763	0.0015	2.5504
54	击穿	0.003763	0.0015	2.5504
55	给水管	0.003674	0.0015	2.4898
56	水头	0.003589	0.0015	2.4326
57	水流	0.003510	0.0015	2.3786
58	透水	0.003457	0.0022	1.5618
59	右线	0.003451	0.0044	0.7797
60	刘传磊	0.003416	0.0007	4.6299
61	生过	0.003416	0.0007	4.6299
62	多起	0.003416	0.0007	4.6299
63	WSS	0.003416	0.0007	4.6299
64	生涌	0.003416	0.0007	4.6299
65	砂事	0.003416	0.0007	4.6299
66	叉口	0.003416	0.0007	4.6299
67	以西	0.003416	0.0007	4.6299
68	象限	0.003416	0.0007	4.6299
69	棉被	0.003416	0.0007	4.6299
70	密目	0.003416	0.0007	4.6299
71	涌水较	0.003416	0.0007	4.6299
72	涌水点	0.003416	0.0007	4.6299
73	快车道	0.003416	0.0007	4.6299
74	非机动	0.003416	0.0007	4.6299
75	对管	0.003416	0.0007	4.6299
76	来得及	0.003416	0.0007	4.6299
77	易安网	0.003416	0.0007	4.6299
78	经管	0.003416	0.0007	4.6299
79	绕流	0.003416	0.0007	4.6299
80	富存区	0.003416	0.0007	4.6299
