Rank	Word	TF-IDF	TF	IDF
1	LSTM	0.032055	0.0081	3.9367
2	CNN	0.029515	0.0070	4.2244
3	模型	0.011637	0.0217	0.5355
4	预测	0.009685	0.0133	0.7279
5	训练	0.008309	0.0035	2.3786
6	泥岩	0.008210	0.0045	1.8265
7	石羊	0.007730	0.0017	4.6299
8	村站	0.007726	0.0021	3.7136
9	RMSE	0.007483	0.0019	3.9367
10	算法	0.007402	0.0055	1.3340
11	麻雀	0.007135	0.0015	4.6299
12	WOA	0.007017	0.0015	4.6299
13	组合	0.006439	0.0063	1.0189
14	顺风	0.006303	0.0014	4.6299
15	MAE	0.006294	0.0015	4.2244
16	GRU	0.006168	0.0016	3.9367
17	智能	0.006041	0.0042	1.4518
18	预测值	0.005978	0.0021	2.8381
19	MAPE	0.005643	0.0013	4.2244
20	GWO	0.005425	0.0013	4.2244
21	神经网络	0.005272	0.0030	1.7395
22	卷积	0.005056	0.0013	3.9367
23	测试	0.004945	0.0030	1.6594
24	SAA	0.004519	0.0010	4.6299
25	灰狼	0.004519	0.0010	4.6299
26	权重	0.004351	0.0046	0.9410
27	猎物	0.004281	0.0009	4.6299
28	学习	0.004177	0.0029	1.4518
29	庆云	0.004043	0.0009	4.6299
30	dropout	0.004043	0.0009	4.6299
31	指标	0.004022	0.0084	0.4788
32	硕士学位	0.003958	0.0023	1.7121
33	评估	0.003839	0.0107	0.3602
34	集上	0.003810	0.0011	3.5313
35	SSA	0.003806	0.0008	4.6299
36	重庆	0.003778	0.0023	1.6341
37	地表	0.003517	0.0089	0.3958
38	迭代	0.003499	0.0014	2.4326
39	拟合	0.003416	0.0016	2.1450
40	泛化	0.003265	0.0009	3.5313
41	论文	0.003153	0.0024	1.3340
42	监测点	0.003093	0.0025	1.2287
43	医院	0.003036	0.0009	3.3771
44	输入	0.002983	0.0021	1.4518
45	真实	0.002906	0.0016	1.7677
46	收敛	0.002758	0.0013	2.0649
47	决定系数	0.002671	0.0007	3.7136
48	赋权	0.002639	0.0015	1.7121
49	精确度	0.002620	0.0010	2.6840
50	最优	0.002610	0.0018	1.4518
51	数字	0.002602	0.0016	1.6341
52	输出	0.002567	0.0013	1.9218
53	证据	0.002533	0.0014	1.8265
54	建筑物	0.002528	0.0054	0.4710
55	En	0.002451	0.0011	2.3273
56	FAHP	0.002430	0.0010	2.4898
57	种群	0.002427	0.0006	3.9367
58	偏压	0.002409	0.0008	3.1258
59	绝对误差	0.002387	0.0006	4.2244
60	ST	0.002378	0.0005	4.6299
61	Ex	0.002366	0.0010	2.4898
62	Xt	0.002326	0.0006	3.9367
63	优化	0.002125	0.0051	0.4177
64	搜索	0.002077	0.0009	2.3786
65	He	0.002039	0.0010	2.1450
66	风化	0.002035	0.0023	0.8804
67	云滴	0.002015	0.0008	2.6150
68	特征值	0.001991	0.0012	1.6854
69	深度	0.001976	0.0026	0.7691
70	隐藏	0.001965	0.0008	2.5504
71	表示	0.001945	0.0022	0.8804
72	既有	0.001935	0.0031	0.6225
73	个体	0.001919	0.0008	2.4898
74	id	0.001905	0.0005	3.5313
75	完损	0.001903	0.0004	4.6299
76	nunits	0.001903	0.0004	4.6299
77	batchsize	0.001903	0.0004	4.6299
78	梯度	0.001895	0.0007	2.8381
79	数据	0.001886	0.0054	0.3463
80	权法	0.001875	0.0009	2.0272
