Rank	Word	TF-IDF	TF	IDF
1	输水	0.044342	0.0147	3.0204
2	隧洞	0.037244	0.0201	1.8573
3	湿陷性	0.021394	0.0066	3.2436
4	黄土	0.018320	0.0092	1.9908
5	陷性	0.007814	0.0025	3.1258
6	地区	0.005736	0.0070	0.8232
7	二维	0.005699	0.0026	2.2320
8	评价	0.005160	0.0098	0.5272
9	DEMATEL	0.004695	0.0017	2.7581
10	识别	0.004393	0.0064	0.6883
11	引汉济	0.003769	0.0010	3.9367
12	模型	0.003732	0.0070	0.5355
13	RBS	0.003578	0.0019	1.9218
14	ISM	0.003569	0.0013	2.6840
15	硕士学位	0.003552	0.0021	1.7121
16	WBS	0.003400	0.0019	1.8265
17	ij	0.003229	0.0024	1.3340
18	延误	0.003150	0.0018	1.7677
19	conveyance	0.003146	0.0007	4.2244
20	指标	0.003031	0.0063	0.4788
21	Grey	0.002993	0.0010	3.1258
22	筛选	0.002977	0.0020	1.4729
23	湿陷	0.002932	0.0007	3.9367
24	贡献率	0.002874	0.0009	3.3771
25	水资源	0.002782	0.0011	2.6150
26	论文	0.002767	0.0021	1.3340
27	因素	0.002748	0.0134	0.2050
28	矩阵	0.002515	0.0028	0.8922
29	灰数	0.002472	0.0006	4.2244
30	人员伤亡	0.002433	0.0017	1.4518
31	西安	0.002348	0.0021	1.1035
32	缺陷	0.002317	0.0016	1.4518
33	经济损失	0.002183	0.0016	1.3912
34	雷达	0.002182	0.0010	2.2785
35	二期工程	0.002178	0.0007	2.9251
36	调水	0.002173	0.0006	3.7136
37	等级	0.002122	0.0037	0.5781
38	环境影响	0.002109	0.0015	1.3912
39	概率	0.002107	0.0024	0.8804
40	权重	0.002102	0.0022	0.9410
41	the	0.002057	0.0037	0.5523
42	Ex	0.002053	0.0008	2.4898
43	评估	0.002012	0.0056	0.3602
44	of	0.001960	0.0038	0.5190
45	专家	0.001929	0.0032	0.6045
46	潜在	0.001918	0.0018	1.0603
47	ALARP	0.001878	0.0005	3.5313
48	si	0.001877	0.0005	3.7136
49	接受	0.001820	0.0014	1.3157
50	风险管理	0.001795	0.0034	0.5272
51	损失	0.001795	0.0025	0.7178
52	指标体系	0.001789	0.0018	1.0189
53	构建	0.001697	0.0025	0.6786
54	loess	0.001675	0.0004	3.9367
55	分解	0.001657	0.0013	1.2977
56	相近	0.001629	0.0007	2.1875
57	En	0.001609	0.0007	2.3273
58	可达集	0.001580	0.0004	3.7136
59	可能	0.001562	0.0056	0.2796
60	赋权	0.001548	0.0009	1.7121
61	挑战	0.001532	0.0010	1.5163
62	敏感度	0.001492	0.0006	2.5504
63	层级	0.001482	0.0008	1.8573
64	引水	0.001467	0.0005	2.7581
65	组织协调	0.001466	0.0004	3.9367
66	water	0.001455	0.0009	1.6094
67	施工人员	0.001452	0.0016	0.8804
68	预报	0.001433	0.0008	1.7966
69	水利工程	0.001428	0.0005	2.6840
70	量化	0.001418	0.0012	1.2121
71	本章	0.001412	0.0009	1.5618
72	数字	0.001391	0.0009	1.6341
73	策略	0.001386	0.0010	1.3718
74	功能	0.001386	0.0016	0.8687
75	工期	0.001361	0.0017	0.8122
76	collapsible	0.001348	0.0003	4.2244
77	订立	0.001348	0.0003	4.2244
78	基于	0.001341	0.0037	0.3602
79	至关重要	0.001332	0.0009	1.4729
80	信度	0.001320	0.0005	2.7581
