Rank	Word	TF-IDF	TF	IDF
1	功能模块	0.030644	0.0094	3.2436
2	App	0.030283	0.0065	4.6299
3	巡查	0.021987	0.0094	2.3273
4	访问	0.020445	0.0065	3.1258
5	采集	0.016130	0.0102	1.5853
6	信息	0.015818	0.0240	0.6596
7	信息化	0.015512	0.0116	1.3340
8	治理	0.015101	0.0080	1.8890
9	接口	0.014903	0.0065	2.2785
10	远程	0.014828	0.0058	2.5504
11	客户端	0.013494	0.0036	3.7136
12	南通市	0.012832	0.0036	3.5313
13	引擎	0.012832	0.0036	3.5313
14	管控	0.012508	0.0167	0.7483
15	工控机	0.010795	0.0029	3.7136
16	短信	0.010795	0.0029	3.7136
17	视频	0.010607	0.0044	2.4326
18	function	0.010313	0.0036	2.8381
19	网卡	0.010094	0.0022	4.6299
20	南通	0.009817	0.0029	3.3771
21	服务器	0.009817	0.0029	3.3771
22	无线	0.009817	0.0029	3.3771
23	数据库	0.009799	0.0058	1.6854
24	图文	0.009210	0.0022	4.2244
25	功能	0.008838	0.0102	0.8687
26	输送机	0.008816	0.0058	1.5163
27	架构	0.008279	0.0036	2.2785
28	传输	0.007602	0.0029	2.6150
29	隐患	0.007545	0.0058	1.2977
30	推送	0.007072	0.0022	3.2436
31	自动	0.006882	0.0051	1.3527
32	PC	0.006815	0.0022	3.1258
33	包洪	0.006729	0.0015	4.6299
34	RJ	0.006729	0.0015	4.6299
35	RAM	0.006729	0.0015	4.6299
36	LED	0.006729	0.0015	4.6299
37	及引	0.006729	0.0015	4.6299
38	擎层	0.006729	0.0015	4.6299
39	移动	0.006710	0.0044	1.5388
40	PLC	0.006377	0.0022	2.9251
41	电话	0.006377	0.0022	2.9251
42	系统	0.006237	0.0218	0.2861
43	在线	0.006188	0.0022	2.8381
44	预警	0.006155	0.0065	0.9410
45	Nantong	0.006140	0.0015	4.2244
46	贾俊峰	0.006140	0.0015	4.2244
47	端口	0.006140	0.0015	4.2244
48	数据包	0.006140	0.0015	4.2244
49	芯片	0.006140	0.0015	4.2244
50	防火墙	0.006140	0.0015	4.2244
51	螺旋	0.005924	0.0058	1.0189
52	新丰	0.005722	0.0015	3.9367
53	发送给	0.005722	0.0015	3.9367
54	CPU	0.005722	0.0015	3.9367
55	显示屏	0.005722	0.0015	3.9367
56	路由	0.005722	0.0015	3.9367
57	流转	0.005722	0.0015	3.9367
58	异常	0.005466	0.0051	1.0745
59	界面	0.005310	0.0029	1.8265
60	关键设备	0.005133	0.0015	3.5313
61	监控	0.005041	0.0087	0.5781
62	交互	0.004968	0.0022	2.2785
63	动态	0.004932	0.0073	0.6786
64	窗口	0.004909	0.0015	3.3771
65	查看	0.004588	0.0022	2.1041
66	审批	0.004588	0.0022	2.1041
67	内存	0.004390	0.0015	3.0204
68	研发	0.004264	0.0022	1.9557
69	上传	0.004252	0.0015	2.9251
70	端的	0.004125	0.0015	2.8381
71	各方	0.004049	0.0022	1.8573
72	工具	0.003932	0.0029	1.3527
73	一期	0.003878	0.0029	1.3340
74	砂层	0.003802	0.0036	1.0463
75	子系统	0.003707	0.0015	2.5504
76	包含	0.003703	0.0036	1.0189
77	姿态	0.003652	0.0051	0.7178
78	前盾	0.003619	0.0015	2.4898
79	富水	0.003511	0.0036	0.9663
80	宏伟	0.003457	0.0015	2.3786
