Rank	Word	TF-IDF	TF	IDF
1	吊挂	0.069927	0.0166	4.2244
2	平台	0.061210	0.0526	1.1641
3	拆除	0.038389	0.0253	1.5163
4	吊顶	0.036065	0.0078	4.6299
5	手板	0.027507	0.0078	3.5313
6	钢脚	0.027049	0.0058	4.6299
7	上层	0.025751	0.0136	1.8890
8	双层	0.025462	0.0097	2.6150
9	顶层	0.025266	0.0078	3.2436
10	吊杆	0.024680	0.0058	4.2244
11	下层	0.022661	0.0097	2.3273
12	办法	0.020488	0.0097	2.1041
13	北京市	0.018528	0.0078	2.3786
14	至离	0.018033	0.0039	4.6299
15	时安	0.018033	0.0039	4.6299
16	屋面	0.018033	0.0039	4.6299
17	石膏	0.018033	0.0039	4.6299
18	吊绳	0.018033	0.0039	4.6299
19	塔式起重	0.016453	0.0039	4.2244
20	登高	0.015333	0.0039	3.9367
21	乘坐	0.014464	0.0039	3.7136
22	主梁	0.011764	0.0039	3.0204
23	参建	0.009264	0.0039	2.3786
24	贾学军	0.009016	0.0019	4.6299
25	隔成	0.009016	0.0019	4.6299
26	装吊	0.009016	0.0019	4.6299
27	工作进度	0.009016	0.0019	4.6299
28	受拉立	0.009016	0.0019	4.6299
29	魏新荷	0.009016	0.0019	4.6299
30	和立	0.009016	0.0019	4.6299
31	上满	0.009016	0.0019	4.6299
32	四十条	0.009016	0.0019	4.6299
33	项工	0.009016	0.0019	4.6299
34	错层	0.009016	0.0019	4.6299
35	主龙	0.009016	0.0019	4.6299
36	由远	0.009016	0.0019	4.6299
37	单位	0.008871	0.0156	0.5694
38	下部	0.008361	0.0058	1.4312
39	交叉	0.008243	0.0058	1.4110
40	及钢	0.008227	0.0019	4.2244
41	方便快捷	0.008227	0.0019	4.2244
42	通长	0.008227	0.0019	4.2244
43	近日	0.008227	0.0019	4.2244
44	柱间	0.008227	0.0019	4.2244
45	天花板	0.008227	0.0019	4.2244
46	吊离	0.008227	0.0019	4.2244
47	补全	0.008227	0.0019	4.2244
48	第三方	0.007896	0.0039	2.0272
49	扁担	0.007666	0.0019	3.9367
50	单体	0.007666	0.0019	3.9367
51	扣件	0.007666	0.0019	3.9367
52	拉杆	0.007666	0.0019	3.9367
53	自然资源	0.007666	0.0019	3.9367
54	放至	0.007666	0.0019	3.9367
55	违法	0.007666	0.0019	3.9367
56	违规行为	0.007666	0.0019	3.9367
57	委员会	0.007357	0.0039	1.8890
58	工作面	0.007234	0.0039	1.8573
59	立杆	0.007232	0.0019	3.7136
60	城乡建设	0.007232	0.0019	3.7136
61	五章	0.007232	0.0019	3.7136
62	横梁	0.007232	0.0019	3.7136
63	吊臂	0.007232	0.0019	3.7136
64	全市	0.007232	0.0019	3.7136
65	明确	0.007043	0.0078	0.9042
66	特级	0.006877	0.0019	3.5313
67	故需	0.006877	0.0019	3.5313
68	预留	0.006801	0.0058	1.1641
69	多且	0.006577	0.0019	3.3771
70	下端	0.006577	0.0019	3.3771
71	印发	0.006577	0.0019	3.3771
72	应先	0.006577	0.0019	3.3771
73	贯彻	0.006577	0.0019	3.3771
74	解读	0.006577	0.0019	3.3771
75	防腐	0.006317	0.0019	3.2436
76	控制点	0.006317	0.0019	3.2436
77	再用	0.006317	0.0019	3.2436
78	建设工程	0.006269	0.0039	1.6094
79	专家论证	0.006087	0.0019	3.1258
80	原则上	0.006087	0.0019	3.1258
