Rank	Word	TF-IDF	TF	IDF
1	南通	0.030594	0.0091	3.3771
2	南通市	0.019686	0.0056	3.5313
3	特稿	0.012906	0.0028	4.6299
4	环西	0.012906	0.0028	4.6299
5	标为	0.010351	0.0028	3.7136
6	标段	0.009651	0.0063	1.5388
7	本刊	0.009414	0.0028	3.3771
8	一期	0.009296	0.0070	1.3340
9	密封	0.008865	0.0118	0.7483
10	通州区	0.008831	0.0021	4.2244
11	驱动	0.008707	0.0056	1.5618
12	洞门	0.008688	0.0077	1.1334
13	轴承	0.008476	0.0042	2.0272
14	环城	0.008230	0.0021	3.9367
15	钢丝刷	0.008154	0.0028	2.9251
16	路站	0.007474	0.0035	2.1450
17	延伸	0.007195	0.0035	2.0649
18	添加剂	0.006940	0.0028	2.4898
19	对策	0.006562	0.0063	1.0463
20	广场	0.006487	0.0028	2.3273
21	中铁二局	0.006453	0.0014	4.6299
22	平潮	0.006453	0.0014	4.6299
23	技术开发区	0.006453	0.0014	4.6299
24	振兴路	0.006453	0.0014	4.6299
25	孩儿巷	0.006453	0.0014	4.6299
26	深南路	0.006453	0.0014	4.6299
27	盘香	0.006453	0.0014	4.6299
28	方对	0.006453	0.0014	4.6299
29	中粉	0.006453	0.0014	4.6299
30	结构件	0.006453	0.0014	4.6299
31	转弯半径	0.006351	0.0028	2.2785
32	铁建	0.006115	0.0021	2.9251
33	重工	0.006115	0.0021	2.9251
34	文化	0.005979	0.0028	2.1450
35	冻结	0.005979	0.0028	2.1450
36	中级法院	0.005888	0.0014	4.2244
37	装置	0.005756	0.0056	1.0326
38	粉砂	0.005656	0.0042	1.3527
39	液化	0.005611	0.0021	2.6840
40	功率	0.005611	0.0021	2.6840
41	注入	0.005606	0.0056	1.0055
42	景区	0.005487	0.0014	3.9367
43	型式	0.005467	0.0021	2.6150
44	站间	0.005176	0.0014	3.7136
45	唇形	0.005176	0.0014	3.7136
46	偏斜	0.004922	0.0014	3.5313
47	变频	0.004922	0.0014	3.5313
48	两道	0.004922	0.0014	3.5313
49	东路	0.004763	0.0021	2.2785
50	耐磨	0.004763	0.0021	2.2785
51	泡沫	0.004626	0.0028	1.6594
52	砂土	0.004555	0.0028	1.6341
53	车辆段	0.004521	0.0014	3.2436
54	号线	0.004519	0.0098	0.4632
55	破除	0.004317	0.0021	2.0649
56	接收	0.004288	0.0056	0.7691
57	主机	0.004238	0.0021	2.0272
58	具体位置	0.004210	0.0014	3.0204
59	河道	0.004162	0.0021	1.9908
60	膨润土	0.004106	0.0028	1.4729
61	扭矩	0.004094	0.0042	0.9792
62	共设	0.004077	0.0014	2.9251
63	老旧	0.004077	0.0014	2.9251
64	夹粉	0.004077	0.0014	2.9251
65	支承	0.004077	0.0014	2.9251
66	脱困	0.003956	0.0014	2.8381
67	聚氨酯	0.003956	0.0014	2.8381
68	示意图	0.003695	0.0035	1.0603
69	聚合物	0.003645	0.0014	2.6150
70	见图	0.003598	0.0035	1.0326
71	总长	0.003579	0.0021	1.7121
72	向东	0.003555	0.0014	2.5504
73	整机	0.003555	0.0014	2.5504
74	降水	0.003519	0.0028	1.2626
75	换乘	0.003470	0.0014	2.4898
76	转弯	0.003470	0.0014	2.4898
77	电机	0.003470	0.0014	2.4898
78	技术参数	0.003390	0.0014	2.4326
79	材质	0.003390	0.0014	2.4326
80	额定	0.003390	0.0014	2.4326
