Rank	Word	TF-IDF	TF	IDF
1	对接	0.033642	0.0141	2.3786
2	元素	0.014122	0.0104	1.3527
3	docking	0.014032	0.0030	4.6299
4	过海段	0.011579	0.0037	3.1258
5	矿山	0.011404	0.0081	1.4110
6	厦门	0.008715	0.0044	1.9908
7	mined	0.008575	0.0019	4.6299
8	卡盾	0.008324	0.0024	3.5313
9	矩阵	0.007511	0.0084	0.8922
10	风化	0.007412	0.0084	0.8804
11	of	0.007340	0.0141	0.5190
12	张继超	0.007135	0.0020	3.5313
13	海下	0.007113	0.0017	4.2244
14	贯通	0.006559	0.0047	1.3912
15	准则	0.006417	0.0059	1.0889
16	花岗	0.006253	0.0017	3.7136
17	闪长岩	0.006253	0.0017	3.7136
18	比后	0.006237	0.0013	4.6299
19	tunnel	0.005981	0.0071	0.8457
20	Xiamen	0.005966	0.0015	3.9367
21	重启	0.005690	0.0013	4.2244
22	法海	0.005686	0.0017	3.3771
23	岩体	0.005089	0.0027	1.8890
24	等级	0.004964	0.0086	0.5781
25	underwater	0.004925	0.0017	2.9251
26	and	0.004910	0.0098	0.5027
27	隶属	0.004820	0.0034	1.4312
28	双向	0.004806	0.0020	2.3786
29	水下	0.004664	0.0030	1.5388
30	RBS	0.004530	0.0024	1.9218
31	分值	0.004530	0.0024	1.9218
32	kn	0.004377	0.0012	3.7136
33	爆破	0.004334	0.0020	2.1450
34	WBS	0.004306	0.0024	1.8265
35	定级	0.004211	0.0013	3.1258
36	assessment	0.003985	0.0032	1.2455
37	开舱	0.003940	0.0013	2.9251
38	Uk	0.003898	0.0008	4.6299
39	停止	0.003775	0.0030	1.2455
40	拱架	0.003752	0.0010	3.7136
41	judgment	0.003715	0.0013	2.7581
42	评判	0.003615	0.0025	1.4312
43	预防措施	0.003572	0.0020	1.7677
44	Tunnel	0.003571	0.0034	1.0603
45	ZHANG	0.003515	0.0020	1.7395
46	后果	0.003496	0.0027	1.2977
47	risk	0.003480	0.0047	0.7380
48	Risk	0.003462	0.0035	0.9792
49	判断	0.003452	0.0061	0.5694
50	matrix	0.003354	0.0013	2.4898
51	Fig	0.003293	0.0017	1.9557
52	section	0.003234	0.0024	1.3718
53	权重	0.003169	0.0034	0.9410
54	层级	0.003127	0.0017	1.8573
55	groove	0.003118	0.0007	4.6299
56	stop	0.003118	0.0007	4.6299
57	花岗闪	0.003118	0.0007	4.6299
58	状强	0.003118	0.0007	4.6299
59	有变	0.003118	0.0007	4.6299
60	shield	0.003084	0.0049	0.6317
61	突泥	0.003069	0.0013	2.2785
62	破碎	0.003059	0.0024	1.2977
63	分解	0.003059	0.0024	1.2977
64	停机	0.002973	0.0027	1.1035
65	Table	0.002863	0.0015	1.8890
66	总覆土	0.002845	0.0007	4.2244
67	海平面	0.002845	0.0007	4.2244
68	散体	0.002845	0.0007	4.2244
69	XW	0.002845	0.0007	4.2244
70	metro	0.002802	0.0022	1.2800
71	一层	0.002768	0.0015	1.8265
72	Construction	0.002735	0.0034	0.8122
73	cm	0.002712	0.0010	2.6840
74	概率	0.002668	0.0030	0.8804
75	Henan	0.002651	0.0007	3.9367
76	weathered	0.002651	0.0007	3.9367
77	琼州海峡	0.002651	0.0007	3.9367
78	渗透率	0.002651	0.0007	3.9367
79	China	0.002633	0.0030	0.8687
80	拱顶	0.002551	0.0020	1.2626
