Rank	Word	TF-IDF	TF	IDF
1	托换	0.029176	0.0093	3.1258
2	桩基	0.027676	0.0180	1.5388
3	GRA	0.012059	0.0034	3.5313
4	pile	0.011032	0.0043	2.5504
5	娇子	0.010579	0.0025	4.2244
6	foundation	0.009206	0.0039	2.3786
7	关联度	0.009165	0.0034	2.6840
8	FAHP	0.009069	0.0036	2.4898
9	矩阵	0.008937	0.0100	0.8922
10	of	0.008389	0.0162	0.5190
11	ij	0.008352	0.0063	1.3340
12	立交	0.007828	0.0025	3.1258
13	桥梁	0.007656	0.0061	1.2455
14	模糊	0.006922	0.0080	0.8687
15	assessment	0.006805	0.0055	1.2455
16	托换梁	0.006324	0.0014	4.6299
17	事件	0.005078	0.0057	0.8922
18	师大	0.004809	0.0011	4.2244
19	cL	0.004743	0.0010	4.6299
20	fuzzy	0.004651	0.0025	1.8573
21	bridge	0.004523	0.0016	2.8381
22	顶升	0.004481	0.0011	3.9367
23	underpinning	0.004481	0.0011	3.9367
24	评估	0.004428	0.0123	0.3602
25	层次	0.004228	0.0046	0.9286
26	cLij	0.004216	0.0009	4.6299
27	ijnn	0.004216	0.0009	4.6299
28	cU	0.004216	0.0009	4.6299
29	权重	0.004070	0.0043	0.9410
30	the	0.004024	0.0073	0.5523
31	灰色	0.004024	0.0027	1.4729
32	元素	0.004003	0.0030	1.3527
33	三角	0.003938	0.0020	1.9218
34	WU	0.003907	0.0018	2.1450
35	关联系数	0.003847	0.0009	4.2244
36	评价	0.003841	0.0073	0.5272
37	and	0.003777	0.0075	0.5027
38	桥墩	0.003709	0.0016	2.3273
39	cUij	0.003689	0.0008	4.6299
40	cM	0.003689	0.0008	4.6299
41	vij	0.003689	0.0008	4.6299
42	一致性	0.003686	0.0030	1.2455
43	reliability	0.003666	0.0014	2.6840
44	数列	0.003585	0.0009	3.9367
45	crossing	0.003508	0.0020	1.7121
46	based	0.003445	0.0030	1.1641
47	et	0.003425	0.0032	1.0745
48	inrush	0.003382	0.0009	3.7136
49	al	0.003380	0.0032	1.0603
50	LI	0.003348	0.0020	1.6341
51	无量	0.003330	0.0011	2.9251
52	四川	0.003327	0.0018	1.8265
53	Journal	0.003223	0.0030	1.0889
54	risk	0.003192	0.0043	0.7380
55	cMij	0.003162	0.0007	4.6299
56	增刊	0.003112	0.0014	2.2785
57	纲化	0.003075	0.0009	3.3771
58	group	0.003055	0.0011	2.6840
59	LU	0.003055	0.0011	2.6840
60	可靠性	0.003037	0.0023	1.3340
61	Table	0.003010	0.0016	1.8890
62	立交桥	0.002977	0.0011	2.6150
63	fij	0.002959	0.0008	3.7136
64	承台	0.002954	0.0009	3.2436
65	Risk	0.002898	0.0030	0.9792
66	overpass	0.002885	0.0007	4.2244
67	安全控制	0.002863	0.0016	1.7966
68	Bo	0.002846	0.0009	3.1258
69	差值	0.002834	0.0011	2.4898
70	XU	0.002769	0.0011	2.4326
71	on	0.002742	0.0041	0.6690
72	tunnel	0.002695	0.0032	0.8457
73	replacement	0.002689	0.0007	3.9367
74	判断	0.002593	0.0046	0.5694
75	打分	0.002552	0.0020	1.2455
76	施工工艺	0.002535	0.0024	1.0603
77	成都	0.002534	0.0018	1.3912
78	衔接	0.002490	0.0011	2.1875
79	成龙	0.002412	0.0007	3.5313
80	既有	0.002409	0.0039	0.6225
