Rank	Word	TF-IDF	TF	IDF
1	OC	0.042655	0.0101	4.2244
2	GCBN	0.039101	0.0093	4.2244
3	结点	0.029175	0.0106	2.7581
4	Copula	0.026123	0.0081	3.2436
5	边际	0.017982	0.0046	3.9367
6	高斯	0.014329	0.0050	2.8381
7	相关系数	0.010071	0.0043	2.3273
8	贝叶斯	0.010034	0.0072	1.3912
9	既有	0.009728	0.0156	0.6225
10	健康	0.009467	0.0055	1.7121
11	网络	0.008219	0.0082	1.0055
12	Pearson	0.007408	0.0023	3.2436
13	模型	0.007210	0.0135	0.5355
14	正态分布	0.007082	0.0034	2.1041
15	吴忠坦	0.006678	0.0014	4.6299
16	蛛网	0.006625	0.0017	3.9367
17	函数	0.006462	0.0050	1.2800
18	分布	0.005802	0.0112	0.5190
19	相关性	0.005717	0.0036	1.5853
20	变量	0.005632	0.0036	1.5618
21	伽马	0.005565	0.0012	4.6299
22	线性相关	0.005094	0.0014	3.5313
23	machines	0.004839	0.0018	2.6840
24	监测点	0.004726	0.0038	1.2287
25	标准差	0.004656	0.0020	2.2785
26	防治	0.004641	0.0022	2.1450
27	boring	0.004599	0.0018	2.5504
28	existing	0.004588	0.0028	1.6594
29	passing	0.004575	0.0019	2.3786
30	对数	0.004357	0.0014	3.0204
31	AIC	0.004259	0.0011	3.9367
32	Fig	0.004232	0.0022	1.9557
33	推理	0.004158	0.0022	1.9218
34	净距	0.004130	0.0026	1.5618
35	关系	0.004056	0.0077	0.5272
36	概率	0.004021	0.0046	0.8804
37	概率分布	0.003917	0.0017	2.3273
38	Vi	0.003820	0.0011	3.5313
39	致险	0.003610	0.0017	2.1450
40	构建	0.003589	0.0053	0.6786
41	Spearman	0.003571	0.0010	3.7136
42	夹角	0.003541	0.0017	2.1041
43	Bayesian	0.003465	0.0018	1.9218
44	under	0.003441	0.0024	1.4312
45	tunnels	0.003430	0.0022	1.5853
46	横坐标	0.003412	0.0012	2.8381
47	Gaussian	0.003396	0.0010	3.5313
48	绝对值	0.003315	0.0012	2.7581
49	with	0.003304	0.0036	0.9163
50	of	0.003244	0.0063	0.5190
51	指标	0.003223	0.0067	0.4788
52	显著	0.003206	0.0026	1.2121
53	the	0.003187	0.0058	0.5523
54	拟合	0.003094	0.0014	2.1450
55	网络结构	0.002993	0.0012	2.4898
56	如式	0.002924	0.0012	2.4326
57	底层	0.002821	0.0014	1.9557
58	tunnel	0.002745	0.0032	0.8457
59	纵坐标	0.002729	0.0010	2.8381
60	联合	0.002725	0.0014	1.8890
61	新建	0.002676	0.0019	1.3912
62	更新	0.002668	0.0017	1.5853
63	非线性	0.002592	0.0014	1.7966
64	平均值	0.002590	0.0017	1.5388
65	因素	0.002563	0.0125	0.2050
66	was	0.002550	0.0014	1.7677
67	负相关	0.002547	0.0007	3.5313
68	and	0.002478	0.0049	0.5027
69	衡量	0.002470	0.0014	1.7121
70	最优	0.002443	0.0017	1.4518
71	依赖	0.002437	0.0012	2.0272
72	表征	0.002415	0.0011	2.2320
73	百分位	0.002366	0.0006	3.9367
74	散点图	0.002339	0.0007	3.2436
75	黏聚力	0.002339	0.0010	2.4326
76	基于	0.002338	0.0065	0.3602
77	输出	0.002310	0.0012	1.9218
78	二元	0.002254	0.0007	3.1258
79	陶宇	0.002226	0.0005	4.6299
80	POC	0.002226	0.0005	4.6299
