Rank	Word	TF-IDF	TF	IDF
1	安全等级	0.019645	0.0077	2.5504
2	指标	0.017639	0.0368	0.4788
3	铁路	0.017064	0.0234	0.7279
4	一致性	0.014182	0.0114	1.2455
5	权重	0.012605	0.0134	0.9410
6	证据	0.012234	0.0067	1.8265
7	如式	0.011406	0.0047	2.4326
8	ij	0.010275	0.0077	1.3340
9	评价	0.009711	0.0184	0.5272
10	隶属	0.009586	0.0067	1.4312
11	矩阵	0.009561	0.0107	0.8922
12	唐建平	0.009303	0.0020	4.6299
13	模型	0.008250	0.0154	0.5355
14	高为	0.007910	0.0020	3.9367
15	水文	0.007391	0.0067	1.1035
16	特征向量	0.007183	0.0033	2.1450
17	Enij	0.007074	0.0017	4.2244
18	检验	0.006889	0.0080	0.8571
19	融合	0.006550	0.0033	1.9557
20	定性描述	0.006518	0.0020	3.2436
21	越低	0.006518	0.0020	3.2436
22	基底	0.006517	0.0027	2.4326
23	Randbetween	0.006202	0.0013	4.6299
24	CI	0.005861	0.0027	2.1875
25	Aij	0.005659	0.0013	4.2244
26	数字	0.005473	0.0033	1.6341
27	因素	0.005424	0.0265	0.2050
28	得出	0.005216	0.0074	0.7079
29	干预	0.005125	0.0020	2.5504
30	量化	0.004871	0.0040	1.2121
31	一级	0.004777	0.0047	1.0189
32	En	0.004676	0.0020	2.3273
33	CR	0.004578	0.0020	2.2785
34	RI	0.004578	0.0020	2.2785
35	hi	0.004524	0.0013	3.3771
36	建筑物	0.004416	0.0094	0.4710
37	特征参数	0.004345	0.0013	3.2436
38	佳木斯大学	0.004244	0.0010	4.2244
39	模量	0.004149	0.0020	2.0649
40	指标体系	0.004095	0.0040	1.0189
41	判断	0.004005	0.0070	0.5694
42	从表	0.003918	0.0013	2.9251
43	归一化	0.003834	0.0027	1.4312
44	联合	0.003796	0.0020	1.8890
45	结果	0.003766	0.0121	0.3124
46	代表	0.003696	0.0033	1.1035
47	随机性	0.003610	0.0020	1.7966
48	等级	0.003485	0.0060	0.5781
49	函数	0.003429	0.0027	1.2800
50	层次	0.003421	0.0037	0.9286
51	相加	0.003417	0.0013	2.5504
52	模糊性	0.003284	0.0020	1.6341
53	不确定性	0.003279	0.0033	0.9792
54	保定	0.003101	0.0007	4.6299
55	jmsdxxb	0.003101	0.0007	4.6299
56	修下	0.003101	0.0007	4.6299
57	均会导	0.003101	0.0007	4.6299
58	其权	0.003101	0.0007	4.6299
59	Shaferevidencetheory	0.003101	0.0007	4.6299
60	漳州人	0.003101	0.0007	4.6299
61	ConsistenceIn	0.003101	0.0007	4.6299
62	ConsistenceRatio	0.003101	0.0007	4.6299
63	ConsistencyIndex	0.003101	0.0007	4.6299
64	当其值	0.003101	0.0007	4.6299
65	法度	0.003101	0.0007	4.6299
66	和技	0.003101	0.0007	4.6299
67	例为	0.003101	0.0007	4.6299
68	甄文战	0.003101	0.0007	4.6299
69	黄远春	0.003101	0.0007	4.6299
70	丹阳	0.003101	0.0007	4.6299
71	陈虹兵	0.003101	0.0007	4.6299
72	王多宏	0.003101	0.0007	4.6299
73	跨线	0.003101	0.0007	4.6299
74	陆宁云	0.003101	0.0007	4.6299
75	许志兴	0.003101	0.0007	4.6299
76	车门	0.003101	0.0007	4.6299
77	亚健康	0.003101	0.0007	4.6299
78	ResearchonRiskAssessmentofRailwayShieldTunnelConstruction	0.003101	0.0007	4.6299
79	BasedonRiskFactorsandCloudModels	0.003101	0.0007	4.6299
80	TANGJianping	0.003101	0.0007	4.6299
