Rank	Word	TF-IDF	TF	IDF
1	钢箱梁	0.030333	0.0082	3.7136
2	灌浆	0.013074	0.0053	2.4898
3	III	0.008850	0.0053	1.6854
4	河底	0.008811	0.0029	3.0204
5	曲率	0.007628	0.0029	2.6150
6	灾性	0.007394	0.0018	4.2244
7	河流	0.006992	0.0041	1.7121
8	IV	0.006613	0.0035	1.8890
9	损失	0.006282	0.0088	0.7178
10	非常低	0.005911	0.0018	3.3771
11	安全事故	0.005575	0.0064	0.8687
12	张洪庆	0.005402	0.0012	4.6299
13	曲红波	0.005402	0.0012	4.6299
14	致灾性	0.005402	0.0012	4.6299
15	李新宇	0.005402	0.0012	4.6299
16	非常	0.005074	0.0053	0.9663
17	黄俊	0.004929	0.0012	4.2244
18	莲花	0.004929	0.0012	4.2244
19	土壤	0.004819	0.0023	2.0649
20	CONSUMERS	0.004594	0.0012	3.9367
21	表现形式	0.004120	0.0012	3.5313
22	位移	0.004000	0.0047	0.8571
23	互通	0.003941	0.0012	3.3771
24	频率	0.003761	0.0035	1.0745
25	II	0.003756	0.0023	1.6094
26	地下管道	0.003647	0.0012	3.1258
27	评估	0.003572	0.0099	0.3602
28	详尽	0.003524	0.0012	3.0204
29	比较	0.003365	0.0053	0.6409
30	罕见	0.002976	0.0012	2.5504
31	工程机械	0.002905	0.0012	2.4898
32	应当	0.002905	0.0018	1.6594
33	偶尔	0.002839	0.0012	2.4326
34	用户	0.002716	0.0012	2.3273
35	CONSTRUCTION	0.002716	0.0012	2.3273
36	径顶	0.002701	0.0006	4.6299
37	廖应	0.002701	0.0006	4.6299
38	达勇	0.002701	0.0006	4.6299
39	推施	0.002701	0.0006	4.6299
40	王松	0.002701	0.0006	4.6299
41	孙蕊鑫	0.002701	0.0006	4.6299
42	将导梁	0.002701	0.0006	4.6299
43	郑超	0.002701	0.0006	4.6299
44	长阳	0.002701	0.0006	4.6299
45	刘小宇	0.002701	0.0006	4.6299
46	王天荣	0.002701	0.0006	4.6299
47	徐硕华	0.002701	0.0006	4.6299
48	贺敏刚	0.002701	0.0006	4.6299
49	口岸	0.002701	0.0006	4.6299
50	致过	0.002701	0.0006	4.6299
51	高额	0.002701	0.0006	4.6299
52	不发	0.002701	0.0006	4.6299
53	强致	0.002701	0.0006	4.6299
54	中致	0.002701	0.0006	4.6299
55	弱致	0.002701	0.0006	4.6299
56	吴辉显	0.002701	0.0006	4.6299
57	王登皇	0.002701	0.0006	4.6299
58	水致	0.002701	0.0006	4.6299
59	土壤层	0.002701	0.0006	4.6299
60	会破	0.002701	0.0006	4.6299
61	姜叶翔	0.002701	0.0006	4.6299
62	谢章明	0.002701	0.0006	4.6299
63	古树	0.002701	0.0006	4.6299
64	钱丽华	0.002701	0.0006	4.6299
65	侯艳娟	0.002701	0.0006	4.6299
66	及结	0.002701	0.0006	4.6299
67	饶彩琴	0.002701	0.0006	4.6299
68	要素	0.002654	0.0018	1.5163
69	建材	0.002503	0.0012	2.1450
70	建筑物	0.002473	0.0053	0.4710
71	奇峰	0.002465	0.0006	4.2244
72	尾端	0.002465	0.0006	4.2244
73	砌块	0.002465	0.0006	4.2244
74	机械性	0.002465	0.0006	4.2244
75	落梁	0.002465	0.0006	4.2244
76	桁梁	0.002465	0.0006	4.2244
77	涉铁	0.002465	0.0006	4.2244
78	横琴	0.002465	0.0006	4.2244
79	极弱	0.002465	0.0006	4.2244
80	曾多次	0.002465	0.0006	4.2244
