Rank	Word	TF-IDF	TF	IDF
1	机车	0.015312	0.0049	3.1258
2	基座	0.013607	0.0077	1.7677
3	牵引	0.013510	0.0049	2.7581
4	续航	0.012960	0.0028	4.6299
5	锂电池	0.011825	0.0028	4.2244
6	新能源	0.011019	0.0028	3.9367
7	长大	0.010235	0.0035	2.9251
8	规避	0.008716	0.0070	1.2455
9	内燃	0.008265	0.0021	3.9367
10	所以	0.007844	0.0077	1.0189
11	以此	0.007532	0.0063	1.1959
12	喷涌	0.006184	0.0042	1.4729
13	供水	0.006141	0.0021	2.9251
14	充电	0.005912	0.0014	4.2244
15	作业	0.005362	0.0105	0.5108
16	增强	0.005089	0.0042	1.2121
17	反力	0.004438	0.0028	1.5853
18	接收端	0.004417	0.0021	2.1041
19	需要	0.004324	0.0224	0.1931
20	洞口	0.004244	0.0028	1.5163
21	输送机	0.004244	0.0028	1.5163
22	阶段	0.003928	0.0105	0.3743
23	线型	0.003860	0.0014	2.7581
24	接收	0.003768	0.0049	0.7691
25	密封	0.003666	0.0049	0.7483
26	来看	0.003259	0.0028	1.1641
27	资大	0.003240	0.0007	4.6299
28	购机	0.003240	0.0007	4.6299
29	对空	0.003240	0.0007	4.6299
30	渗浆	0.003240	0.0007	4.6299
31	保其	0.003240	0.0007	4.6299
32	淹井	0.003240	0.0007	4.6299
33	案来	0.003240	0.0007	4.6299
34	杨君华	0.003240	0.0007	4.6299
35	新乡	0.003240	0.0007	4.6299
36	高低温	0.003240	0.0007	4.6299
37	汉济	0.003240	0.0007	4.6299
38	引松	0.003240	0.0007	4.6299
39	秦岭隧道	0.003240	0.0007	4.6299
40	桃花铺	0.003240	0.0007	4.6299
41	磨沟岭	0.003240	0.0007	4.6299
42	天山	0.003240	0.0007	4.6299
43	引红济石	0.003240	0.0007	4.6299
44	引大济	0.003240	0.0007	4.6299
45	引洮	0.003240	0.0007	4.6299
46	原动机	0.003240	0.0007	4.6299
47	牲口	0.003240	0.0007	4.6299
48	证其	0.003240	0.0007	4.6299
49	猛推	0.003240	0.0007	4.6299
50	澄土	0.003240	0.0007	4.6299
51	猛开	0.003240	0.0007	4.6299
52	段沟	0.003240	0.0007	4.6299
53	预兆	0.003240	0.0007	4.6299
54	发信号	0.003240	0.0007	4.6299
55	左九如	0.003240	0.0007	4.6299
56	关闭	0.003189	0.0014	2.2785
57	塌方	0.003048	0.0021	1.4518
58	流动量	0.002956	0.0007	4.2244
59	地被	0.002956	0.0007	4.2244
60	对洞	0.002956	0.0007	4.2244
61	对注	0.002956	0.0007	4.2244
62	仪器仪表	0.002956	0.0007	4.2244
63	indd	0.002956	0.0007	4.2244
64	电池	0.002956	0.0007	4.2244
65	起动	0.002956	0.0007	4.2244
66	扩大化	0.002956	0.0007	4.2244
67	强推	0.002956	0.0007	4.2244
68	地应	0.002956	0.0007	4.2244
69	徐杏华	0.002956	0.0007	4.2244
70	始发	0.002905	0.0056	0.5190
71	螺旋	0.002852	0.0028	1.0189
72	现象	0.002832	0.0049	0.5781
73	构法	0.002786	0.0014	1.9908
74	倾翻	0.002755	0.0007	3.9367
75	独头	0.002755	0.0007	3.9367
76	成本低	0.002755	0.0007	3.9367
77	名列前茅	0.002755	0.0007	3.9367
78	高原	0.002755	0.0007	3.9367
79	李朝	0.002755	0.0007	3.9367
80	丛敏	0.002755	0.0007	3.9367
