Rank	Word	TF-IDF	TF	IDF
1	企业	0.015447	0.0103	1.4944
2	风险管理	0.014868	0.0282	0.5272
3	专业学位	0.008227	0.0031	2.6150
4	论文	0.006183	0.0046	1.3340
5	隐患	0.005176	0.0040	1.2977
6	启示	0.004933	0.0015	3.3771
7	公司	0.004636	0.0039	1.1959
8	层面	0.004300	0.0025	1.7395
9	管理策略	0.003874	0.0014	2.7581
10	全面	0.003785	0.0069	0.5523
11	管理工作	0.003646	0.0026	1.4110
12	人才队伍	0.003641	0.0008	4.6299
13	先进	0.003386	0.0019	1.8265
14	辨识	0.003364	0.0033	1.0326
15	管理体系	0.003270	0.0019	1.7121
16	硕士	0.003220	0.0032	1.0055
17	文化	0.003133	0.0015	2.1450
18	万喜	0.003121	0.0007	4.6299
19	规章制度	0.003029	0.0011	2.8381
20	意识	0.003028	0.0019	1.5853
21	全员	0.002985	0.0010	3.1258
22	人才	0.002944	0.0011	2.7581
23	现状及	0.002865	0.0011	2.6840
24	豪赫	0.002861	0.0006	4.6299
25	蒂夫	0.002861	0.0006	4.6299
26	管控	0.002817	0.0038	0.7483
27	员工	0.002688	0.0012	2.2785
28	BIM	0.002571	0.0010	2.6150
29	落实	0.002457	0.0017	1.4110
30	事故	0.002448	0.0068	0.3602
31	管理制度	0.002331	0.0014	1.6594
32	策略	0.002312	0.0017	1.3718
33	法国	0.002301	0.0008	2.9251
34	素质	0.002204	0.0011	2.0649
35	培养	0.002194	0.0010	2.2320
36	未能	0.002122	0.0011	1.8890
37	教育	0.002070	0.0016	1.3157
38	项目部	0.002048	0.0010	2.1450
39	管理层	0.002036	0.0007	3.0204
40	岗位	0.002006	0.0009	2.2320
41	职责	0.001920	0.0008	2.2785
42	管理手段	0.001897	0.0006	3.3771
43	打造	0.001897	0.0006	3.3771
44	管理人员	0.001897	0.0016	1.1641
45	应对	0.001887	0.0033	0.5694
46	信息化	0.001874	0.0014	1.3340
47	优秀	0.001843	0.0008	2.1875
48	布依	0.001821	0.0004	4.6299
49	北京	0.001820	0.0034	0.5355
50	大学	0.001820	0.0034	0.5355
51	剖析	0.001809	0.0007	2.6840
52	培训	0.001795	0.0015	1.2287
53	现阶段	0.001773	0.0008	2.1041
54	手段	0.001757	0.0020	0.8687
55	监控	0.001754	0.0030	0.5781
56	国内外	0.001744	0.0019	0.9410
57	制度	0.001744	0.0012	1.4110
58	管理者	0.001661	0.0010	1.7395
59	排查	0.001661	0.0010	1.7395
60	能够	0.001641	0.0034	0.4788
61	组织	0.001636	0.0022	0.7279
62	我国	0.001630	0.0027	0.6045
63	信息技术	0.001603	0.0007	2.3786
64	健全	0.001598	0.0007	2.1875
65	洞门	0.001592	0.0014	1.1334
66	COSO	0.001561	0.0003	4.6299
67	哈尔滨	0.001503	0.0006	2.4326
68	人员	0.001500	0.0039	0.3814
69	全过程	0.001498	0.0012	1.2121
70	刘伊生	0.001431	0.0003	4.6299
71	the	0.001427	0.0026	0.5523
72	国外	0.001398	0.0008	1.6594
73	评估	0.001396	0.0039	0.3602
74	管理	0.001396	0.0077	0.1813
75	职能部门	0.001389	0.0004	3.5313
76	机构	0.001377	0.0008	1.6341
77	贯穿	0.001367	0.0007	2.0272
78	要素	0.001363	0.0009	1.5163
79	重视	0.001362	0.0011	1.2121
80	信息	0.001334	0.0020	0.6596
