Rank	Word	TF-IDF	TF	IDF
1	车站	0.016665	0.0172	0.9663
2	素桩	0.011147	0.0026	4.2244
3	换乘	0.009855	0.0040	2.4898
4	既有	0.009739	0.0156	0.6225
5	mm	0.009489	0.0101	0.9410
6	开舱	0.009373	0.0032	2.9251
7	底板	0.008852	0.0051	1.7395
8	孙会良	0.007854	0.0017	4.6299
9	削磨	0.007854	0.0017	4.6299
10	station	0.007798	0.0028	2.7581
11	圆砾层	0.007798	0.0028	2.7581
12	广西大学	0.007719	0.0026	2.9251
13	降水	0.007615	0.0060	1.2626
14	existing	0.007507	0.0045	1.6594
15	出入口	0.006725	0.0021	3.2436
16	近距离	0.006370	0.0040	1.6094
17	立柱	0.006238	0.0023	2.7581
18	kN	0.005629	0.0028	1.9908
19	袖阀	0.005044	0.0021	2.4326
20	of	0.004940	0.0095	0.5190
21	验算	0.004436	0.0017	2.6150
22	Fig	0.004423	0.0023	1.9557
23	南宁	0.004203	0.0021	2.0272
24	层土	0.004200	0.0011	3.7136
25	crossing	0.004034	0.0024	1.7121
26	既有线	0.003892	0.0019	2.0649
27	临时	0.003620	0.0026	1.3718
28	Beijing	0.003569	0.0017	2.1041
29	群井	0.003491	0.0008	4.6299
30	时态	0.003491	0.0008	4.6299
31	变形缝	0.003416	0.0011	3.0204
32	位移	0.003393	0.0040	0.8571
33	裂缝	0.003380	0.0023	1.4944
34	连续	0.003336	0.0047	0.7079
35	Nanning	0.003328	0.0009	3.5313
36	通道	0.003322	0.0041	0.8012
37	线下	0.003318	0.0017	1.9557
38	kNm	0.003260	0.0017	1.9218
39	曲线	0.003233	0.0041	0.7797
40	弯矩	0.003210	0.0011	2.8381
41	扶梯	0.003185	0.0008	4.2244
42	加固	0.003157	0.0106	0.2991
43	刀高	0.003150	0.0008	3.7136
44	自重	0.003098	0.0017	1.8265
45	配筋	0.003057	0.0009	3.2436
46	underneath	0.003035	0.0011	2.6840
47	磨损量	0.003035	0.0011	2.6840
48	Guangxi	0.002968	0.0008	3.9367
49	圆砾	0.002957	0.0011	2.6150
50	MIDAS	0.002946	0.0009	3.1258
51	三角	0.002898	0.0015	1.9218
52	the	0.002863	0.0052	0.5523
53	强制	0.002847	0.0009	3.0204
54	Press	0.002847	0.0009	3.0204
55	附加	0.002776	0.0013	2.1041
56	GTS	0.002757	0.0009	2.9251
57	shield	0.002738	0.0043	0.6317
58	撕裂	0.002675	0.0009	2.8381
59	障碍物	0.002623	0.0015	1.7395
60	entrance	0.002618	0.0006	4.6299
61	加高	0.002618	0.0006	4.6299
62	and	0.002558	0.0051	0.5027
63	穿越	0.002481	0.0111	0.2231
64	Settlement	0.002464	0.0009	2.6150
65	HU	0.002445	0.0008	3.2436
66	抗浮	0.002445	0.0008	3.2436
67	水位	0.002399	0.0025	0.9792
68	降深	0.002389	0.0006	4.2244
69	NX	0.002357	0.0008	3.1258
70	偏磨	0.002346	0.0009	2.4898
71	line	0.002346	0.0014	1.6594
72	接收	0.002320	0.0030	0.7691
73	玻璃纤维	0.002277	0.0008	3.0204
74	passing	0.002242	0.0009	2.3786
75	内力	0.002242	0.0009	2.3786
76	主筋	0.002226	0.0006	3.9367
77	沉降	0.002210	0.0135	0.1640
78	斜交	0.002205	0.0008	2.9251
79	自动化	0.002189	0.0015	1.4518
80	obliquely	0.002182	0.0005	4.6299
