Rank	Word	TF-IDF	TF	IDF
1	挖掘	0.015977	0.0113	1.4110
2	后座	0.008358	0.0021	3.9367
3	土壤结构	0.006553	0.0014	4.6299
4	中腰线	0.006553	0.0014	4.6299
5	橡胶板	0.006413	0.0021	3.0204
6	折叠	0.005979	0.0014	4.2244
7	腰线	0.005979	0.0014	4.2244
8	来讲	0.005856	0.0021	2.7581
9	所以	0.005769	0.0057	1.0189
10	帘布	0.005698	0.0021	2.6840
11	环负	0.005572	0.0014	3.9367
12	隧道口	0.005572	0.0014	3.9367
13	极容易	0.005256	0.0014	3.7136
14	一些	0.005184	0.0050	1.0463
15	经理世界	0.004998	0.0014	3.5313
16	机体	0.004780	0.0014	3.3771
17	水平面	0.004780	0.0014	3.3771
18	土质	0.004698	0.0028	1.6594
19	竖直	0.004644	0.0021	2.1875
20	还要	0.004556	0.0028	1.6094
21	比如	0.004488	0.0028	1.5853
22	王灿	0.004484	0.0011	4.2244
23	花费	0.004424	0.0014	3.1258
24	手工	0.004424	0.0014	3.1258
25	轴承	0.004304	0.0021	2.0272
26	洞口	0.004293	0.0028	1.5163
27	桥梁工程	0.004275	0.0014	3.0204
28	厂家	0.004275	0.0014	3.0204
29	还应	0.004140	0.0014	2.9251
30	闭合	0.004140	0.0014	2.9251
31	测量	0.004064	0.0057	0.7178
32	弧形	0.004017	0.0014	2.8381
33	密闭	0.003799	0.0014	2.6840
34	才能	0.003776	0.0028	1.3340
35	这样	0.003526	0.0028	1.2455
36	而且	0.003295	0.0028	1.1641
37	实地	0.003294	0.0014	2.3273
38	以免	0.003294	0.0014	2.3273
39	到施	0.003277	0.0007	4.6299
40	用度	0.003277	0.0007	4.6299
41	应组	0.003277	0.0007	4.6299
42	口碑	0.003277	0.0007	4.6299
43	钢后	0.003277	0.0007	4.6299
44	一万	0.003277	0.0007	4.6299
45	合面	0.003277	0.0007	4.6299
46	理度	0.003277	0.0007	4.6299
47	换用	0.003277	0.0007	4.6299
48	联测	0.003277	0.0007	4.6299
49	丁如光	0.003277	0.0007	4.6299
50	试析	0.003277	0.0007	4.6299
51	德州人	0.003277	0.0007	4.6299
52	工作人员	0.003267	0.0021	1.5388
53	只有	0.003267	0.0021	1.5388
54	作业	0.003254	0.0064	0.5108
55	当中	0.003225	0.0014	2.2785
56	做出	0.003166	0.0028	1.1183
57	项目	0.003157	0.0127	0.2478
58	抛弃	0.002990	0.0007	4.2244
59	比起	0.002990	0.0007	4.2244
60	混用	0.002990	0.0007	4.2244
61	对主	0.002990	0.0007	4.2244
62	举足	0.002990	0.0007	4.2244
63	地降	0.002990	0.0007	4.2244
64	接通	0.002990	0.0007	4.2244
65	此区	0.002990	0.0007	4.2244
66	来进	0.002990	0.0007	4.2244
67	面内	0.002990	0.0007	4.2244
68	程师	0.002990	0.0007	4.2244
69	人员	0.002969	0.0078	0.3814
70	中心线	0.002923	0.0014	2.0649
71	检测	0.002913	0.0035	0.8232
72	刀具	0.002882	0.0042	0.6786
73	两端	0.002869	0.0014	2.0272
74	相应	0.002852	0.0071	0.4030
75	制作	0.002818	0.0014	1.9908
76	在技术上	0.002786	0.0007	3.9367
77	生后	0.002786	0.0007	3.9367
78	充分保证	0.002786	0.0007	3.9367
79	土质条件	0.002786	0.0007	3.9367
80	紧贴	0.002786	0.0007	3.9367
