Rank	Word	TF-IDF	TF	IDF
1	洞门	0.017287	0.0153	1.1334
2	TBM	0.016830	0.0116	1.4518
3	始发	0.015832	0.0305	0.5190
4	双护盾	0.013853	0.0043	3.2436
5	接收	0.013609	0.0177	0.7691
6	负环	0.010199	0.0055	1.8573
7	敞开式	0.009825	0.0037	2.6840
8	基座	0.009707	0.0055	1.7677
9	掘进机	0.009380	0.0049	1.9218
10	单护盾	0.009063	0.0024	3.7136
11	工艺流程	0.008905	0.0037	2.4326
12	端头	0.007709	0.0067	1.1486
13	该种	0.007629	0.0024	3.1258
14	类型	0.007054	0.0122	0.5781
15	加固	0.006023	0.0201	0.2991
16	无水	0.005937	0.0018	3.2436
17	城南区	0.005650	0.0012	4.6299
18	正环	0.005155	0.0012	4.2244
19	接收端	0.005135	0.0024	2.1041
20	破除	0.005039	0.0024	2.0649
21	岩层	0.004972	0.0043	1.1641
22	南区	0.004804	0.0012	3.9367
23	工法	0.004713	0.0043	1.1035
24	洞口	0.004626	0.0031	1.5163
25	相距	0.004532	0.0012	3.7136
26	到达	0.004340	0.0055	0.7904
27	安装	0.004232	0.0073	0.5781
28	环梁	0.004121	0.0012	3.3771
29	有水	0.004121	0.0012	3.3771
30	成效	0.004121	0.0012	3.3771
31	高效率	0.003958	0.0012	3.2436
32	进洞	0.003780	0.0018	2.0649
33	未来	0.003595	0.0024	1.4729
34	取芯	0.003569	0.0012	2.9251
35	导轨	0.003569	0.0012	2.9251
36	模式	0.003399	0.0037	0.9286
37	探析	0.003366	0.0012	2.7581
38	割除	0.003275	0.0012	2.6840
39	需在	0.003191	0.0012	2.6150
40	分块	0.003191	0.0012	2.6150
41	衬砌	0.003096	0.0037	0.8457
42	改良	0.003040	0.0024	1.2455
43	下井	0.003038	0.0012	2.4898
44	定位	0.003037	0.0018	1.6594
45	青岛	0.002902	0.0018	1.5853
46	价值	0.002880	0.0024	1.1799
47	城北区	0.002825	0.0006	4.6299
48	井向南	0.002825	0.0006	4.6299
49	座联	0.002825	0.0006	4.6299
50	工于	0.002825	0.0006	4.6299
51	对取	0.002825	0.0006	4.6299
52	土芯	0.002825	0.0006	4.6299
53	需凿	0.002825	0.0006	4.6299
54	从外	0.002825	0.0006	4.6299
55	楔木	0.002825	0.0006	4.6299
56	后前	0.002825	0.0006	4.6299
57	机在始	0.002825	0.0006	4.6299
58	机管	0.002825	0.0006	4.6299
59	螺接	0.002825	0.0006	4.6299
60	调平后	0.002825	0.0006	4.6299
61	墙相	0.002825	0.0006	4.6299
62	力架	0.002825	0.0006	4.6299
63	设备利用	0.002825	0.0006	4.6299
64	其具	0.002825	0.0006	4.6299
65	利用设备	0.002825	0.0006	4.6299
66	力点	0.002825	0.0006	4.6299
67	当护盾	0.002825	0.0006	4.6299
68	刘长利	0.002825	0.0006	4.6299
69	杨皓博	0.002825	0.0006	4.6299
70	软岩平	0.002825	0.0006	4.6299
71	丁洪波	0.002825	0.0006	4.6299
72	李晓冬	0.002825	0.0006	4.6299
73	金鑫	0.002825	0.0006	4.6299
74	焊接	0.002735	0.0018	1.4944
75	紧固	0.002724	0.0012	2.2320
76	脚手架	0.002669	0.0012	2.1875
77	终点	0.002617	0.0012	2.1450
78	科技	0.002614	0.0049	0.5355
79	落实	0.002583	0.0018	1.4110
80	失圆	0.002577	0.0006	4.2244
