Rank	Word	TF-IDF	TF	IDF
1	吊装	0.011487	0.0081	1.4110
2	进出	0.010834	0.0075	1.4518
3	汽车吊	0.010078	0.0027	3.7136
4	养护	0.009992	0.0047	2.1041
5	隔离带	0.009423	0.0020	4.6299
6	高架	0.009104	0.0034	2.6840
7	支架	0.008870	0.0034	2.6150
8	双流	0.008598	0.0020	4.2244
9	依照	0.007283	0.0027	2.6840
10	顺利进行	0.006607	0.0047	1.3912
11	位移	0.006396	0.0075	0.8571
12	刘国建	0.006282	0.0014	4.6299
13	收起	0.006282	0.0014	4.6299
14	利用网络	0.005732	0.0014	4.2244
15	临时	0.005584	0.0041	1.3718
16	地表	0.005101	0.0129	0.3958
17	对此	0.005040	0.0027	1.8573
18	挂钩	0.005039	0.0014	3.7136
19	钢箱梁	0.005039	0.0014	3.7136
20	对策	0.004969	0.0047	1.0463
21	支腿	0.004791	0.0014	3.5313
22	站位	0.004791	0.0014	3.5313
23	失稳	0.004589	0.0047	0.9663
24	损失	0.004383	0.0061	0.7178
25	机对	0.004241	0.0014	3.1258
26	桥梁	0.004225	0.0034	1.2455
27	超浅	0.004098	0.0014	3.0204
28	洞时	0.004098	0.0014	3.0204
29	低速	0.004098	0.0014	3.0204
30	桥梁工程	0.004098	0.0014	3.0204
31	环节	0.004002	0.0034	1.1799
32	more	0.003717	0.0020	1.8265
33	流沙	0.003548	0.0014	2.6150
34	立刻	0.003301	0.0014	2.4326
35	冒顶	0.003227	0.0014	2.3786
36	量过大	0.003158	0.0014	2.3273
37	起吊	0.003158	0.0014	2.3273
38	车道	0.003158	0.0014	2.3273
39	从技术上	0.003141	0.0007	4.6299
40	tech	0.003141	0.0007	4.6299
41	若不加	0.003141	0.0007	4.6299
42	民权	0.003141	0.0007	4.6299
43	环壁	0.003141	0.0007	4.6299
44	此与盾	0.003141	0.0007	4.6299
45	过大现	0.003141	0.0007	4.6299
46	常发段	0.003141	0.0007	4.6299
47	力较	0.003141	0.0007	4.6299
48	机座	0.003141	0.0007	4.6299
49	机重	0.003141	0.0007	4.6299
50	百吨	0.003141	0.0007	4.6299
51	业后	0.003141	0.0007	4.6299
52	王立君	0.003141	0.0007	4.6299
53	散装	0.003141	0.0007	4.6299
54	喷雾	0.003141	0.0007	4.6299
55	由东	0.003141	0.0007	4.6299
56	往西	0.003141	0.0007	4.6299
57	由南	0.003141	0.0007	4.6299
58	往北	0.003141	0.0007	4.6299
59	钢索	0.003141	0.0007	4.6299
60	挂住	0.003141	0.0007	4.6299
61	半幅	0.003141	0.0007	4.6299
62	另半	0.003141	0.0007	4.6299
63	单改	0.003141	0.0007	4.6299
64	西幅	0.003141	0.0007	4.6299
65	根槽	0.003141	0.0007	4.6299
66	梁吊	0.003141	0.0007	4.6299
67	徐佳樊	0.003141	0.0007	4.6299
68	跨东幅	0.003141	0.0007	4.6299
69	比西	0.003141	0.0007	4.6299
70	幅多	0.003141	0.0007	4.6299
71	环口	0.003141	0.0007	4.6299
72	周辉	0.003141	0.0007	4.6299
73	上承式	0.003141	0.0007	4.6299
74	提篮	0.003141	0.0007	4.6299
75	纵桥	0.003141	0.0007	4.6299
76	现象	0.003137	0.0054	0.5781
77	出土	0.003067	0.0034	0.9042
78	管控	0.003046	0.0041	0.7483
79	安全可靠	0.003028	0.0014	2.2320
80	加快	0.002998	0.0020	1.4729
