Rank	Word	TF-IDF	TF	IDF
1	加压	0.005580	0.0024	2.3273
2	of	0.005475	0.0105	0.5190
3	泥水	0.005306	0.0067	0.7904
4	safety	0.004951	0.0048	1.0326
5	subway	0.004891	0.0043	1.1334
6	电机车	0.004666	0.0014	3.2436
7	NORTHERNARCHITECTURE	0.004440	0.0010	4.6299
8	NORTHERN	0.004440	0.0010	4.6299
9	管控	0.003947	0.0053	0.7483
10	城轨	0.003861	0.0014	2.6840
11	洞段	0.003775	0.0010	3.9367
12	洞口	0.003635	0.0024	1.5163
13	ARCHITECTURE	0.003561	0.0010	3.7136
14	the	0.003443	0.0062	0.5523
15	investment	0.003386	0.0010	3.5313
16	construction	0.003332	0.0053	0.6317
17	需注意	0.003239	0.0010	3.3771
18	十分必要	0.003111	0.0010	3.2436
19	shield	0.003029	0.0048	0.6317
20	大中型	0.002998	0.0010	3.1258
21	运输	0.002971	0.0029	1.0326
22	识别	0.002970	0.0043	0.6883
23	way	0.002897	0.0010	3.0204
24	tion	0.002897	0.0010	3.0204
25	防止出现	0.002805	0.0010	2.9251
26	等级	0.002772	0.0048	0.5781
27	包括	0.002706	0.0067	0.4030
28	very	0.002645	0.0010	2.7581
29	运输车	0.002574	0.0010	2.6840
30	概率	0.002533	0.0029	0.8804
31	对策	0.002509	0.0024	1.0463
32	advantages	0.002508	0.0010	2.6150
33	四级	0.002508	0.0010	2.6150
34	many	0.002446	0.0010	2.5504
35	五级	0.002388	0.0010	2.4898
36	起始	0.002388	0.0010	2.4898
37	management	0.002357	0.0019	1.2287
38	机械	0.002337	0.0029	0.8122
39	压注	0.002281	0.0010	2.3786
40	搅拌	0.002281	0.0014	1.5853
41	are	0.002256	0.0024	0.9410
42	安全措施	0.002232	0.0010	2.3273
43	层次	0.002226	0.0024	0.9286
44	载量	0.002220	0.0005	4.6299
45	transporta	0.002220	0.0005	4.6299
46	oc	0.002220	0.0005	4.6299
47	curred	0.002220	0.0005	4.6299
48	threatens	0.002220	0.0005	4.6299
49	consulted	0.002220	0.0005	4.6299
50	elaborated	0.002220	0.0005	4.6299
51	identifi	0.002220	0.0005	4.6299
52	cation	0.002220	0.0005	4.6299
53	engineer	0.002220	0.0005	4.6299
54	交通秩序	0.002220	0.0005	4.6299
55	该是	0.002220	0.0005	4.6299
56	整体规划	0.002220	0.0005	4.6299
57	必然性	0.002220	0.0005	4.6299
58	行为主体	0.002220	0.0005	4.6299
59	指自	0.002220	0.0005	4.6299
60	预前	0.002220	0.0005	4.6299
61	经济体制	0.002220	0.0005	4.6299
62	来明	0.002220	0.0005	4.6299
63	固不牢	0.002220	0.0005	4.6299
64	孔涌水	0.002220	0.0005	4.6299
65	障等	0.002220	0.0005	4.6299
66	装后	0.002220	0.0005	4.6299
67	以杜	0.002220	0.0005	4.6299
68	防溜	0.002220	0.0005	4.6299
69	要配	0.002220	0.0005	4.6299
70	孔管	0.002220	0.0005	4.6299
71	隔仓内	0.002220	0.0005	4.6299
72	用泥	0.002220	0.0005	4.6299
73	地排	0.002220	0.0005	4.6299
74	化作	0.002220	0.0005	4.6299
75	百科	0.002220	0.0005	4.6299
76	countermeasures	0.002185	0.0010	2.2785
77	there	0.002140	0.0010	2.2320
78	常压	0.002140	0.0010	2.2320
79	risk	0.002123	0.0029	0.7380
80	优点	0.002089	0.0019	1.0889
