Rank	Word	TF-IDF	TF	IDF
1	隐患	0.017761	0.0137	1.2977
2	排查	0.011765	0.0068	1.7395
3	暂行办法	0.009863	0.0021	4.6299
4	全日制	0.009403	0.0027	3.5313
5	FRAM	0.008877	0.0019	4.6299
6	治理	0.008350	0.0044	1.8890
7	HAZOP	0.008137	0.0018	4.6299
8	共振	0.007644	0.0017	4.6299
9	双重	0.007293	0.0029	2.4898
10	整改	0.007060	0.0034	2.1041
11	功能	0.006430	0.0074	0.8687
12	分级	0.005490	0.0038	1.4518
13	偶尔	0.005312	0.0022	2.4326
14	大连	0.005178	0.0029	1.7677
15	硕士学位	0.004513	0.0026	1.7121
16	CRITIC	0.004316	0.0013	3.3771
17	功能模块	0.004146	0.0013	3.2436
18	ZX	0.003758	0.0010	3.7136
19	Table	0.003722	0.0020	1.8890
20	论文	0.003517	0.0026	1.3340
21	规范	0.003485	0.0059	0.5868
22	机制	0.003410	0.0029	1.1641
23	揭露	0.003368	0.0014	2.4326
24	III	0.003321	0.0020	1.6854
25	单位	0.003290	0.0058	0.5694
26	标段	0.003278	0.0021	1.5388
27	事故	0.003261	0.0091	0.3602
28	Fig	0.003229	0.0017	1.9557
29	销号	0.003205	0.0007	4.6299
30	预防	0.003189	0.0031	1.0326
31	管控	0.003188	0.0043	0.7483
32	白云岩	0.003163	0.0010	3.1258
33	监理	0.003136	0.0024	1.2800
34	权重	0.003007	0.0032	0.9410
35	过量	0.002996	0.0010	3.1258
36	续表	0.002972	0.0013	2.2320
37	洞门	0.002958	0.0026	1.1334
38	层底	0.002878	0.0009	3.3771
39	施工单位	0.002875	0.0025	1.1486
40	起数	0.002712	0.0006	4.6299
41	指标	0.002703	0.0056	0.4788
42	违反	0.002664	0.0009	3.1258
43	error	0.002644	0.0010	2.7581
44	录入	0.002591	0.0008	3.2436
45	罕见	0.002581	0.0010	2.5504
46	模型	0.002510	0.0047	0.5355
47	of	0.002488	0.0048	0.5190
48	系统性	0.002409	0.0014	1.7395
49	参考	0.002395	0.0051	0.4710
50	第三章	0.002354	0.0012	1.9218
51	条例	0.002337	0.0008	2.9251
52	平台	0.002294	0.0020	1.1641
53	专业	0.002280	0.0028	0.8232
54	可拓云	0.002252	0.0007	3.0204
55	下发	0.002246	0.0007	3.2436
56	输出	0.002149	0.0011	1.9218
57	法律	0.002144	0.0008	2.6840
58	严重	0.002117	0.0044	0.4788
59	到位	0.002094	0.0017	1.2287
60	第四章	0.002083	0.0011	1.9557
61	基座	0.002071	0.0012	1.7677
62	生产	0.002062	0.0020	1.0189
63	the	0.002059	0.0037	0.5523
64	龙门吊	0.002037	0.0008	2.5504
65	合格	0.002010	0.0014	1.4518
66	人员伤亡	0.001933	0.0013	1.4518
67	hidden	0.001900	0.0006	3.2436
68	Other	0.001887	0.0005	3.9367
69	单元	0.001883	0.0015	1.2626
70	辨识	0.001870	0.0018	1.0326
71	后果	0.001866	0.0014	1.2977
72	轴承	0.001835	0.0009	2.0272
73	评价	0.001825	0.0035	0.5272
74	失效	0.001807	0.0017	1.0603
75	千斤顶	0.001803	0.0013	1.4110
76	系统	0.001798	0.0063	0.2861
77	不当	0.001780	0.0021	0.8571
78	反力	0.001773	0.0011	1.5853
79	信息管理	0.001769	0.0006	3.0204
80	审核	0.001763	0.0006	2.7581
