Rank	Word	TF-IDF	TF	IDF
1	电机车	0.021953	0.0068	3.2436
2	安全控制	0.012160	0.0068	1.7966
3	次复紧	0.007834	0.0017	4.6299
4	紧急制动	0.007834	0.0017	4.6299
5	复紧	0.007424	0.0025	2.9251
6	运行	0.007251	0.0085	0.8571
7	拼装	0.007151	0.0110	0.6502
8	正式	0.006285	0.0034	1.8573
9	专员	0.006284	0.0017	3.7136
10	轨枕	0.005975	0.0017	3.5313
11	以免	0.005907	0.0025	2.3273
12	严禁	0.005783	0.0025	2.2785
13	下一环	0.005714	0.0017	3.3771
14	刹车	0.005488	0.0017	3.2436
15	防水	0.005454	0.0051	1.0745
16	制动	0.005289	0.0017	3.1258
17	俊杰	0.005111	0.0017	3.0204
18	有时	0.005111	0.0017	3.0204
19	若有	0.004949	0.0017	2.9251
20	风险管理	0.004906	0.0093	0.5272
21	土仓内	0.004878	0.0025	1.9218
22	溜车	0.004802	0.0017	2.8381
23	运输车	0.004541	0.0017	2.6840
24	浅析	0.004541	0.0017	2.6840
25	螺栓	0.004514	0.0034	1.3340
26	基座	0.004486	0.0025	1.7677
27	轨道	0.004426	0.0042	1.0463
28	伸缩	0.004425	0.0017	2.6150
29	装置	0.004368	0.0042	1.0326
30	车辆	0.004345	0.0025	1.7121
31	及时处理	0.004213	0.0017	2.4898
32	渗漏水	0.004212	0.0025	1.6594
33	纠偏	0.004158	0.0034	1.2287
34	干净	0.004116	0.0017	2.4326
35	时应	0.004024	0.0025	1.5853
36	反力	0.004024	0.0025	1.5853
37	做到	0.003993	0.0034	1.1799
38	维修	0.003940	0.0034	1.1641
39	无关	0.003938	0.0017	2.3273
40	纠少	0.003917	0.0008	4.6299
41	勤检勤	0.003917	0.0008	4.6299
42	取盾	0.003917	0.0008	4.6299
43	设计所	0.003917	0.0008	4.6299
44	旋喷法	0.003917	0.0008	4.6299
45	好三紧	0.003917	0.0008	4.6299
46	车前	0.003917	0.0008	4.6299
47	仔细观察	0.003917	0.0008	4.6299
48	侧滚	0.003917	0.0008	4.6299
49	使电	0.003917	0.0008	4.6299
50	车苗	0.003917	0.0008	4.6299
51	头时	0.003917	0.0008	4.6299
52	防溜车止	0.003917	0.0008	4.6299
53	警铃	0.003917	0.0008	4.6299
54	可改	0.003917	0.0008	4.6299
55	移走	0.003917	0.0008	4.6299
56	提放	0.003917	0.0008	4.6299
57	张志	0.003917	0.0008	4.6299
58	何乐	0.003917	0.0008	4.6299
59	需准	0.003917	0.0008	4.6299
60	过快	0.003777	0.0017	2.2320
61	作出	0.003701	0.0017	2.1875
62	筑物	0.003636	0.0034	1.0745
63	异常	0.003636	0.0034	1.0745
64	千斤顶	0.003581	0.0025	1.4110
65	吊装	0.003581	0.0025	1.4110
66	机的实	0.003574	0.0008	4.2244
67	过大易	0.003574	0.0008	4.2244
68	前瞻性	0.003574	0.0008	4.2244
69	率及	0.003574	0.0008	4.2244
70	抵触	0.003574	0.0008	4.2244
71	及钢	0.003574	0.0008	4.2244
72	TRANSPOWORLD	0.003574	0.0008	4.2244
73	土斗	0.003574	0.0008	4.2244
74	土斗上	0.003574	0.0008	4.2244
75	多方位	0.003574	0.0008	4.2244
76	渣土	0.003541	0.0034	1.0463
77	司机	0.003430	0.0017	2.0272
78	受损	0.003430	0.0017	2.0272
79	匀速	0.003369	0.0017	1.9908
80	土方	0.003369	0.0017	1.9908
