Rank	Word	TF-IDF	TF	IDF
1	管理体制	0.019080	0.0045	4.2244
2	人才	0.014949	0.0054	2.7581
3	管理模式	0.012819	0.0045	2.8381
4	风险管理	0.012383	0.0235	0.5272
5	工作人员	0.011121	0.0072	1.5388
6	团队	0.010600	0.0054	1.9557
7	物质	0.010512	0.0045	2.3273
8	机器	0.008389	0.0045	1.8573
9	文化	0.007751	0.0036	2.1450
10	运作	0.007691	0.0027	2.8381
11	技术设备	0.007112	0.0018	3.9367
12	领导者	0.006709	0.0018	3.7136
13	危机	0.006709	0.0018	3.7136
14	创新	0.006226	0.0054	1.1486
15	危险	0.006110	0.0063	0.9663
16	领导	0.005928	0.0027	2.1875
17	定制	0.005860	0.0018	3.2436
18	李明	0.005860	0.0018	3.2436
19	树立	0.005457	0.0018	3.0204
20	缺乏	0.005329	0.0045	1.1799
21	安全意识	0.005171	0.0036	1.4312
22	没有	0.005136	0.0063	0.8122
23	头脑	0.005128	0.0018	2.8381
24	屏障	0.004849	0.0018	2.6840
25	弊端	0.004608	0.0018	2.5504
26	除此之外	0.004608	0.0018	2.5504
27	生产	0.004602	0.0045	1.0189
28	管理	0.004587	0.0253	0.1813
29	高速	0.004497	0.0027	1.6594
30	安全隐患	0.004263	0.0036	1.1799
31	源头	0.004205	0.0018	2.3273
32	这种	0.004194	0.0045	0.9286
33	武装	0.004182	0.0009	4.6299
34	篇文章	0.004182	0.0009	4.6299
35	上降	0.004182	0.0009	4.6299
36	带起	0.004182	0.0009	4.6299
37	科技产业	0.004182	0.0009	4.6299
38	高科技化	0.004182	0.0009	4.6299
39	交通建筑	0.004182	0.0009	4.6299
40	摒弃	0.004182	0.0009	4.6299
41	照搬	0.004182	0.0009	4.6299
42	将整	0.004182	0.0009	4.6299
43	一板一眼	0.004182	0.0009	4.6299
44	论是	0.004182	0.0009	4.6299
45	一步到位	0.004182	0.0009	4.6299
46	让技	0.004182	0.0009	4.6299
47	百分之八十	0.004182	0.0009	4.6299
48	身武	0.004182	0.0009	4.6299
49	内大	0.004182	0.0009	4.6299
50	难搞	0.004182	0.0009	4.6299
51	作是	0.004182	0.0009	4.6299
52	时直	0.004182	0.0009	4.6299
53	将易	0.004182	0.0009	4.6299
54	磷化	0.004182	0.0009	4.6299
55	高尚	0.004182	0.0009	4.6299
56	道德观念	0.004182	0.0009	4.6299
57	对手	0.004182	0.0009	4.6299
58	王占龙	0.004182	0.0009	4.6299
59	张吉亮	0.004182	0.0009	4.6299
60	科协	0.004182	0.0009	4.6299
61	企业	0.004050	0.0027	1.4944
62	时代	0.004032	0.0018	2.2320
63	必须	0.003879	0.0063	0.6135
64	科学技术	0.003824	0.0027	1.4110
65	陈韦钦	0.003816	0.0009	4.2244
66	施后	0.003816	0.0009	4.2244
67	员要	0.003816	0.0009	4.2244
68	组织部门	0.003816	0.0009	4.2244
69	逐步完善	0.003816	0.0009	4.2244
70	小规模	0.003816	0.0009	4.2244
71	训与	0.003816	0.0009	4.2244
72	遥控	0.003816	0.0009	4.2244
73	最常	0.003816	0.0009	4.2244
74	团结一致	0.003816	0.0009	4.2244
75	相隔	0.003816	0.0009	4.2244
76	高度集中	0.003816	0.0009	4.2244
77	精神状态	0.003816	0.0009	4.2244
78	施救	0.003816	0.0009	4.2244
79	好处	0.003816	0.0009	4.2244
80	当前	0.003731	0.0036	1.0326
