Rank	Word	TF-IDF	TF	IDF
1	套筒	0.084388	0.0370	2.2785
2	接收	0.023842	0.0310	0.7691
3	洞门	0.020988	0.0185	1.1334
4	枫瑞路	0.018639	0.0040	4.6299
5	焊缝	0.018281	0.0056	3.2436
6	花苑	0.017006	0.0040	4.2244
7	固体	0.016626	0.0081	2.0649
8	破除	0.014963	0.0072	2.0649
9	斜撑	0.012679	0.0032	3.9367
10	钢环	0.012584	0.0040	3.1258
11	反力	0.008935	0.0056	1.5853
12	复核	0.008015	0.0040	1.9908
13	constructionn	0.007455	0.0016	4.6299
14	河及	0.007455	0.0016	4.6299
15	试压	0.007455	0.0016	4.6299
16	紧固	0.007188	0.0032	2.2320
17	预防措施	0.007116	0.0040	1.7677
18	同轴	0.006803	0.0016	4.2244
19	环板	0.006803	0.0016	4.2244
20	帷幕	0.006662	0.0024	2.7581
21	中心线	0.006650	0.0032	2.0649
22	密闭	0.006483	0.0024	2.6840
23	高压线	0.006339	0.0016	3.9367
24	机钢	0.006339	0.0016	3.9367
25	过渡	0.005876	0.0024	2.4326
26	钢板	0.005693	0.0032	1.7677
27	河桥	0.005686	0.0016	3.5313
28	端盖	0.005686	0.0016	3.5313
29	位移	0.005521	0.0064	0.8571
30	脱落	0.005504	0.0024	2.2785
31	自立	0.005223	0.0016	3.2436
32	二号	0.005223	0.0016	3.2436
33	长为	0.004864	0.0016	3.0204
34	三轴	0.004864	0.0016	3.0204
35	焊接	0.004813	0.0032	1.4944
36	封闭	0.004486	0.0024	1.8573
37	割除	0.004322	0.0016	2.6840
38	渗漏	0.004237	0.0032	1.3157
39	云图	0.004202	0.0024	1.7395
40	安装	0.004189	0.0072	0.5781
41	砂性	0.004009	0.0016	2.4898
42	连接	0.003871	0.0048	0.8012
43	双液	0.003772	0.0024	1.5618
44	模拟计算	0.003748	0.0016	2.3273
45	开孔取	0.003728	0.0008	4.6299
46	吴中区	0.003728	0.0008	4.6299
47	从花苑	0.003728	0.0008	4.6299
48	边至	0.003728	0.0008	4.6299
49	沈巷	0.003728	0.0008	4.6299
50	出外	0.003728	0.0008	4.6299
51	头井为	0.003728	0.0008	4.6299
52	苑路	0.003728	0.0008	4.6299
53	金狮	0.003728	0.0008	4.6299
54	金闾线	0.003728	0.0008	4.6299
55	电力设施	0.003728	0.0008	4.6299
56	或粉	0.003728	0.0008	4.6299
57	号河	0.003728	0.0008	4.6299
58	外挂	0.003728	0.0008	4.6299
59	井前	0.003728	0.0008	4.6299
60	墙止	0.003728	0.0008	4.6299
61	打复	0.003728	0.0008	4.6299
62	搅式	0.003728	0.0008	4.6299
63	疏干井点	0.003728	0.0008	4.6299
64	取芯法	0.003728	0.0008	4.6299
65	免盾	0.003728	0.0008	4.6299
66	进刀	0.003728	0.0008	4.6299
67	内及	0.003728	0.0008	4.6299
68	盾尾太近	0.003728	0.0008	4.6299
69	板顶	0.003728	0.0008	4.6299
70	分三步	0.003728	0.0008	4.6299
71	越过	0.003728	0.0008	4.6299
72	后备	0.003728	0.0008	4.6299
73	第三遍	0.003728	0.0008	4.6299
74	墙边	0.003728	0.0008	4.6299
75	wqh	0.003728	0.0008	4.6299
76	减至	0.003728	0.0008	4.6299
77	水环	0.003728	0.0008	4.6299
78	填角	0.003728	0.0008	4.6299
79	大面	0.003728	0.0008	4.6299
80	实验法	0.003728	0.0008	4.6299
