Rank	Word	TF-IDF	TF	IDF
1	气体	0.011565	0.0075	1.5388
2	国文	0.007733	0.0017	4.6299
3	探明	0.006389	0.0025	2.5504
4	渗水	0.006331	0.0042	1.5163
5	被困	0.005898	0.0017	3.5313
6	破碎机	0.005898	0.0017	3.5313
7	不明	0.005830	0.0025	2.3273
8	交通系统	0.005417	0.0017	3.2436
9	失衡	0.005417	0.0017	3.2436
10	开仓	0.005271	0.0025	2.1041
11	进出	0.004849	0.0033	1.4518
12	卵石	0.004796	0.0042	1.1486
13	风险意识	0.004740	0.0017	2.8381
14	泥水	0.004620	0.0058	0.7904
15	撤离	0.004606	0.0017	2.7581
16	空腔	0.004606	0.0017	2.7581
17	总长	0.004289	0.0025	1.7121
18	塌陷	0.004254	0.0042	1.0189
19	井下	0.004063	0.0017	2.4326
20	意识	0.003972	0.0025	1.5853
21	风险管理	0.003962	0.0075	0.5272
22	管理人员	0.003889	0.0033	1.1641
23	认识水平	0.003866	0.0008	4.6299
24	工为	0.003866	0.0008	4.6299
25	加土压	0.003866	0.0008	4.6299
26	源制	0.003866	0.0008	4.6299
27	未一	0.003866	0.0008	4.6299
28	水帘	0.003866	0.0008	4.6299
29	唐山人	0.003866	0.0008	4.6299
30	经济师	0.003866	0.0008	4.6299
31	待位	0.003866	0.0008	4.6299
32	干缩性	0.003866	0.0008	4.6299
33	富层	0.003866	0.0008	4.6299
34	狠抓	0.003866	0.0008	4.6299
35	计中应	0.003866	0.0008	4.6299
36	姜晓婷	0.003866	0.0008	4.6299
37	王运钢	0.003866	0.0008	4.6299
38	徐岩军	0.003866	0.0008	4.6299
39	薛子斌	0.003866	0.0008	4.6299
40	朱考	0.003866	0.0008	4.6299
41	张云毅	0.003866	0.0008	4.6299
42	郭飞	0.003866	0.0008	4.6299
43	孔恒	0.003866	0.0008	4.6299
44	洞口	0.003799	0.0025	1.5163
45	完善	0.003547	0.0050	0.7079
46	我国	0.003534	0.0058	0.6045
47	不充	0.003528	0.0008	4.2244
48	坠入	0.003528	0.0008	4.2244
49	钢性	0.003528	0.0008	4.2244
50	护筒	0.003528	0.0008	4.2244
51	准备充分	0.003528	0.0008	4.2244
52	崔涛	0.003528	0.0008	4.2244
53	中如	0.003528	0.0008	4.2244
54	逃逸	0.003528	0.0008	4.2244
55	涌砂	0.003514	0.0017	2.1041
56	辨识	0.003449	0.0033	1.0326
57	庞大	0.003449	0.0017	2.0649
58	所以	0.003404	0.0033	1.0189
59	频发	0.003325	0.0017	1.9908
60	十二局	0.003287	0.0008	3.9367
61	大众	0.003287	0.0008	3.9367
62	入侵	0.003287	0.0008	3.9367
63	缺口	0.003287	0.0008	3.9367
64	人流量	0.003287	0.0008	3.9367
65	沙河	0.003287	0.0008	3.9367
66	洞段	0.003287	0.0008	3.9367
67	举办	0.003287	0.0008	3.9367
68	张轲轲	0.003287	0.0008	3.9367
69	出行	0.003155	0.0017	1.8890
70	全国	0.003102	0.0017	1.8573
71	高峰期	0.003101	0.0008	3.7136
72	度上	0.003101	0.0008	3.7136
73	设是	0.003101	0.0008	3.7136
74	超级	0.003101	0.0008	3.7136
75	遇难	0.003101	0.0008	3.7136
76	联动机制	0.003101	0.0008	3.7136
77	工程规划	0.003101	0.0008	3.7136
78	唐晓武	0.003101	0.0008	3.7136
79	朱季	0.003101	0.0008	3.7136
80	刘维	0.003101	0.0008	3.7136
