Rank	Word	TF-IDF	TF	IDF
1	闪长岩	0.015776	0.0042	3.7136
2	建筑物	0.014806	0.0314	0.4710
3	围岩	0.014201	0.0153	0.9286
4	主应力	0.009001	0.0025	3.5313
5	将会	0.008867	0.0051	1.7395
6	模拟	0.008228	0.0093	0.8804
7	雪峰	0.006689	0.0017	3.9367
8	内聚力	0.006689	0.0017	3.9367
9	Nm	0.006689	0.0017	3.9367
10	以后	0.006442	0.0042	1.5163
11	纵剖面	0.005738	0.0017	3.3771
12	折减	0.005738	0.0017	3.3771
13	全性	0.005738	0.0017	3.3771
14	延伸	0.005263	0.0025	2.0649
15	风化	0.005236	0.0059	0.8804
16	规律	0.005097	0.0059	0.8571
17	刚度	0.005079	0.0034	1.4944
18	逐步	0.004728	0.0034	1.3912
19	洞室	0.004561	0.0017	2.6840
20	应力	0.004386	0.0042	1.0326
21	倾斜	0.004233	0.0034	1.2455
22	剪切	0.003955	0.0017	2.3273
23	商业楼	0.003934	0.0008	4.6299
24	道线	0.003934	0.0008	4.6299
25	闪长	0.003934	0.0008	4.6299
26	当埋	0.003934	0.0008	4.6299
27	三侧	0.003934	0.0008	4.6299
28	此工	0.003934	0.0008	4.6299
29	左墙	0.003934	0.0008	4.6299
30	右墙	0.003934	0.0008	4.6299
31	中抗	0.003934	0.0008	4.6299
32	两洞	0.003934	0.0008	4.6299
33	冯涵	0.003934	0.0008	4.6299
34	鼓起	0.003934	0.0008	4.6299
35	毕强	0.003934	0.0008	4.6299
36	李建林	0.003934	0.0008	4.6299
37	红方	0.003934	0.0008	4.6299
38	开挖	0.003896	0.0170	0.2293
39	结束	0.003648	0.0025	1.4312
40	泊松比	0.003645	0.0017	2.1450
41	施加	0.003645	0.0017	2.1450
42	基本功能	0.003589	0.0008	4.2244
43	EMPa	0.003589	0.0008	4.2244
44	深越	0.003589	0.0008	4.2244
45	局部性	0.003589	0.0008	4.2244
46	过大所	0.003589	0.0008	4.2244
47	最主	0.003589	0.0008	4.2244
48	张学民	0.003589	0.0008	4.2244
49	乔世范	0.003589	0.0008	4.2244
50	叶琦	0.003589	0.0008	4.2244
51	虞兴福	0.003589	0.0008	4.2244
52	赵强政	0.003589	0.0008	4.2244
53	邓亮	0.003589	0.0008	4.2244
54	弹性模量	0.003575	0.0017	2.1041
55	区段	0.003546	0.0025	1.3912
56	十二局	0.003345	0.0008	3.9367
57	能会	0.003345	0.0008	3.9367
58	上侧	0.003345	0.0008	3.9367
59	shell	0.003345	0.0008	3.9367
60	等值线	0.003345	0.0008	3.9367
61	保障	0.003267	0.0051	0.6409
62	圆形	0.003266	0.0017	1.9218
63	拱顶	0.003218	0.0025	1.2626
64	同样	0.003218	0.0025	1.2626
65	耦合	0.003175	0.0025	1.2455
66	大时	0.003155	0.0008	3.7136
67	法下	0.003155	0.0008	3.7136
68	倾斜度	0.003155	0.0008	3.7136
69	形量	0.003155	0.0008	3.7136
70	最为	0.003053	0.0017	1.7966
71	稳定性	0.003038	0.0059	0.5108
72	断面	0.003007	0.0042	0.7079
73	太原	0.003000	0.0008	3.5313
74	上将	0.003000	0.0008	3.5313
75	偏斜	0.003000	0.0008	3.5313
76	总体设计	0.003000	0.0008	3.5313
77	长宽	0.003000	0.0008	3.5313
78	变形	0.002983	0.0102	0.2926
79	位移	0.002913	0.0034	0.8571
80	说明	0.002913	0.0034	0.8571
