Rank	Word	TF-IDF	TF	IDF
1	大沟	0.071840	0.0155	4.6299
2	京哈	0.070231	0.0166	4.2244
3	高速路	0.067630	0.0172	3.9367
4	DB	0.019634	0.0050	3.9367
5	力矩	0.014380	0.0044	3.2436
6	桥台	0.012582	0.0039	3.2436
7	隧后	0.010263	0.0022	4.6299
8	补浆	0.008658	0.0039	2.2320
9	试验段	0.007712	0.0044	1.7395
10	桥头	0.007697	0.0017	4.6299
11	搭板	0.007697	0.0017	4.6299
12	mm	0.007561	0.0080	0.9410
13	测点	0.006857	0.0039	1.7677
14	路面	0.006625	0.0044	1.4944
15	环以外	0.006545	0.0017	3.9367
16	TrackTrafficUndergroundEngineering	0.006414	0.0014	4.6299
17	Track	0.006414	0.0014	4.6299
18	桥梁	0.006212	0.0050	1.2455
19	Jul	0.006174	0.0017	3.7136
20	Traffic	0.005853	0.0014	4.2244
21	二次	0.005641	0.0083	0.6786
22	每环	0.005473	0.0039	1.4110
23	监测点	0.005447	0.0044	1.2287
24	扭矩	0.005426	0.0055	0.9792
25	高玉春	0.005131	0.0011	4.6299
26	庄户	0.005131	0.0011	4.6299
27	万盛	0.005131	0.0011	4.6299
28	受群	0.005131	0.0011	4.6299
29	层间	0.005021	0.0017	3.0204
30	点为	0.004863	0.0017	2.9251
31	倾斜	0.004831	0.0039	1.2455
32	值为	0.004759	0.0033	1.4312
33	桥桩	0.004755	0.0022	2.1450
34	源前	0.004682	0.0011	4.2244
35	下部结构	0.004682	0.0011	4.2244
36	东南侧	0.004682	0.0011	4.2244
37	源段	0.004682	0.0011	4.2244
38	双线	0.004436	0.0033	1.3340
39	摩擦	0.004413	0.0022	1.9908
40	左线	0.004391	0.0050	0.8804
41	桥为	0.004363	0.0011	3.9367
42	后部	0.004347	0.0017	2.6150
43	浆液	0.004147	0.0055	0.7483
44	简支梁桥	0.004116	0.0011	3.7136
45	变位	0.004116	0.0011	3.7136
46	各设	0.004116	0.0011	3.7136
47	地下工程	0.003953	0.0039	1.0189
48	抗力	0.003914	0.0011	3.5313
49	右线	0.003889	0.0050	0.7797
50	脱出	0.003795	0.0022	1.7121
51	灌注桩	0.003711	0.0017	2.2320
52	错开	0.003595	0.0011	3.2436
53	变形	0.003567	0.0122	0.2926
54	配合	0.003547	0.0028	1.2800
55	拱顶	0.003498	0.0028	1.2626
56	断面图	0.003464	0.0011	3.1258
57	支座	0.003464	0.0011	3.1258
58	沉降	0.003362	0.0205	0.1640
59	东南	0.003348	0.0011	3.0204
60	摩擦阻力	0.003348	0.0011	3.0204
61	推力	0.003317	0.0044	0.7483
62	除以	0.003242	0.0011	2.9251
63	Vol	0.003195	0.0017	1.9218
64	中砂	0.003146	0.0011	2.8381
65	上方	0.003140	0.0028	1.1334
66	同步	0.002967	0.0061	0.4867
67	注浆	0.002907	0.0177	0.1640
68	圆砾	0.002898	0.0011	2.6150
69	对盾	0.002846	0.0017	1.7121
70	严格控制	0.002823	0.0028	1.0189
71	差值	0.002760	0.0011	2.4898
72	土质	0.002759	0.0017	1.6594
73	北京地铁	0.002717	0.0017	1.6341
74	每隔	0.002696	0.0011	2.4326
75	最小	0.002602	0.0044	0.5868
76	穿越	0.002597	0.0116	0.2231
77	曲线	0.002593	0.0033	0.7797
78	平面图	0.002579	0.0011	2.3273
79	细砂	0.002579	0.0011	2.3273
80	北京住总集团	0.002566	0.0006	4.6299
