Rank	Word	TF-IDF	TF	IDF
1	EPB	0.041896	0.0195	2.1450
2	Nguyen	0.018003	0.0043	4.2244
3	Xuan	0.012058	0.0026	4.6299
4	Loi	0.011692	0.0025	4.6299
5	阮春利	0.011510	0.0025	4.6299
6	博士学位	0.009754	0.0028	3.5313
7	胡志明	0.009500	0.0021	4.6299
8	越南	0.008404	0.0018	4.6299
9	中国地质大学	0.007945	0.0029	2.7581
10	关键技术	0.005918	0.0045	1.3157
11	观测	0.005442	0.0034	1.5853
12	the	0.005274	0.0095	0.5523
13	论文	0.005211	0.0039	1.3340
14	引至	0.005167	0.0012	4.2244
15	河内	0.005115	0.0011	4.6299
16	Minh	0.005115	0.0011	4.6299
17	地表	0.004888	0.0124	0.3958
18	模拟	0.004516	0.0051	0.8804
19	胡志明市	0.004385	0.0009	4.6299
20	Plaxis	0.004350	0.0011	3.9367
21	of	0.003973	0.0077	0.5190
22	Thi	0.003471	0.0007	4.6299
23	一号线	0.003306	0.0014	2.3273
24	Chi	0.003262	0.0008	3.9367
25	Peck	0.003177	0.0012	2.6840
26	这个	0.003111	0.0021	1.5163
27	Ho	0.003107	0.0008	3.9367
28	时候	0.002933	0.0014	2.0649
29	沉降	0.002860	0.0174	0.1640
30	and	0.002837	0.0056	0.5027
31	所以	0.002814	0.0028	1.0189
32	Opera	0.002740	0.0006	4.6299
33	数值	0.002648	0.0044	0.6045
34	House	0.002647	0.0007	3.5313
35	引起	0.002606	0.0067	0.3885
36	预算	0.002576	0.0009	2.8381
37	附件	0.002560	0.0008	3.2436
38	博士	0.002540	0.0015	1.7395
39	曲线	0.002492	0.0032	0.7797
40	Vietnam	0.002375	0.0005	4.6299
41	地基	0.002357	0.0021	1.1486
42	settlement	0.002302	0.0013	1.7677
43	软件	0.002202	0.0022	0.9792
44	Thanh	0.002192	0.0005	4.6299
45	surface	0.002037	0.0010	2.0649
46	shield	0.001994	0.0032	0.6317
47	日本	0.001971	0.0008	2.3786
48	Tunnel	0.001966	0.0019	1.0603
49	而且	0.001929	0.0017	1.1641
50	感谢	0.001928	0.0008	2.3273
51	结果显示	0.001888	0.0008	2.2785
52	construction	0.001869	0.0030	0.6317
53	硕士	0.001865	0.0019	1.0055
54	事项	0.001788	0.0006	3.0204
55	收集	0.001775	0.0017	1.0463
56	老师	0.001768	0.0007	2.4898
57	几乎	0.001714	0.0009	1.8890
58	及其	0.001713	0.0029	0.5868
59	结果	0.001676	0.0054	0.3124
60	in	0.001667	0.0028	0.5868
61	Tran	0.001667	0.0004	4.2244
62	东侧	0.001651	0.0006	2.6150
63	lock	0.001644	0.0004	4.6299
64	组装	0.001621	0.0009	1.7121
65	caused	0.001612	0.0009	1.8573
66	ground	0.001612	0.0010	1.6341
67	土压	0.001593	0.0028	0.5608
68	研究成果	0.001573	0.0013	1.2455
69	kW	0.001524	0.0006	2.7581
70	公式	0.001508	0.0015	1.0326
71	machine	0.001486	0.0009	1.7121
72	然后	0.001480	0.0021	0.7079
73	但是	0.001467	0.0014	1.0326
74	Van	0.001466	0.0004	3.3771
75	吴立	0.001462	0.0003	4.6299
76	Bason	0.001462	0.0003	4.6299
77	成就	0.001408	0.0004	3.2436
78	预测	0.001407	0.0019	0.7279
79	横向	0.001395	0.0011	1.2626
80	制造	0.001389	0.0007	1.9557
