Rank	Word	TF-IDF	TF	IDF
1	挖掘	0.013749	0.0097	1.4110
2	当中	0.008326	0.0037	2.2785
3	以后	0.008311	0.0055	1.5163
4	带来	0.005804	0.0097	0.5956
5	必须	0.005604	0.0091	0.6135
6	操作	0.005522	0.0091	0.6045
7	就要	0.005518	0.0018	3.0204
8	内容	0.005362	0.0061	0.8804
9	该项	0.005225	0.0024	2.1450
10	这时	0.005185	0.0018	2.8381
11	防护	0.005098	0.0043	1.1959
12	作业	0.004978	0.0097	0.5108
13	非常	0.004708	0.0049	0.9663
14	企业	0.004550	0.0030	1.4944
15	充当	0.004523	0.0012	3.7136
16	土层	0.004225	0.0073	0.5781
17	预定	0.004163	0.0018	2.2785
18	技术手段	0.004078	0.0018	2.2320
19	防控	0.004006	0.0030	1.3157
20	不小	0.003951	0.0012	3.2436
21	井口	0.003807	0.0012	3.1258
22	工作人员	0.003749	0.0024	1.5388
23	洞口	0.003694	0.0024	1.5163
24	制订	0.003679	0.0012	3.0204
25	阶段	0.003647	0.0097	0.3743
26	设备	0.003484	0.0122	0.2861
27	以往	0.003205	0.0024	1.3157
28	地形	0.003032	0.0018	1.6594
29	偏移	0.003032	0.0018	1.6594
30	对接	0.002897	0.0012	2.3786
31	位置	0.002892	0.0073	0.3958
32	这种	0.002828	0.0030	0.9286
33	通常	0.002828	0.0030	0.9286
34	社会主义	0.002820	0.0006	4.6299
35	堆砌	0.002820	0.0006	4.6299
36	严要求	0.002820	0.0006	4.6299
37	备来	0.002820	0.0006	4.6299
38	浆层	0.002820	0.0006	4.6299
39	开掘	0.002820	0.0006	4.6299
40	节省成本	0.002820	0.0006	4.6299
41	固定装置	0.002820	0.0006	4.6299
42	及始	0.002820	0.0006	4.6299
43	物来	0.002820	0.0006	4.6299
44	风度	0.002820	0.0006	4.6299
45	完成	0.002798	0.0067	0.4177
46	拼接	0.002775	0.0012	2.2785
47	拆除	0.002770	0.0018	1.5163
48	今后	0.002730	0.0018	1.4944
49	以下几点	0.002719	0.0012	2.2320
50	能够	0.002624	0.0055	0.4788
51	赖阳迅	0.002573	0.0006	4.2244
52	挖成	0.002573	0.0006	4.2244
53	矫正	0.002573	0.0006	4.2244
54	总的来讲	0.002573	0.0006	4.2244
55	黄华	0.002573	0.0006	4.2244
56	史佩军	0.002573	0.0006	4.2244
57	办法	0.002563	0.0012	2.1041
58	协调	0.002542	0.0018	1.3912
59	足够	0.002542	0.0018	1.3912
60	素质	0.002515	0.0012	2.0649
61	巨大	0.002506	0.0018	1.3718
62	受到	0.002473	0.0030	0.8122
63	没有	0.002473	0.0030	0.8122
64	新型	0.002469	0.0012	2.0272
65	相应	0.002455	0.0061	0.4030
66	人口数量	0.002398	0.0006	3.9367
67	高标准	0.002398	0.0006	3.9367
68	隧道口	0.002398	0.0006	3.9367
69	心线	0.002398	0.0006	3.9367
70	风貌	0.002398	0.0006	3.9367
71	风格	0.002398	0.0006	3.9367
72	坡面	0.002398	0.0006	3.9367
73	非常容易	0.002398	0.0006	3.9367
74	张兵	0.002398	0.0006	3.9367
75	彭正勇	0.002398	0.0006	3.9367
76	韩朝	0.002398	0.0006	3.9367
77	流程	0.002374	0.0030	0.7797
78	配合	0.002339	0.0018	1.2800
79	浆液	0.002279	0.0030	0.7483
80	效益	0.002262	0.0012	1.8573
