Rank	Word	TF-IDF	TF	IDF
1	古建筑	0.059995	0.0152	3.9367
2	乡镇	0.016602	0.0036	4.6299
3	巡视	0.011655	0.0063	1.8573
4	保障制度	0.011361	0.0027	4.2244
5	制度	0.008854	0.0063	1.4110
6	偏远	0.008301	0.0018	4.6299
7	文化遗产	0.008301	0.0018	4.6299
8	中华民族	0.008301	0.0018	4.6299
9	保护	0.008228	0.0099	0.8344
10	较强	0.007923	0.0063	1.2626
11	预告	0.007574	0.0018	4.2244
12	遗产	0.007574	0.0018	4.2244
13	强化	0.007106	0.0045	1.5853
14	生产	0.006394	0.0063	1.0189
15	运用	0.006291	0.0081	0.7797
16	精神	0.005604	0.0018	3.1258
17	增强	0.005433	0.0045	1.2121
18	监管	0.005080	0.0027	1.8890
19	挖掘	0.005060	0.0036	1.4110
20	人才	0.004945	0.0018	2.7581
21	几率	0.004812	0.0018	2.6840
22	结合实际	0.004604	0.0027	1.7121
23	有着	0.004328	0.0027	1.6094
24	或是	0.004265	0.0018	2.3786
25	投入	0.004264	0.0027	1.5853
26	整体实力	0.004150	0.0009	4.6299
27	文对	0.004150	0.0009	4.6299
28	地情	0.004150	0.0009	4.6299
29	施工者	0.004150	0.0009	4.6299
30	宏观调控	0.004150	0.0009	4.6299
31	地建	0.004150	0.0009	4.6299
32	演讲比赛	0.004150	0.0009	4.6299
33	竞赛	0.004150	0.0009	4.6299
34	竞宇	0.004150	0.0009	4.6299
35	阳能	0.004150	0.0009	4.6299
36	有碍观瞻	0.004150	0.0009	4.6299
37	应少建	0.004150	0.0009	4.6299
38	古村落	0.004150	0.0009	4.6299
39	古民居	0.004150	0.0009	4.6299
40	修护	0.004150	0.0009	4.6299
41	古建	0.004150	0.0009	4.6299
42	对乡	0.004150	0.0009	4.6299
43	五千年	0.004150	0.0009	4.6299
44	防盗	0.004150	0.0009	4.6299
45	后代人	0.004150	0.0009	4.6299
46	留下来	0.004150	0.0009	4.6299
47	珍贵	0.004150	0.0009	4.6299
48	变迁	0.004150	0.0009	4.6299
49	民情	0.004150	0.0009	4.6299
50	失窃	0.004150	0.0009	4.6299
51	流长	0.004150	0.0009	4.6299
52	博大精深	0.004150	0.0009	4.6299
53	对古	0.004150	0.0009	4.6299
54	世世代代	0.004150	0.0009	4.6299
55	发扬光大	0.004150	0.0009	4.6299
56	群防	0.004150	0.0009	4.6299
57	群策	0.004150	0.0009	4.6299
58	对消	0.004150	0.0009	4.6299
59	雷思	0.004150	0.0009	4.6299
60	张兴莲	0.004150	0.0009	4.6299
61	毁损	0.004150	0.0009	4.6299
62	扎西	0.004150	0.0009	4.6299
63	东周	0.004150	0.0009	4.6299
64	视界	0.004150	0.0009	4.6299
65	功底	0.004150	0.0009	4.6299
66	发挥	0.003904	0.0027	1.4518
67	现代化	0.003846	0.0018	2.1450
68	文化	0.003846	0.0018	2.1450
69	毒性	0.003787	0.0009	4.2244
70	宣传教育	0.003787	0.0009	4.2244
71	史佩军	0.003787	0.0009	4.2244
72	交通不便	0.003787	0.0009	4.2244
73	局面	0.003787	0.0009	4.2244
74	见证	0.003787	0.0009	4.2244
75	华夏	0.003787	0.0009	4.2244
76	于未然	0.003787	0.0009	4.2244
77	高耸	0.003787	0.0009	4.2244
78	文物保护	0.003787	0.0009	4.2244
79	石家庄	0.003773	0.0018	2.1041
80	忽视	0.003635	0.0018	2.0272
