Rank	Word	TF-IDF	TF	IDF
1	年度	0.019241	0.0070	2.7581
2	事件	0.012927	0.0145	0.8922
3	锚索	0.010563	0.0027	3.9367
4	死亡事故	0.010563	0.0027	3.9367
5	伤害	0.010209	0.0064	1.5853
6	基坑	0.010025	0.0080	1.2455
7	挖法	0.008677	0.0048	1.7966
8	accident	0.008468	0.0040	2.1041
9	国内	0.008311	0.0080	1.0326
10	高支模	0.007453	0.0016	4.6299
11	支模	0.007453	0.0016	4.6299
12	引发	0.006992	0.0080	0.8687
13	事故	0.006958	0.0193	0.3602
14	rail	0.006861	0.0038	1.8265
15	剪刀	0.006801	0.0016	4.2244
16	表现	0.006690	0.0059	1.1334
17	transit	0.006527	0.0032	2.0272
18	坠物	0.006338	0.0016	3.9367
19	of	0.006127	0.0118	0.5190
20	高空	0.005761	0.0021	2.6840
21	打击	0.005755	0.0027	2.1450
22	暗挖	0.005622	0.0048	1.1641
23	锚杆	0.005613	0.0021	2.6150
24	不当	0.005519	0.0064	0.8571
25	坠落	0.005439	0.0027	2.0272
26	死亡	0.005156	0.0027	1.9218
27	轻伤	0.005032	0.0016	3.1258
28	物体	0.004983	0.0027	1.8573
29	石杰	0.004969	0.0011	4.6299
30	death	0.004969	0.0011	4.6299
31	特征分析	0.004863	0.0016	3.0204
32	坍塌	0.004802	0.0070	0.6883
33	轨道交通	0.004759	0.0166	0.2861
34	statistics	0.004709	0.0016	2.9251
35	窒息	0.004709	0.0016	2.9251
36	起重	0.004695	0.0021	2.1875
37	伤人	0.004569	0.0016	2.8381
38	支撑体系	0.004569	0.0016	2.8381
39	垫板	0.004534	0.0011	4.2244
40	高处	0.004351	0.0021	2.0272
41	Statistical	0.004321	0.0016	2.6840
42	construction	0.004237	0.0067	0.6317
43	片帮	0.004225	0.0011	3.9367
44	types	0.004008	0.0016	2.4898
45	立杆	0.003986	0.0011	3.7136
46	urban	0.003952	0.0027	1.4729
47	支撑	0.003922	0.0048	0.8122
48	and	0.003912	0.0078	0.5027
49	周期性	0.003790	0.0011	3.5313
50	矿山	0.003786	0.0027	1.4110
51	构筑物	0.003777	0.0038	1.0055
52	车辆	0.003675	0.0021	1.7121
53	增刊	0.003668	0.0016	2.2785
54	边坡	0.003668	0.0016	2.2785
55	放坡	0.003624	0.0011	3.3771
56	年份	0.003481	0.0011	3.2436
57	统计	0.003440	0.0043	0.8012
58	类型	0.003412	0.0059	0.5781
59	the	0.003409	0.0062	0.5523
60	Engi	0.003400	0.0008	4.2244
61	neering	0.003400	0.0008	4.2244
62	地质学	0.003355	0.0011	3.1258
63	domestic	0.003242	0.0011	3.0204
64	LIU	0.003205	0.0016	1.9908
65	支护	0.003195	0.0032	0.9923
66	accidents	0.003148	0.0016	1.9557
67	失稳	0.003111	0.0032	0.9663
68	Distribution	0.003046	0.0011	2.8381
69	波动	0.003029	0.0021	1.4110
70	生产	0.003007	0.0030	1.0189
71	pit	0.002989	0.0008	3.7136
72	逐步	0.002986	0.0021	1.3912
73	规律性	0.002960	0.0011	2.7581
74	法及	0.002960	0.0011	2.7581
75	减压	0.002881	0.0011	2.6840
76	最多	0.002881	0.0011	2.6840
77	in	0.002834	0.0048	0.5868
78	在建	0.002800	0.0016	1.7395
79	火灾	0.002756	0.0016	1.7121
80	重伤	0.002737	0.0011	2.5504
