Rank	Word	TF-IDF	TF	IDF
1	DBN	0.035704	0.0110	3.2436
2	节点	0.026803	0.0212	1.2626
3	水下	0.022787	0.0148	1.5388
4	演化	0.022059	0.0105	2.1041
5	概率	0.012921	0.0147	0.8804
6	推理	0.012088	0.0063	1.9218
7	河道	0.012001	0.0060	1.9908
8	网络	0.011859	0.0118	1.0055
9	赵文	0.010921	0.0024	4.6299
10	贝叶斯	0.010574	0.0076	1.3912
11	管幕	0.010318	0.0026	3.9367
12	贾鹏	0.009707	0.0021	4.6299
13	True	0.008760	0.0024	3.7136
14	时刻	0.008659	0.0042	2.0649
15	动态	0.008537	0.0126	0.6786
16	False	0.008254	0.0021	3.9367
17	演化过程	0.008182	0.0029	2.8381
18	路径	0.008138	0.0045	1.8265
19	时间	0.007020	0.0165	0.4252
20	传递	0.006267	0.0042	1.4944
21	抗弯	0.005207	0.0018	2.8381
22	模型	0.004912	0.0092	0.5355
23	evolution	0.004866	0.0013	3.7136
24	STS	0.004854	0.0010	4.6299
25	到位	0.004508	0.0037	1.2287
26	刘一鹏	0.004426	0.0013	3.3771
27	WBSRBS	0.004247	0.0009	4.6299
28	管理混乱	0.004096	0.0013	3.1258
29	反向	0.004013	0.0018	2.1875
30	后验	0.003958	0.0013	3.0204
31	水压	0.003846	0.0029	1.3340
32	underwater	0.003833	0.0013	2.9251
33	遇见	0.003702	0.0010	3.5313
34	永平	0.003640	0.0008	4.6299
35	新管幕	0.003640	0.0008	4.6299
36	阎石	0.003640	0.0008	4.6299
37	金春福	0.003640	0.0008	4.6299
38	全过程	0.003495	0.0029	1.2121
39	交通流	0.003322	0.0008	4.2244
40	王军武	0.003277	0.0010	3.1258
41	Dynamic	0.003263	0.0013	2.4898
42	网络结构	0.003263	0.0013	2.4898
43	the	0.003112	0.0056	0.5523
44	dynamic	0.003050	0.0013	2.3273
45	静态	0.003050	0.0013	2.3273
46	构建	0.003024	0.0045	0.6786
47	上浮	0.003019	0.0024	1.2800
48	基于	0.002926	0.0081	0.3602
49	不当	0.002920	0.0034	0.8571
50	链式	0.002920	0.0008	3.7136
51	因素	0.002794	0.0136	0.2050
52	构件	0.002780	0.0016	1.7677
53	GeNIe	0.002777	0.0008	3.5313
54	MR	0.002768	0.0007	4.2244
55	一个	0.002720	0.0052	0.5190
56	找出	0.002650	0.0016	1.6854
57	变化趋势	0.002610	0.0010	2.4898
58	培训	0.002576	0.0021	1.2287
59	of	0.002516	0.0048	0.5190
60	灾害	0.002493	0.0016	1.5853
61	观测	0.002493	0.0016	1.5853
62	偏高	0.002458	0.0008	3.1258
63	拓扑	0.002458	0.0008	3.1258
64	翟越	0.002427	0.0005	4.6299
65	灾情	0.002427	0.0005	4.6299
66	赵怡	0.002427	0.0005	4.6299
67	罗军华	0.002427	0.0005	4.6299
68	noisy	0.002427	0.0005	4.6299
69	翼缘板	0.002427	0.0005	4.6299
70	张超哲	0.002427	0.0005	4.6299
71	肋梁	0.002427	0.0005	4.6299
72	变化	0.002360	0.0066	0.3602
73	正向	0.002354	0.0013	1.7966
74	因果	0.002340	0.0010	2.2320
75	事件	0.002338	0.0026	0.8922
76	HR	0.002314	0.0007	3.5313
77	学报	0.002281	0.0042	0.5439
78	障碍物	0.002280	0.0013	1.7395
79	situations	0.002214	0.0005	4.2244
80	陈洁	0.002214	0.0005	4.2244
