Rank	Word	TF-IDF	TF	IDF
1	海底隧道	0.025275	0.0141	1.7966
2	Xi	0.018062	0.0074	2.4326
3	节点	0.016035	0.0127	1.2626
4	推理	0.014645	0.0076	1.9218
5	概率	0.013417	0.0152	0.8804
6	贝叶斯	0.013319	0.0096	1.3912
7	VL	0.012307	0.0031	3.9367
8	FL	0.010855	0.0023	4.6299
9	模糊集	0.009982	0.0035	2.8381
10	网络	0.008448	0.0084	1.0055
11	submarine	0.008280	0.0023	3.5313
12	层级	0.007984	0.0043	1.8573
13	敏感度	0.007973	0.0031	2.5504
14	ISM	0.007866	0.0029	2.6840
15	事中	0.007342	0.0027	2.6840
16	截集	0.007237	0.0016	4.6299
17	FT	0.006900	0.0020	3.5313
18	事后	0.006811	0.0027	2.4898
19	可达	0.006654	0.0027	2.4326
20	诊断	0.006578	0.0031	2.1041
21	the	0.006367	0.0115	0.5523
22	PT	0.006332	0.0014	4.6299
23	inlet	0.006332	0.0014	4.6299
24	conduit	0.006332	0.0014	4.6299
25	事件	0.006276	0.0070	0.8922
26	致因	0.006224	0.0031	1.9908
27	因素	0.006089	0.0297	0.2050
28	事前	0.005984	0.0027	2.1875
29	BN	0.005715	0.0020	2.9251
30	压进	0.005715	0.0020	2.9251
31	先验概率	0.005715	0.0020	2.9251
32	敏感性	0.005710	0.0031	1.8265
33	FH	0.005428	0.0012	4.6299
34	Netica	0.005428	0.0012	4.6299
35	pumping	0.005428	0.0012	4.6299
36	horn	0.005428	0.0012	4.6299
37	因集	0.005384	0.0014	3.9367
38	inflow	0.005384	0.0014	3.9367
39	Xj	0.005384	0.0014	3.9367
40	集合	0.005361	0.0039	1.3718
41	后验	0.005311	0.0018	3.0204
42	of	0.005172	0.0100	0.5190
43	反向	0.005129	0.0023	2.1875
44	可达集	0.005079	0.0014	3.7136
45	interpretative	0.005079	0.0014	3.7136
46	模糊化	0.005070	0.0016	3.2436
47	由式	0.004933	0.0023	2.1041
48	目标	0.004825	0.0059	0.8232
49	structural	0.004702	0.0021	2.1875
50	test	0.004547	0.0020	2.3273
51	fM	0.004523	0.0010	4.6299
52	Ui	0.004436	0.0014	3.2436
53	模糊	0.004413	0.0051	0.8687
54	梭鱼	0.004354	0.0012	3.7136
55	逻辑运算	0.004354	0.0012	3.7136
56	邻接矩阵	0.004354	0.0012	3.7136
57	station	0.004311	0.0016	2.7581
58	积分	0.004140	0.0012	3.5313
59	orthogonal	0.004140	0.0012	3.5313
60	tube	0.004140	0.0012	3.5313
61	IL	0.004127	0.0010	4.2244
62	布尔	0.003959	0.0012	3.3771
63	南站	0.003803	0.0012	3.2436
64	表示	0.003784	0.0043	0.8804
65	专家	0.003780	0.0063	0.6045
66	Bayesian	0.003755	0.0020	1.9218
67	偏高	0.003664	0.0012	3.1258
68	模型	0.003662	0.0068	0.5355
69	卫海宏	0.003618	0.0008	4.6299
70	李继超	0.003618	0.0008	4.6299
71	陶履彬	0.003618	0.0008	4.6299
72	称该	0.003618	0.0008	4.6299
73	ISMFTBN	0.003618	0.0008	4.6299
74	esult	0.003618	0.0008	4.6299
75	dustpan	0.003618	0.0008	4.6299
76	CFD	0.003618	0.0008	4.6299
77	would	0.003618	0.0008	4.6299
78	reasoning	0.003541	0.0012	3.0204
79	正向	0.003510	0.0020	1.7966
80	was	0.003454	0.0020	1.7677
