Rank	Word	TF-IDF	TF	IDF
1	Shapley	0.016828	0.0058	2.9251
2	聚类	0.015301	0.0066	2.3273
3	PCA	0.011915	0.0039	3.0204
4	灰色	0.011620	0.0079	1.4729
5	指标	0.011333	0.0237	0.4788
6	灰类	0.010987	0.0030	3.7136
7	评价	0.010052	0.0191	0.5272
8	安安	0.009766	0.0026	3.7136
9	ijk	0.009766	0.0026	3.7136
10	成分	0.008474	0.0056	1.5163
11	dijk	0.008371	0.0018	4.6299
12	测度	0.008185	0.0033	2.4898
13	高策	0.007610	0.0016	4.6299
14	铁路桥梁	0.007464	0.0023	3.2436
15	白化	0.007325	0.0020	3.7136
16	权函数	0.007325	0.0020	3.7136
17	青岛	0.006775	0.0043	1.5853
18	赋分	0.005555	0.0013	4.2244
19	贡献率	0.005551	0.0016	3.3771
20	出去	0.004883	0.0013	3.7136
21	the	0.004721	0.0085	0.5523
22	马胜彬	0.004624	0.0015	3.1258
23	周勇政	0.004566	0.0010	4.6299
24	赋权	0.004503	0.0026	1.7121
25	关联性	0.004500	0.0023	1.9557
26	矩阵	0.004399	0.0049	0.8922
27	卜泽慧	0.004110	0.0013	3.1258
28	降维	0.003846	0.0013	2.9251
29	失真	0.003846	0.0013	2.9251
30	铁路	0.003828	0.0053	0.7279
31	组合	0.003685	0.0036	1.0189
32	方差	0.003669	0.0016	2.2320
33	思考	0.003669	0.0016	2.2320
34	clustering	0.003662	0.0010	3.7136
35	表示	0.003618	0.0041	0.8804
36	反映	0.003615	0.0039	0.9163
37	专家	0.003577	0.0059	0.6045
38	桥涵	0.003482	0.0010	3.5313
39	铁道	0.003322	0.0053	0.6317
40	向量	0.003157	0.0023	1.3718
41	权重	0.003093	0.0033	0.9410
42	中心点	0.003083	0.0010	3.1258
43	相关系数	0.003060	0.0013	2.3273
44	gray	0.003044	0.0007	4.6299
45	王凯林	0.003044	0.0007	4.6299
46	薛吉岗	0.003044	0.0007	4.6299
47	张玉玲	0.003044	0.0007	4.6299
48	risk	0.003033	0.0041	0.7380
49	指标体系	0.003015	0.0030	1.0189
50	据此	0.002996	0.0013	2.2785
51	老化	0.002935	0.0013	2.2320
52	VS	0.002902	0.0008	3.5313
53	is	0.002856	0.0033	0.8687
54	得到	0.002830	0.0076	0.3743
55	和材	0.002777	0.0007	4.2244
56	of	0.002730	0.0053	0.5190
57	极限	0.002666	0.0013	2.0272
58	值法	0.002647	0.0010	2.6840
59	郭隆彪	0.002588	0.0007	3.9367
60	刘思峰	0.002588	0.0007	3.9367
61	ije	0.002588	0.0007	3.9367
62	安子	0.002588	0.0007	3.9367
63	模糊	0.002570	0.0030	0.8687
64	黄震	0.002515	0.0010	2.5504
65	打分	0.002457	0.0020	1.2455
66	component	0.002442	0.0007	3.7136
67	吴宗华	0.002442	0.0007	3.7136
68	演算	0.002442	0.0007	3.7136
69	单值	0.002442	0.0007	3.7136
70	value	0.002421	0.0012	2.1041
71	信息	0.002385	0.0036	0.6596
72	Qingdao	0.002332	0.0008	2.8381
73	价值	0.002327	0.0020	1.1799
74	周前国	0.002322	0.0007	3.5313
75	覃晓萍	0.002322	0.0007	3.5313
76	等级	0.002280	0.0039	0.5781
77	evaluation	0.002223	0.0016	1.3527
78	grey	0.002220	0.0007	3.3771
79	indexes	0.002220	0.0007	3.3771
80	贾剑青	0.002220	0.0007	3.3771
