Rank	Word	TF-IDF	TF	IDF
1	PCBN	0.048383	0.0130	3.7136
2	Copula	0.032316	0.0100	3.2436
3	Pair	0.031225	0.0067	4.6299
4	BIC	0.015613	0.0034	4.6299
5	DAG	0.015540	0.0037	4.2244
6	AIC	0.013275	0.0034	3.9367
7	函数	0.011772	0.0092	1.2800
8	既有	0.010687	0.0172	0.6225
9	相关系数	0.009988	0.0043	2.3273
10	underneath	0.009462	0.0035	2.6840
11	边缘	0.009426	0.0049	1.9218
12	existing	0.008648	0.0052	1.6594
13	Weibull	0.008516	0.0018	4.6299
14	贝叶斯	0.008103	0.0058	1.3912
15	相关性	0.007776	0.0049	1.5853
16	Gamma	0.007241	0.0018	3.9367
17	蛛网	0.007241	0.0018	3.9367
18	模型	0.007059	0.0132	0.5355
19	of	0.007000	0.0135	0.5190
20	Bayesian	0.006186	0.0032	1.9218
21	化下	0.005677	0.0012	4.6299
22	曾铁梅	0.005556	0.0018	3.0204
23	pa	0.005431	0.0014	3.9367
24	准则	0.005341	0.0049	1.0889
25	变量	0.005267	0.0034	1.5618
26	tunnel	0.005185	0.0061	0.8457
27	节点	0.005032	0.0040	1.2626
28	指标	0.004991	0.0104	0.4788
29	tj	0.004968	0.0011	4.6299
30	network	0.004796	0.0025	1.9557
31	随机变量	0.004630	0.0015	3.0204
32	网络	0.004624	0.0046	1.0055
33	Spearman	0.004554	0.0012	3.7136
34	Normal	0.004554	0.0012	3.7136
35	评价	0.004525	0.0086	0.5272
36	分布	0.004375	0.0084	0.5190
37	and	0.004315	0.0086	0.5027
38	risk	0.004299	0.0058	0.7380
39	shield	0.004163	0.0066	0.6317
40	tunneling	0.004061	0.0040	1.0189
41	最优	0.004006	0.0028	1.4518
42	拟合	0.003945	0.0018	2.1450
43	推进力	0.003909	0.0015	2.5504
44	宏图	0.003885	0.0009	4.2244
45	on	0.003794	0.0057	0.6690
46	et	0.003788	0.0035	1.0745
47	al	0.003738	0.0035	1.0603
48	ZENG	0.003621	0.0009	3.9367
49	百分位	0.003621	0.0009	3.9367
50	Fig	0.003597	0.0018	1.9557
51	基于	0.003588	0.0100	0.3602
52	the	0.003556	0.0064	0.5523
53	Dalong	0.003548	0.0008	4.6299
54	推理	0.003535	0.0018	1.9218
55	联合	0.003475	0.0018	1.8890
56	相依	0.003415	0.0009	3.7136
57	新建	0.003412	0.0025	1.3912
58	优度	0.003106	0.0009	3.3771
59	WANG	0.003100	0.0018	1.6854
60	实测值	0.003053	0.0012	2.4898
61	LIU	0.003052	0.0015	1.9908
62	nx	0.003017	0.0008	3.9367
63	model	0.003013	0.0025	1.2287
64	冯宗宝	0.002983	0.0009	3.2436
65	xn	0.002983	0.0009	3.2436
66	概率	0.002969	0.0034	0.8804
67	检验	0.002890	0.0034	0.8571
68	王坚	0.002839	0.0006	4.6299
69	tjT	0.002839	0.0006	4.6299
70	Sklar	0.002839	0.0006	4.6299
71	级差	0.002839	0.0006	4.6299
72	Exponential	0.002839	0.0006	4.6299
73	pav	0.002839	0.0006	4.6299
74	样本	0.002754	0.0015	1.7966
75	based	0.002677	0.0023	1.1641
76	致险	0.002630	0.0012	2.1450
77	Xi	0.002610	0.0011	2.4326
78	修剪	0.002590	0.0006	4.2244
79	结点	0.002537	0.0009	2.7581
80	Wuhan	0.002486	0.0012	2.0272
