Rank	Word	TF-IDF	TF	IDF
1	样本	0.036898	0.0205	1.7966
2	训练	0.028182	0.0118	2.3786
3	分类器	0.025104	0.0071	3.5313
4	训练样本	0.023466	0.0063	3.7136
5	算法	0.016860	0.0126	1.3340
6	预警	0.016352	0.0174	0.9410
7	订阅	0.012438	0.0032	3.9367
8	建材	0.011860	0.0055	2.1450
9	迭代	0.011529	0.0047	2.4326
10	模型	0.011421	0.0213	0.5355
11	单元	0.010970	0.0087	1.2626
12	采样	0.010670	0.0032	3.3771
13	投稿	0.010010	0.0024	4.2244
14	世界	0.009175	0.0055	1.6594
15	泛化	0.008368	0.0024	3.5313
16	英文	0.008262	0.0032	2.6150
17	数据	0.008206	0.0237	0.3463
18	第卷	0.008058	0.0032	2.5504
19	抽取	0.008058	0.0032	2.5504
20	权值	0.007625	0.0028	2.7581
21	第期	0.007515	0.0032	2.3786
22	准确率	0.007407	0.0024	3.1258
23	李英	0.007314	0.0016	4.6299
24	少数类	0.007314	0.0016	4.6299
25	总用	0.007314	0.0016	4.6299
26	预测	0.006899	0.0095	0.7279
27	推广性	0.006674	0.0016	4.2244
28	不合格率	0.006674	0.0016	4.2244
29	主刀	0.006674	0.0016	4.2244
30	邮局	0.006674	0.0016	4.2244
31	一定量	0.006360	0.0024	2.6840
32	事故	0.005974	0.0166	0.3602
33	武汉理工大学	0.005900	0.0024	2.4898
34	欢迎	0.005867	0.0016	3.7136
35	感知	0.005636	0.0024	2.3786
36	李皓燃	0.005579	0.0016	3.5313
37	构建	0.005360	0.0079	0.6786
38	题名	0.005335	0.0016	3.3771
39	本刊	0.005335	0.0016	3.3771
40	测试	0.005243	0.0032	1.6594
41	宗秋雷	0.004938	0.0016	3.1258
42	随机	0.004787	0.0039	1.2121
43	丁烈	0.004484	0.0016	2.8381
44	几率	0.004240	0.0016	2.6840
45	提取	0.004189	0.0024	1.7677
46	指标体系	0.004024	0.0039	1.0189
47	空间	0.003843	0.0103	0.3743
48	指标	0.003782	0.0079	0.4788
49	次数	0.003757	0.0024	1.5853
50	实时	0.003695	0.0047	0.7797
51	聚类	0.003677	0.0016	2.3273
52	实际	0.003661	0.0190	0.1931
53	李淑娟	0.003657	0.0008	4.6299
54	孙志凌	0.003657	0.0008	4.6299
55	数类	0.003657	0.0008	4.6299
56	以消	0.003657	0.0008	4.6299
57	立方体	0.003657	0.0008	4.6299
58	效验	0.003657	0.0008	4.6299
59	确率	0.003657	0.0008	4.6299
60	华星	0.003657	0.0008	4.6299
61	财会	0.003657	0.0008	4.6299
62	中华人民共和国教育部	0.003657	0.0008	4.6299
63	刊号	0.003657	0.0008	4.6299
64	面向全国	0.003657	0.0008	4.6299
65	办刊	0.003657	0.0008	4.6299
66	新型建材	0.003657	0.0008	4.6299
67	及胶	0.003657	0.0008	4.6299
68	制品	0.003657	0.0008	4.6299
69	学科建设	0.003657	0.0008	4.6299
70	每本	0.003657	0.0008	4.6299
71	期共元	0.003657	0.0008	4.6299
72	汇款	0.003657	0.0008	4.6299
73	珞狮	0.003657	0.0008	4.6299
74	西院	0.003657	0.0008	4.6299
75	订购	0.003657	0.0008	4.6299
76	订数	0.003657	0.0008	4.6299
77	寄送	0.003657	0.0008	4.6299
78	基于	0.003414	0.0095	0.3602
79	特征向量	0.003389	0.0016	2.1450
80	三局	0.003337	0.0008	4.2244
