Rank	Word	TF-IDF	TF	IDF
1	赋权	0.015802	0.0092	1.7121
2	权重	0.014349	0.0152	0.9410
3	可拓	0.014086	0.0068	2.0649
4	指标	0.013066	0.0273	0.4788
5	关联度	0.012924	0.0048	2.6840
6	评价	0.012905	0.0245	0.5272
7	环节	0.012784	0.0108	1.1799
8	安全等级	0.012281	0.0048	2.5504
9	人件	0.011866	0.0028	4.2244
10	组合	0.011040	0.0108	1.0189
11	物元	0.008778	0.0040	2.1875
12	经典	0.008395	0.0032	2.6150
13	节域	0.008131	0.0024	3.3771
14	矩阵	0.007877	0.0088	0.8922
15	偏向	0.007747	0.0028	2.7581
16	赵金先	0.006833	0.0024	2.8381
17	乘法	0.006833	0.0024	2.8381
18	指人件	0.006781	0.0016	4.2244
19	垃圾	0.006641	0.0024	2.7581
20	二级	0.006586	0.0052	1.2626
21	青岛	0.006044	0.0038	1.5853
22	活跃	0.005668	0.0016	3.5313
23	模型	0.005157	0.0096	0.5355
24	第期	0.004772	0.0020	2.3786
25	主观	0.004752	0.0036	1.3157
26	指标体系	0.004498	0.0044	1.0189
27	客观	0.004378	0.0036	1.2121
28	专家	0.004366	0.0072	0.6045
29	求得	0.004188	0.0024	1.7395
30	一级	0.004089	0.0040	1.0189
31	权法	0.004067	0.0020	2.0272
32	测度	0.003996	0.0016	2.4898
33	硬件	0.003905	0.0012	3.2436
34	相乘	0.003905	0.0016	2.4326
35	个公	0.003716	0.0008	4.6299
36	汪青葆	0.003716	0.0008	4.6299
37	测物元	0.003716	0.0008	4.6299
38	对象	0.003677	0.0040	0.9163
39	因子分析	0.003636	0.0012	3.0204
40	构建	0.003540	0.0052	0.6786
41	第个	0.003521	0.0012	2.9251
42	为点	0.003390	0.0008	4.2244
43	取值	0.003314	0.0028	1.1799
44	关联	0.003212	0.0024	1.3340
45	基于	0.003180	0.0088	0.3602
46	第卷	0.003070	0.0012	2.5504
47	黄震	0.003070	0.0012	2.5504
48	黄金	0.002980	0.0008	3.7136
49	探索性	0.002980	0.0008	3.7136
50	下属	0.002980	0.0008	3.7136
51	界面	0.002932	0.0016	1.8265
52	级别	0.002872	0.0020	1.4312
53	或是	0.002863	0.0012	2.3786
54	侧重	0.002834	0.0008	3.5313
55	保证数据	0.002834	0.0008	3.5313
56	等级	0.002784	0.0048	0.5781
57	评级	0.002743	0.0012	2.2785
58	黄俐	0.002710	0.0008	3.3771
59	可拓学	0.002710	0.0008	3.3771
60	第页	0.002710	0.0008	3.3771
61	推行	0.002710	0.0008	3.3771
62	特征值	0.002705	0.0016	1.6854
63	计算	0.002693	0.0076	0.3532
64	吻合	0.002687	0.0012	2.2320
65	层次	0.002608	0.0028	0.9286
66	函数	0.002568	0.0020	1.2800
67	分类	0.002553	0.0024	1.0603
68	薄弱	0.002533	0.0012	2.1041
69	陈自海	0.002509	0.0008	3.1258
70	打分	0.002499	0.0020	1.2455
71	评分	0.002434	0.0016	1.5163
72	总计	0.002424	0.0008	3.0204
73	余群舟	0.002424	0.0008	3.0204
74	张姣	0.002424	0.0008	3.0204
75	刘文	0.002348	0.0008	2.9251
76	推理	0.002314	0.0012	1.9218
77	隶属于	0.002278	0.0008	2.8381
78	小组	0.002274	0.0012	1.8890
79	结果	0.002256	0.0072	0.3124
80	李蒙	0.002214	0.0008	2.7581
