Rank	Word	TF-IDF	TF	IDF
1	初支	0.033166	0.0113	2.9251
2	暗挖	0.023293	0.0200	1.1641
3	二衬	0.016116	0.0053	3.0204
4	粒子	0.014773	0.0049	3.0204
5	AHP	0.012727	0.0089	1.4312
6	元素	0.011428	0.0084	1.3527
7	PSO	0.010511	0.0031	3.3771
8	垫层	0.010206	0.0029	3.5313
9	侵限	0.009760	0.0029	3.3771
10	花岗岩	0.009737	0.0049	1.9908
11	矩阵	0.008728	0.0098	0.8922
12	层次	0.008258	0.0089	0.9286
13	模板	0.007749	0.0031	2.4898
14	权重	0.007740	0.0082	0.9410
15	拆除	0.007079	0.0047	1.5163
16	高大	0.007002	0.0018	3.9367
17	底层	0.006957	0.0036	1.9557
18	爆破	0.006199	0.0029	2.1450
19	背后	0.006188	0.0036	1.7395
20	东兴	0.006176	0.0013	4.6299
21	罗家	0.006176	0.0013	4.6299
22	评价	0.006095	0.0116	0.5272
23	临时	0.005794	0.0042	1.3718
24	问卷	0.005781	0.0031	1.8573
25	围挡	0.005769	0.0018	3.2436
26	WBS	0.005685	0.0031	1.8265
27	BW	0.005635	0.0013	4.2244
28	喷锚	0.005495	0.0016	3.5313
29	RBS	0.005127	0.0027	1.9218
30	格栅	0.005048	0.0016	3.2436
31	支撑体系	0.005048	0.0018	2.8381
32	渐变	0.004954	0.0013	3.7136
33	横杆	0.004954	0.0013	3.7136
34	支撑	0.004875	0.0060	0.8122
35	风化	0.004697	0.0053	0.8804
36	轮廓线	0.004651	0.0018	2.6150
37	支撑架	0.004505	0.0013	3.3771
38	矿山	0.004392	0.0031	1.4110
39	中间层	0.004327	0.0013	3.2436
40	栏杆	0.004327	0.0013	3.2436
41	防护	0.004254	0.0036	1.1959
42	决策	0.004187	0.0040	1.0463
43	质中	0.004117	0.0009	4.6299
44	pbest	0.004117	0.0009	4.6299
45	gbest	0.004117	0.0009	4.6299
46	同级	0.004117	0.0009	4.6299
47	RI	0.004052	0.0018	2.2785
48	通道	0.003919	0.0049	0.8012
49	阶数	0.003902	0.0013	2.9251
50	分析法	0.003762	0.0049	0.7691
51	HP	0.003757	0.0009	4.2244
52	光面	0.003501	0.0009	3.9367
53	煤矿安全	0.003501	0.0009	3.9367
54	一维	0.003488	0.0013	2.6150
55	打分	0.003323	0.0027	1.2455
56	一致性	0.003323	0.0027	1.2455
57	搭设	0.003321	0.0013	2.4898
58	山法	0.003302	0.0009	3.7136
59	喇叭口	0.003302	0.0009	3.7136
60	判断	0.003291	0.0058	0.5694
61	全局	0.003245	0.0013	2.4326
62	最优	0.003228	0.0022	1.4518
63	断面	0.003148	0.0044	0.7079
64	感觉	0.003140	0.0009	3.5313
65	淮南	0.003140	0.0009	3.5313
66	超前	0.003130	0.0024	1.2800
67	防水	0.003106	0.0029	1.0745
68	Vmax	0.003088	0.0007	4.6299
69	max	0.002966	0.0022	1.3340
70	算法	0.002966	0.0022	1.3340
71	PH	0.002884	0.0009	3.2436
72	特征向量	0.002861	0.0013	2.1450
73	rand	0.002818	0.0007	4.2244
74	找到	0.002807	0.0013	2.1041
75	折线	0.002780	0.0009	3.1258
76	煤炭	0.002780	0.0009	3.1258
77	决策矩阵	0.002780	0.0009	3.1258
78	排序	0.002732	0.0022	1.2287
79	准备	0.002704	0.0031	0.8687
80	层次化	0.002686	0.0009	3.0204
