Rank	Word	TF-IDF	TF	IDF
1	页面	0.019949	0.0062	3.2436
2	模块	0.016883	0.0074	2.2785
3	VARCHAR	0.014066	0.0030	4.6299
4	Vue	0.013723	0.0030	4.6299
5	用户	0.011382	0.0049	2.3273
6	数据库	0.011240	0.0067	1.6854
7	信息管理系统	0.011085	0.0028	3.9367
8	功能模块	0.009373	0.0029	3.2436
9	INT	0.008920	0.0019	4.6299
10	SpringBoot	0.007891	0.0017	4.6299
11	登录	0.007513	0.0018	4.2244
12	展示	0.006574	0.0038	1.7395
13	组件	0.006519	0.0023	2.8381
14	UI	0.006518	0.0014	4.6299
15	系统	0.006380	0.0223	0.2861
16	MySQL	0.006175	0.0013	4.6299
17	菜单	0.006175	0.0013	4.6299
18	id	0.006018	0.0017	3.5313
19	数据管理	0.006006	0.0018	3.3771
20	权限	0.005767	0.0021	2.6840
21	总览	0.005757	0.0016	3.5313
22	消息	0.005757	0.0016	3.5313
23	账号	0.005542	0.0014	3.9367
24	参数信息	0.005528	0.0017	3.2436
25	信息	0.005523	0.0084	0.6596
26	录入	0.005288	0.0016	3.2436
27	Echarts	0.005146	0.0011	4.6299
28	留言	0.005146	0.0011	4.6299
29	表单	0.005008	0.0012	4.2244
30	前端	0.004796	0.0021	2.2320
31	管理员	0.004667	0.0012	3.9367
32	评价	0.004493	0.0085	0.5272
33	功能性	0.004403	0.0012	3.7136
34	油水	0.004382	0.0010	4.2244
35	管理系统	0.004278	0.0021	1.9908
36	物资	0.004260	0.0024	1.7966
37	数据	0.004259	0.0123	0.3463
38	开发	0.004210	0.0033	1.2626
39	查询	0.004206	0.0015	2.8381
40	MyBatisPlus	0.004117	0.0009	4.6299
41	框架	0.004105	0.0027	1.5388
42	第五章	0.003905	0.0019	2.0272
43	权重	0.003905	0.0041	0.9410
44	实现	0.003812	0.0090	0.4252
45	图表	0.003785	0.0013	2.8381
46	组间	0.003774	0.0008	4.6299
47	需求	0.003761	0.0034	1.1035
48	CS	0.003756	0.0009	4.2244
49	异常	0.003583	0.0033	1.0745
50	指标	0.003548	0.0074	0.4788
51	功能	0.003540	0.0041	0.8687
52	BS	0.003474	0.0011	3.1258
53	层次	0.003440	0.0037	0.9286
54	Angular	0.003431	0.0007	4.6299
55	React	0.003431	0.0007	4.6299
56	浏览器	0.003431	0.0007	4.6299
57	Element	0.003243	0.0010	3.1258
58	Excel	0.003209	0.0008	3.9367
59	导航	0.003209	0.0008	3.9367
60	检修	0.003172	0.0020	1.5853
61	模糊	0.003154	0.0036	0.8687
62	人员素质	0.003124	0.0010	3.2436
63	普通用户	0.003088	0.0007	4.6299
64	字段名	0.003088	0.0007	4.6299
65	可否	0.003088	0.0007	4.6299
66	架构	0.003039	0.0013	2.2785
67	其余	0.003007	0.0022	1.3527
68	论文	0.002965	0.0022	1.3340
69	图片	0.002884	0.0009	3.2436
70	运维	0.002878	0.0008	3.5313
71	接口	0.002870	0.0013	2.2785
72	折线图	0.002817	0.0007	4.2244
73	显示	0.002780	0.0025	1.1035
74	表格	0.002756	0.0013	2.1875
75	第四章	0.002753	0.0014	1.9557
76	导出	0.002753	0.0008	3.3771
77	体验	0.002745	0.0006	4.6299
78	增删	0.002745	0.0006	4.6299
79	主键	0.002745	0.0006	4.6299
80	删除	0.002644	0.0011	2.3786
