Rank	Word	TF-IDF	TF	IDF
1	gi	0.123929	0.0293	4.2244
2	gij	0.021191	0.0054	3.9367
3	权重	0.016715	0.0178	0.9410
4	Vgij	0.012507	0.0030	4.2244
5	ae	0.012461	0.0027	4.6299
6	Xgi	0.011938	0.0028	4.2244
7	次序	0.011362	0.0034	3.3771
8	评价	0.011281	0.0214	0.5272
9	可拓	0.010837	0.0052	2.0649
10	OWA	0.010568	0.0035	3.0204
11	成分	0.010203	0.0067	1.5163
12	指标	0.010052	0.0210	0.4788
13	xae	0.009969	0.0022	4.6299
14	Cgi	0.009969	0.0022	4.6299
15	xgi	0.009969	0.0022	4.6299
16	物元	0.009420	0.0043	2.1875
17	安安	0.007996	0.0022	3.7136
18	指标值	0.007359	0.0032	2.2785
19	专家	0.007321	0.0121	0.6045
20	节域	0.007271	0.0022	3.3771
21	bij	0.007128	0.0020	3.5313
22	经典	0.006334	0.0024	2.6150
23	XXf	0.006230	0.0013	4.6299
24	关联度	0.005779	0.0022	2.6840
25	三角	0.005690	0.0030	1.9218
26	评分	0.005510	0.0036	1.5163
27	算子	0.005456	0.0027	2.0272
28	函数	0.005340	0.0042	1.2800
29	评物元	0.005048	0.0016	3.1258
30	关联	0.005027	0.0038	1.3340
31	ij	0.005027	0.0038	1.3340
32	xlse	0.004984	0.0011	4.6299
33	XXe	0.004984	0.0011	4.6299
34	ve	0.004984	0.0011	4.6299
35	等级	0.004823	0.0083	0.5781
36	aij	0.004691	0.0019	2.4898
37	二级	0.004587	0.0036	1.2626
38	王建波	0.004583	0.0016	2.8381
39	KjP	0.004548	0.0011	4.2244
40	贡献率	0.004545	0.0013	3.3771
41	xrse	0.004361	0.0009	4.6299
42	简单	0.004358	0.0035	1.2455
43	所建	0.004238	0.0011	3.9367
44	公式	0.004169	0.0040	1.0326
45	文静	0.004065	0.0013	3.0204
46	青岛	0.003840	0.0024	1.5853
47	相关系数	0.003758	0.0016	2.3273
48	模型	0.003747	0.0070	0.5355
49	模糊	0.003741	0.0043	0.8687
50	zgi	0.003738	0.0008	4.6299
51	偏向	0.003712	0.0013	2.7581
52	处理不当	0.003679	0.0016	2.2785
53	准则	0.003517	0.0032	1.0889
54	偏好	0.003492	0.0011	3.2436
55	指标体系	0.003291	0.0032	1.0189
56	耐久度	0.003115	0.0007	4.6299
57	minae	0.003115	0.0007	4.6299
58	rgijXgi	0.003115	0.0007	4.6299
59	rgi	0.003115	0.0007	4.6299
60	jmax	0.003115	0.0007	4.6299
61	一级	0.003017	0.0030	1.0189
62	待评	0.002998	0.0008	3.7136
63	机及	0.002889	0.0011	2.6840
64	取值	0.002858	0.0024	1.1799
65	ma	0.002842	0.0007	4.2244
66	gn	0.002842	0.0007	4.2244
67	agij	0.002842	0.0007	4.2244
68	bgij	0.002842	0.0007	4.2244
69	评估	0.002811	0.0078	0.3602
70	matter	0.002727	0.0008	3.3771
71	we	0.002727	0.0008	3.3771
72	求解	0.002722	0.0016	1.6854
73	risk	0.002682	0.0036	0.7380
74	关于	0.002575	0.0022	1.1959
75	量值	0.002561	0.0011	2.3786
76	落入	0.002524	0.0008	3.1258
77	max	0.002513	0.0019	1.3340
78	AHP	0.002504	0.0017	1.4312
79	得分	0.002501	0.0012	2.0649
80	智库	0.002492	0.0005	4.6299
