Rank	Word	TF-IDF	TF	IDF
1	证据	0.042510	0.0233	1.8265
2	冲突	0.011736	0.0050	2.3273
3	融合	0.011000	0.0056	1.9557
4	xq	0.010775	0.0023	4.6299
5	tq	0.010775	0.0023	4.6299
6	铁路	0.010729	0.0147	0.7279
7	可信度	0.009890	0.0037	2.6840
8	Ar	0.008980	0.0019	4.6299
9	mT	0.008980	0.0019	4.6299
10	区段	0.008634	0.0062	1.3912
11	evidence	0.008219	0.0023	3.5313
12	姚春桥	0.008193	0.0019	4.2244
13	信度	0.007489	0.0027	2.7581
14	Crdmr	0.007184	0.0016	4.6299
15	敏感性	0.006376	0.0035	1.8265
16	空集	0.006108	0.0016	3.9367
17	可信	0.006055	0.0021	2.8381
18	模型	0.006024	0.0112	0.5355
19	评价	0.005726	0.0109	0.5272
20	改进	0.005687	0.0062	0.9163
21	全局	0.005662	0.0023	2.4326
22	因子	0.005396	0.0039	1.3912
23	mr	0.005388	0.0012	4.6299
24	三个	0.005347	0.0050	1.0603
25	赋值	0.005310	0.0027	1.9557
26	焦元	0.004916	0.0012	4.2244
27	时速	0.004850	0.0016	3.1258
28	多源	0.004686	0.0016	3.0204
29	感知	0.004613	0.0019	2.3786
30	Crd	0.004490	0.0010	4.6299
31	influencing	0.004164	0.0016	2.6840
32	of	0.004127	0.0080	0.5190
33	模拟	0.004098	0.0047	0.8804
34	路基	0.004048	0.0023	1.7395
35	函数	0.003972	0.0031	1.2800
36	the	0.003964	0.0072	0.5523
37	隶属	0.003886	0.0027	1.4312
38	正态	0.003863	0.0016	2.4898
39	分配	0.003862	0.0023	1.6594
40	期望	0.003861	0.0019	1.9908
41	新建	0.003777	0.0027	1.3912
42	信任	0.003775	0.0012	3.2436
43	迭代	0.003774	0.0016	2.4326
44	driven	0.003744	0.0014	2.7581
45	and	0.003705	0.0074	0.5027
46	预处理	0.003691	0.0016	2.3786
47	复杂性	0.003661	0.0031	1.1799
48	蒙特卡洛	0.003637	0.0012	3.1258
49	Induced	0.003637	0.0012	3.1258
50	变量	0.003635	0.0023	1.5618
51	高速铁路	0.003602	0.0019	1.8573
52	是域	0.003592	0.0008	4.6299
53	Tj	0.003592	0.0008	4.6299
54	Supmr	0.003592	0.0008	4.6299
55	Rxq	0.003592	0.0008	4.6299
56	Rtq	0.003592	0.0008	4.6299
57	构下	0.003515	0.0012	3.0204
58	概率	0.003415	0.0039	0.8804
59	蒙特	0.003277	0.0008	4.2244
60	张建伟	0.003277	0.0008	4.2244
61	BPA	0.003277	0.0008	4.2244
62	云化	0.003277	0.0008	4.2244
63	nij	0.003277	0.0008	4.2244
64	Monte	0.003277	0.0008	4.2244
65	表达式	0.003204	0.0016	2.0649
66	基本	0.003170	0.0062	0.5108
67	High	0.003145	0.0010	3.2436
68	Deformation	0.003123	0.0012	2.6840
69	何卫	0.003054	0.0008	3.9367
70	Evidence	0.003054	0.0008	3.9367
71	云滴	0.003043	0.0012	2.6150
72	Existing	0.003043	0.0012	2.6150
73	指标	0.002972	0.0062	0.4788
74	敏感度	0.002968	0.0012	2.5504
75	He	0.002912	0.0014	2.1450
76	Ex	0.002897	0.0012	2.4898
77	新加坡	0.002881	0.0008	3.7136
78	平顺	0.002881	0.0008	3.7136
79	Carlo	0.002881	0.0008	3.7136
80	监测点	0.002860	0.0023	1.2287
