Rank	Word	TF-IDF	TF	IDF
1	博弈论	0.023424	0.0075	3.1258
2	赋权	0.020378	0.0119	1.7121
3	评价	0.019058	0.0361	0.5272
4	权重	0.017422	0.0185	0.9410
5	dij	0.013266	0.0029	4.6299
6	模糊	0.011871	0.0137	0.8687
7	指标	0.011820	0.0247	0.4788
8	组合	0.009882	0.0097	1.0189
9	婷婷	0.009822	0.0026	3.7136
10	矩阵	0.008653	0.0097	0.8922
11	ij	0.007645	0.0057	1.3340
12	某号线	0.007449	0.0018	4.2244
13	客观	0.006412	0.0053	1.2121
14	权法	0.006255	0.0031	2.0272
15	算子	0.006255	0.0031	2.0272
16	game	0.006227	0.0018	3.5313
17	weighting	0.005719	0.0018	3.2436
18	单级	0.005587	0.0013	4.2244
19	合成	0.005565	0.0026	2.1041
20	华北	0.005488	0.0022	2.4898
21	线性组合	0.005326	0.0018	3.0204
22	高层次	0.005206	0.0013	3.9367
23	COWA	0.004911	0.0013	3.7136
24	security	0.004733	0.0018	2.6840
25	综合	0.004582	0.0150	0.3057
26	层次	0.004503	0.0048	0.9286
27	evaluation	0.004472	0.0033	1.3527
28	of	0.004461	0.0086	0.5190
29	combination	0.004390	0.0018	2.4898
30	判断	0.004267	0.0075	0.5694
31	Tingting	0.004082	0.0009	4.6299
32	李晓娟	0.004082	0.0009	4.6299
33	YAAHP	0.004082	0.0009	4.6299
34	分析法	0.004069	0.0053	0.7691
35	rij	0.003935	0.0015	2.5504
36	CI	0.003857	0.0018	2.1875
37	max	0.003822	0.0029	1.3340
38	基于	0.003810	0.0106	0.3602
39	隶属	0.003785	0.0026	1.4312
40	姚传勤	0.003724	0.0009	4.2244
41	童张俊	0.003724	0.0009	4.2244
42	Chuanqin	0.003724	0.0009	4.2244
43	王丹	0.003724	0.0009	4.2244
44	为单	0.003724	0.0009	4.2244
45	向量	0.003628	0.0026	1.3718
46	指标体系	0.003593	0.0035	1.0189
47	管理	0.003517	0.0194	0.1813
48	姜伟	0.003471	0.0009	3.9367
49	the	0.003409	0.0062	0.5523
50	二级	0.003339	0.0026	1.2626
51	WS	0.003274	0.0009	3.7136
52	李龙	0.003274	0.0009	3.7136
53	值表	0.003274	0.0009	3.7136
54	management	0.003250	0.0026	1.2287
55	评判	0.003154	0.0022	1.4312
56	无序	0.003113	0.0009	3.5313
57	等价	0.003113	0.0009	3.5313
58	metro	0.003103	0.0024	1.2800
59	TONG	0.003061	0.0007	4.6299
60	Zhangjun	0.003061	0.0007	4.6299
61	安徽	0.002972	0.0018	1.6854
62	学院	0.002958	0.0026	1.1183
63	规范化	0.002952	0.0013	2.2320
64	加权	0.002926	0.0018	1.6594
65	Fuzzy	0.002915	0.0015	1.8890
66	优秀	0.002893	0.0013	2.1875
67	YAO	0.002860	0.0009	3.2436
68	最优化	0.002860	0.0009	3.2436
69	Bi	0.002860	0.0009	3.2436
70	模型	0.002833	0.0053	0.5355
71	Ej	0.002793	0.0007	4.2244
72	陈涛	0.002756	0.0009	3.1258
73	宗秋雷	0.002756	0.0009	3.1258
74	杭州	0.002754	0.0018	1.5618
75	一致性	0.002745	0.0022	1.2455
76	突变	0.002713	0.0018	1.5388
77	OWA	0.002663	0.0009	3.0204
78	确定	0.002649	0.0097	0.2732
79	河道	0.002633	0.0013	1.9908
80	pij	0.002603	0.0007	3.9367
