Rank	Word	TF-IDF	TF	IDF
1	MSRE	0.024300	0.0058	4.2244
2	网络	0.023498	0.0234	1.0055
3	节点	0.022898	0.0181	1.2626
4	演化	0.022527	0.0107	2.1041
5	免疫	0.020925	0.0050	4.2244
6	专业学位	0.012640	0.0048	2.6150
7	介数	0.009113	0.0022	4.2244
8	论文	0.007940	0.0060	1.3340
9	模型	0.007145	0.0133	0.5355
10	事故	0.006733	0.0187	0.3602
11	连边	0.006288	0.0014	4.6299
12	路径	0.005691	0.0031	1.8265
13	网络理论	0.005509	0.0020	2.7581
14	硕士	0.004941	0.0049	1.0055
15	MRSE	0.004439	0.0010	4.6299
16	evolution	0.004154	0.0011	3.7136
17	BC	0.004154	0.0011	3.7136
18	策略	0.003945	0.0029	1.3718
19	the	0.003751	0.0068	0.5523
20	致因	0.003658	0.0018	1.9908
21	of	0.003607	0.0070	0.5190
22	因果关系	0.003599	0.0017	2.1450
23	邻接矩阵	0.003264	0.0009	3.7136
24	中心	0.003109	0.0047	0.6596
25	北京	0.002995	0.0056	0.5355
26	network	0.002969	0.0015	1.9557
27	攻击	0.002967	0.0008	3.7136
28	提取	0.002966	0.0017	1.7677
29	大学	0.002909	0.0054	0.5355
30	聚类	0.002789	0.0012	2.3273
31	世界	0.002784	0.0017	1.6594
32	特征向量	0.002742	0.0013	2.1450
33	EC	0.002700	0.0006	4.2244
34	入度	0.002654	0.0009	3.0204
35	广州	0.002535	0.0022	1.1334
36	and	0.002530	0.0050	0.5027
37	accidents	0.002500	0.0013	1.9557
38	二号线	0.002494	0.0009	2.8381
39	公式	0.002475	0.0024	1.0326
40	加权	0.002386	0.0014	1.6594
41	出度	0.002363	0.0006	4.2244
42	Fig	0.002344	0.0012	1.9557
43	重要性	0.002318	0.0022	1.0745
44	标度	0.002289	0.0014	1.6854
45	特征	0.002287	0.0033	0.6980
46	连通性	0.002248	0.0007	3.1258
47	随机	0.002227	0.0018	1.2121
48	披露	0.002219	0.0005	4.6299
49	总度值	0.002219	0.0005	4.6299
50	蓄意	0.002219	0.0005	4.6299
51	DC	0.002202	0.0006	3.9367
52	accident	0.002185	0.0010	2.1041
53	移除	0.002172	0.0007	3.0204
54	度值	0.002144	0.0008	2.6840
55	邻接	0.002089	0.0008	2.6150
56	属性	0.002052	0.0012	1.7121
57	Gephi	0.002025	0.0005	4.2244
58	复杂	0.002012	0.0085	0.2354
59	五号线	0.001998	0.0006	3.1258
60	四号线	0.001983	0.0007	2.7581
61	三号	0.001944	0.0008	2.4326
62	仿真	0.001929	0.0012	1.6094
63	传播	0.001922	0.0009	2.1875
64	人们	0.001900	0.0012	1.5853
65	两年	0.001889	0.0006	3.3771
66	报警装置	0.001850	0.0004	4.6299
67	抽象	0.001814	0.0006	2.8381
68	Table	0.001811	0.0010	1.8890
69	生产	0.001791	0.0018	1.0189
70	Evolution	0.001780	0.0005	3.7136
71	网络系统	0.001780	0.0005	3.7136
72	拓扑	0.001748	0.0006	3.1258
73	CC	0.001748	0.0006	3.1258
74	号线	0.001702	0.0037	0.4632
75	北京地铁	0.001697	0.0010	1.6341
76	下陷	0.001693	0.0005	3.5313
77	效率	0.001692	0.0024	0.7178
78	一号线	0.001673	0.0007	2.3273
79	points	0.001671	0.0006	2.6150
80	平均	0.001661	0.0018	0.9042
