Rank	Word	TF-IDF	TF	IDF
1	工期	0.027957	0.0344	0.8122
2	征地	0.020264	0.0055	3.7136
3	拆迁	0.017699	0.0055	3.2436
4	层全	0.015588	0.0034	4.6299
5	花岗岩	0.012134	0.0061	1.9908
6	红层	0.012072	0.0033	3.7136
7	总工期	0.009839	0.0028	3.5313
8	样本	0.009804	0.0055	1.7966
9	预测	0.009296	0.0128	0.7279
10	多元回归	0.008338	0.0020	4.2244
11	十三号	0.006621	0.0016	4.2244
12	硬岩	0.006166	0.0038	1.6094
13	华南理工大学	0.006113	0.0021	2.9251
14	前期工作	0.005885	0.0014	4.2244
15	断面	0.005712	0.0081	0.7079
16	模型	0.005689	0.0106	0.5355
17	岩层	0.005677	0.0049	1.1641
18	散点图	0.005460	0.0017	3.2436
19	滞后	0.005274	0.0026	2.0649
20	自变量	0.005262	0.0017	3.1258
21	累计	0.005207	0.0042	1.2287
22	暗挖	0.005136	0.0044	1.1641
23	period	0.005123	0.0019	2.7581
24	残差	0.005028	0.0013	3.9367
25	旧机	0.004838	0.0010	4.6299
26	回归	0.004728	0.0020	2.3273
27	联调	0.004569	0.0010	4.6299
28	复合	0.004553	0.0042	1.0745
29	井口	0.004536	0.0015	3.1258
30	因变量	0.004510	0.0013	3.5313
31	剔除	0.004458	0.0019	2.3273
32	土地	0.004433	0.0037	1.2121
33	论文	0.004337	0.0033	1.3340
34	独立	0.004154	0.0029	1.4312
35	概算	0.004113	0.0010	3.9367
36	计划	0.004041	0.0042	0.9536
37	停工	0.004003	0.0015	2.7581
38	土建	0.003984	0.0019	2.1450
39	一期	0.003949	0.0030	1.3340
40	硕士学位	0.003677	0.0021	1.7121
41	得出	0.003534	0.0050	0.7079
42	新增	0.003530	0.0015	2.4326
43	停机	0.003523	0.0032	1.1035
44	非正常	0.003491	0.0013	2.6150
45	机电	0.003428	0.0013	2.6840
46	专业	0.003297	0.0040	0.8232
47	试运行	0.003199	0.0008	3.9367
48	铺轨	0.003188	0.0008	4.2244
49	实证	0.003113	0.0015	2.1450
50	一号线	0.003107	0.0013	2.3273
51	四号线	0.003042	0.0011	2.7581
52	始发	0.003013	0.0058	0.5190
53	开通	0.002988	0.0014	2.1450
54	迁改	0.002941	0.0009	3.3771
55	竖井	0.002920	0.0016	1.7966
56	增设	0.002809	0.0013	2.1041
57	二十	0.002805	0.0009	3.0204
58	车站	0.002805	0.0029	0.9663
59	阶段	0.002781	0.0074	0.3743
60	九号	0.002742	0.0007	3.9367
61	孤石	0.002702	0.0012	2.3273
62	长度	0.002621	0.0048	0.5439
63	长期	0.002602	0.0017	1.4944
64	考核	0.002602	0.0010	2.4898
65	SPSS	0.002587	0.0007	3.7136
66	线性	0.002545	0.0014	1.8265
67	显著性	0.002493	0.0009	2.6840
68	进度	0.002452	0.0019	1.2800
69	较长时间	0.002448	0.0008	3.2436
70	区段	0.002423	0.0017	1.3912
71	建造	0.002399	0.0013	1.7966
72	原因	0.002386	0.0040	0.5956
73	等待	0.002377	0.0008	2.9251
74	相对误差	0.002371	0.0006	3.7136
75	设计方案	0.002357	0.0015	1.5618
76	机能	0.002352	0.0007	3.3771
77	政策	0.002347	0.0010	2.3786
78	较长	0.002323	0.0015	1.5388
79	预计	0.002321	0.0011	2.1041
80	检验	0.002289	0.0027	0.8571
