Rank	Word	TF-IDF	TF	IDF
1	管廊	0.084915	0.0380	2.2320
2	静态	0.013449	0.0058	2.3273
3	马尔科夫	0.013271	0.0034	3.9367
4	子树	0.012206	0.0029	4.2244
5	事件	0.010742	0.0120	0.8922
6	致因	0.009587	0.0048	1.9908
7	动态	0.009477	0.0140	0.6786
8	事故	0.008933	0.0248	0.3602
9	综合	0.008245	0.0270	0.3057
10	顶上	0.008138	0.0019	4.2244
11	层次	0.006708	0.0072	0.9286
12	链长	0.006689	0.0014	4.6299
13	分类	0.006383	0.0060	1.0603
14	天河	0.006103	0.0014	4.2244
15	地面沉降	0.005793	0.0089	0.6502
16	环境工程	0.005681	0.0026	2.1450
17	补救措施	0.005667	0.0022	2.6150
18	以管	0.005574	0.0012	4.6299
19	消防	0.005467	0.0019	2.8381
20	分析方法	0.004931	0.0039	1.2800
21	底下	0.004879	0.0014	3.3771
22	第期	0.004582	0.0019	2.3786
23	疏散	0.004483	0.0019	2.3273
24	舱室	0.004459	0.0010	4.6299
25	误选	0.004459	0.0010	4.6299
26	转移率	0.004459	0.0010	4.6299
27	链子	0.004459	0.0010	4.6299
28	展览	0.004459	0.0010	4.6299
29	架构	0.004389	0.0019	2.2785
30	思路	0.004381	0.0029	1.5163
31	挖法	0.004326	0.0024	1.7966
32	转移	0.004326	0.0024	1.7966
33	不当	0.004128	0.0048	0.8571
34	合管	0.004069	0.0010	4.2244
35	归于	0.004069	0.0010	4.2244
36	会展	0.004069	0.0010	4.2244
37	定量分析	0.004058	0.0024	1.6854
38	采取相应	0.003964	0.0029	1.3718
39	失误	0.003835	0.0019	1.9908
40	因素	0.003702	0.0181	0.2050
41	第卷	0.003685	0.0014	2.5504
42	备件	0.003577	0.0010	3.7136
43	适配	0.003401	0.0010	3.5313
44	城市	0.003367	0.0238	0.1412
45	智慧	0.003362	0.0014	2.3273
46	模块	0.003292	0.0014	2.2785
47	规格	0.003225	0.0014	2.2320
48	路段	0.003225	0.0014	2.2320
49	合格	0.003146	0.0022	1.4518
50	建立	0.003063	0.0075	0.4104
51	断面图	0.003011	0.0010	3.1258
52	补救	0.003011	0.0010	3.1258
53	表示	0.002968	0.0034	0.8804
54	后退	0.002929	0.0012	2.4326
55	有误	0.002909	0.0010	3.0204
56	定性分析	0.002876	0.0014	1.9908
57	优先	0.002825	0.0014	1.9557
58	评价	0.002793	0.0053	0.5272
59	分析法	0.002778	0.0036	0.7691
60	达标	0.002743	0.0012	2.2785
61	遭遇	0.002634	0.0012	2.1875
62	构建	0.002614	0.0039	0.6786
63	齐全	0.002585	0.0010	2.6840
64	传统	0.002578	0.0029	0.8922
65	辨识	0.002486	0.0024	1.0326
66	故障	0.002411	0.0029	0.8344
67	定性	0.002389	0.0024	0.9923
68	量过大	0.002242	0.0010	2.3273
69	选段	0.002230	0.0005	4.6299
70	相仿	0.002230	0.0005	4.6299
71	表决	0.002230	0.0005	4.6299
72	门来	0.002230	0.0005	4.6299
73	入廊	0.002230	0.0005	4.6299
74	试点	0.002230	0.0005	4.6299
75	分上	0.002230	0.0005	4.6299
76	下舱	0.002230	0.0005	4.6299
77	广花	0.002230	0.0005	4.6299
78	与构	0.002230	0.0005	4.6299
79	因风	0.002230	0.0005	4.6299
80	素险	0.002230	0.0005	4.6299
