Rank	Word	TF-IDF	TF	IDF
1	报警	0.024582	0.0130	1.8890
2	节点	0.018010	0.0143	1.2626
3	故障	0.017957	0.0215	0.8344
4	贝叶斯	0.016711	0.0120	1.3912
5	网络	0.012582	0.0125	1.0055
6	事件	0.011164	0.0125	0.8922
7	先验概率	0.010980	0.0038	2.9251
8	概率	0.010355	0.0118	0.8804
9	Oct	0.009293	0.0025	3.7136
10	RSF	0.009269	0.0020	4.6299
11	RSB	0.009269	0.0020	4.6299
12	Total	0.008117	0.0025	3.2436
13	Gi	0.007929	0.0019	4.2244
14	后验	0.007559	0.0025	3.0204
15	No	0.007266	0.0050	1.4518
16	salt	0.006952	0.0015	4.6299
17	路径	0.006856	0.0038	1.8265
18	符号	0.006088	0.0025	2.4326
19	预测	0.006011	0.0083	0.7279
20	Fault	0.005916	0.0018	3.3771
21	逻辑	0.005845	0.0033	1.7966
22	RTJ	0.005793	0.0013	4.6299
23	推理	0.005771	0.0030	1.9218
24	出版	0.005586	0.0025	2.2320
25	of	0.005585	0.0108	0.5190
26	MODERNTUNNELLINGTECHNOLOGY	0.005286	0.0013	4.2244
27	TUNNELLING	0.005286	0.0013	4.2244
28	概率分布	0.005242	0.0023	2.3273
29	MODERN	0.004926	0.0013	3.9367
30	Fig	0.004894	0.0025	1.9557
31	Vol	0.004809	0.0025	1.9218
32	逻辑关系	0.004762	0.0020	2.3786
33	开舱	0.004758	0.0016	2.9251
34	诊断	0.004739	0.0023	2.1041
35	人舱	0.004647	0.0013	3.7136
36	YG	0.004634	0.0010	4.6299
37	表示	0.004627	0.0053	0.8804
38	网络拓扑	0.004535	0.0015	3.0204
39	或门	0.004229	0.0010	4.2244
40	DP	0.004229	0.0010	4.2244
41	TECHNOLOGY	0.004226	0.0013	3.3771
42	Chengdu	0.004157	0.0014	3.0204
43	模型	0.003886	0.0073	0.5355
44	找到	0.003686	0.0018	2.1041
45	油缸	0.003481	0.0025	1.3912
46	软启	0.003476	0.0008	4.6299
47	defects	0.003476	0.0008	4.6299
48	rocks	0.003380	0.0010	3.3771
49	Bayesian	0.003367	0.0018	1.9218
50	and	0.003271	0.0065	0.5027
51	BZ	0.003171	0.0008	4.2244
52	弧线	0.003171	0.0008	4.2244
53	泵站	0.003023	0.0010	3.0204
54	不准	0.003023	0.0010	3.0204
55	树如图	0.002955	0.0008	3.9367
56	risks	0.002805	0.0023	1.2455
57	叶斯	0.002687	0.0010	2.6840
58	tree	0.002679	0.0011	2.3786
59	失稳	0.002660	0.0028	0.9663
60	每位	0.002651	0.0008	3.5313
61	Ai	0.002651	0.0008	3.5313
62	the	0.002557	0.0046	0.5523
63	勘查	0.002492	0.0010	2.4898
64	致因	0.002491	0.0013	1.9908
65	成都	0.002437	0.0018	1.3912
66	Ri	0.002435	0.0008	3.2436
67	隆起	0.002370	0.0019	1.2626
68	即可	0.002337	0.0018	1.3340
69	RZB	0.002317	0.0005	4.6299
70	或门关	0.002317	0.0005	4.6299
71	中即	0.002317	0.0005	4.6299
72	各根	0.002317	0.0005	4.6299
73	BYG	0.002317	0.0005	4.6299
74	Friendship	0.002317	0.0005	4.6299
75	solubility	0.002317	0.0005	4.6299
76	failures	0.002317	0.0005	4.6299
77	BAi	0.002317	0.0005	4.6299
78	状态	0.002253	0.0065	0.3463
79	为级	0.002248	0.0013	1.7966
80	对模型	0.002234	0.0010	2.2320
