Rank	Word	TF-IDF	TF	IDF
1	池边	0.019268	0.0042	4.6299
2	评价	0.016613	0.0315	0.5272
3	模糊	0.016526	0.0190	0.8687
4	薄壁	0.015069	0.0036	4.2244
5	管桩	0.015069	0.0036	4.2244
6	化工	0.013499	0.0048	2.8381
7	工区	0.010124	0.0036	2.8381
8	福州市	0.009362	0.0024	3.9367
9	接受	0.007822	0.0059	1.3157
10	路站	0.007651	0.0036	2.1450
11	开洞	0.007021	0.0018	3.9367
12	权重	0.006713	0.0071	0.9410
13	极高	0.006503	0.0030	2.1875
14	评语	0.006255	0.0030	2.1041
15	层次	0.006073	0.0065	0.9286
16	孤石	0.005535	0.0024	2.3273
17	评审团	0.005505	0.0012	4.6299
18	福建省	0.005505	0.0012	4.6299
19	塌方	0.005179	0.0036	1.4518
20	现浇	0.005062	0.0018	2.8381
21	软基	0.005023	0.0012	4.2244
22	费康	0.005023	0.0012	4.2244
23	等级	0.004812	0.0083	0.5781
24	Uij	0.004681	0.0012	3.9367
25	土建工程	0.004549	0.0018	2.5504
26	准则	0.004532	0.0042	1.0889
27	详见	0.004492	0.0024	1.8890
28	池传树	0.004416	0.0012	3.7136
29	集是	0.004416	0.0012	3.7136
30	联络	0.004378	0.0030	1.4729
31	综合	0.004362	0.0143	0.3057
32	指标	0.004270	0.0089	0.4788
33	隶属	0.004254	0.0030	1.4312
34	资深	0.004199	0.0012	3.5313
35	应予以	0.004199	0.0012	3.5313
36	福建	0.004151	0.0018	2.3273
37	福州	0.004151	0.0018	2.3273
38	路基	0.004137	0.0024	1.7395
39	评估	0.003854	0.0107	0.3602
40	对象	0.003813	0.0042	0.9163
41	总第	0.003717	0.0012	3.1258
42	突起	0.003717	0.0012	3.1258
43	单个	0.003551	0.0018	1.9908
44	试验	0.003493	0.0036	0.9792
45	端头	0.003414	0.0030	1.1486
46	评判	0.003404	0.0024	1.4312
47	处置	0.003308	0.0024	1.3912
48	一线	0.003191	0.0012	2.6840
49	扭转	0.003191	0.0012	2.6840
50	矩阵	0.003183	0.0036	0.8922
51	中等	0.003086	0.0024	1.2977
52	子集	0.003033	0.0012	2.5504
53	模型	0.002865	0.0054	0.5355
54	参建	0.002828	0.0012	2.3786
55	经验丰富	0.002828	0.0012	2.3786
56	高度重视	0.002828	0.0012	2.3786
57	始发	0.002777	0.0054	0.5190
58	确定	0.002761	0.0101	0.2732
59	船政	0.002753	0.0006	4.6299
60	行从	0.002753	0.0006	4.6299
61	BWR	0.002753	0.0006	4.6299
62	小埋	0.002753	0.0006	4.6299
63	晋安区	0.002753	0.0006	4.6299
64	横屿	0.002753	0.0006	4.6299
65	前横路	0.002753	0.0006	4.6299
66	沿横屿	0.002753	0.0006	4.6299
67	前横	0.002753	0.0006	4.6299
68	段加	0.002753	0.0006	4.6299
69	输电线	0.002753	0.0006	4.6299
70	支变	0.002753	0.0006	4.6299
71	谷昀	0.002753	0.0006	4.6299
72	中青年	0.002753	0.0006	4.6299
73	福鼎市	0.002753	0.0006	4.6299
74	刘观	0.002753	0.0006	4.6299
75	孔令伟	0.002753	0.0006	4.6299
76	丁锋	0.002753	0.0006	4.6299
77	扩建工程	0.002753	0.0006	4.6299
78	杨寿松	0.002753	0.0006	4.6299
79	终压	0.002753	0.0006	4.6299
80	接桩	0.002753	0.0006	4.6299
