Rank	Word	TF-IDF	TF	IDF
1	信阳	0.021246	0.0060	3.5313
2	师范学院	0.021246	0.0060	3.5313
3	贝叶斯	0.012996	0.0093	1.3912
4	评价	0.011520	0.0219	0.5272
5	硕士学位	0.010030	0.0059	1.7121
6	网络	0.009234	0.0092	1.0055
7	概率	0.009060	0.0103	0.8804
8	论文	0.008290	0.0062	1.3340
9	节点	0.006697	0.0053	1.2626
10	模糊	0.006189	0.0071	0.8687
11	损失	0.005569	0.0078	0.7178
12	Yaahp	0.005131	0.0011	4.6299
13	权重	0.004842	0.0051	0.9410
14	到位	0.004572	0.0037	1.2287
15	指标体系	0.004517	0.0044	1.0189
16	CI	0.004416	0.0020	2.1875
17	先验概率	0.004400	0.0015	2.9251
18	进出	0.004253	0.0029	1.4518
19	表示	0.003624	0.0041	0.8804
20	不当	0.003596	0.0042	0.8571
21	模型	0.003476	0.0065	0.5355
22	一致性	0.003254	0.0026	1.2455
23	疏密	0.003234	0.0009	3.7136
24	RI	0.002886	0.0013	2.2785
25	因素	0.002824	0.0138	0.2050
26	性过	0.002566	0.0006	4.6299
27	事故	0.002538	0.0070	0.3602
28	等级	0.002471	0.0043	0.5781
29	CR	0.002435	0.0011	2.2785
30	因果关系	0.002377	0.0011	2.1450
31	构建	0.002256	0.0033	0.6786
32	渗水	0.002161	0.0014	1.5163
33	指标	0.002123	0.0044	0.4788
34	综合	0.002106	0.0069	0.3057
35	max	0.002059	0.0015	1.3340
36	risk	0.001928	0.0026	0.7380
37	the	0.001924	0.0035	0.5523
38	建立	0.001917	0.0047	0.4104
39	后验	0.001913	0.0006	3.0204
40	顶进	0.001912	0.0007	2.6840
41	估计	0.001911	0.0010	1.8573
42	问卷	0.001911	0.0010	1.8573
43	确定	0.001903	0.0070	0.2732
44	接受	0.001875	0.0014	1.3157
45	复测	0.001863	0.0007	2.6150
46	计算	0.001845	0.0052	0.3532
47	Bayesian	0.001826	0.0010	1.9218
48	量化	0.001727	0.0014	1.2121
49	of	0.001685	0.0032	0.5190
50	居民区	0.001674	0.0006	3.0204
51	不愿	0.001674	0.0006	3.0204
52	层次	0.001617	0.0017	0.9286
53	筑物	0.001616	0.0015	1.0745
54	矩阵	0.001554	0.0017	0.8922
55	评估	0.001540	0.0043	0.3602
56	识别	0.001526	0.0022	0.6883
57	周边环境	0.001499	0.0018	0.8232
58	如表	0.001498	0.0021	0.7279
59	专家	0.001484	0.0025	0.6045
60	清单	0.001445	0.0009	1.6594
61	不好	0.001443	0.0006	2.2785
62	and	0.001433	0.0029	0.5027
63	漏浆	0.001385	0.0006	2.1875
64	is	0.001375	0.0016	0.8687
65	附录	0.001369	0.0007	1.9218
66	变量	0.001360	0.0009	1.5618
67	分类	0.001343	0.0013	1.0603
68	分析法	0.001340	0.0017	0.7691
69	人至	0.001338	0.0003	4.2244
70	定位	0.001314	0.0008	1.6594
71	相对	0.001310	0.0027	0.4867
72	发生	0.001303	0.0082	0.1582
73	管线	0.001294	0.0025	0.5272
74	感谢	0.001290	0.0006	2.3273
75	基于	0.001283	0.0036	0.3602
76	得到	0.001274	0.0034	0.3743
77	地铁	0.001261	0.0209	0.0603
78	construction	0.001250	0.0020	0.6317
79	可能性	0.001233	0.0010	1.2977
80	检验	0.001221	0.0014	0.8571
