Rank	Word	TF-IDF	TF	IDF
1	突变	0.034548	0.0225	1.5388
2	级数	0.022954	0.0088	2.6150
3	估值	0.019382	0.0057	3.3771
4	互补	0.014822	0.0044	3.3771
5	评价	0.014151	0.0268	0.5272
6	控制变量	0.013791	0.0037	3.7136
7	隶属	0.012321	0.0086	1.4312
8	函数	0.011019	0.0086	1.2800
9	本体	0.009875	0.0034	2.9251
10	指标	0.007436	0.0155	0.4788
11	接受	0.006219	0.0047	1.3157
12	西站	0.006118	0.0020	3.0204
13	自然	0.005798	0.0041	1.4312
14	指标体系	0.005676	0.0056	1.0189
15	王永祥	0.005475	0.0017	3.2436
16	高风险	0.005166	0.0037	1.3912
17	状态变量	0.005015	0.0014	3.7136
18	等级	0.004879	0.0084	0.5781
19	南昌	0.004791	0.0024	2.0272
20	权法	0.004791	0.0024	2.0272
21	广场	0.004714	0.0020	2.3273
22	庄山站	0.004689	0.0010	4.6299
23	南雄	0.004689	0.0010	4.6299
24	枫生	0.004689	0.0010	4.6299
25	礼庄山	0.004689	0.0010	4.6299
26	层次	0.004389	0.0047	0.9286
27	第卷	0.004305	0.0017	2.5504
28	系上统	0.004279	0.0010	4.2244
29	矩阵	0.004217	0.0047	0.8922
30	燕尾	0.003987	0.0010	3.9367
31	势函数	0.003987	0.0010	3.9367
32	环境工程	0.003983	0.0019	2.1450
33	模型	0.003978	0.0074	0.5355
34	损失	0.003878	0.0054	0.7178
35	施工人员	0.003864	0.0044	0.8804
36	尖点	0.003761	0.0010	3.7136
37	分析法	0.003635	0.0047	0.7691
38	白垩	0.003577	0.0010	3.5313
39	吊装	0.003573	0.0025	1.4110
40	阈值	0.003486	0.0017	2.0649
41	位移	0.003328	0.0039	0.8571
42	累计	0.003318	0.0027	1.2287
43	底层	0.003301	0.0017	1.9557
44	第期	0.003212	0.0014	2.3786
45	靳世鹤	0.003126	0.0007	4.6299
46	魏丹	0.003126	0.0007	4.6299
47	含子	0.003126	0.0007	4.6299
48	周边环境	0.003057	0.0037	0.8232
49	概率	0.002972	0.0034	0.8804
50	监测点	0.002904	0.0024	1.2287
51	德尔菲	0.002897	0.0014	2.1450
52	火灾	0.002890	0.0017	1.7121
53	刘祖容	0.002852	0.0007	4.2244
54	折叠	0.002852	0.0007	4.2244
55	分歧	0.002852	0.0007	4.2244
56	穿孔	0.002852	0.0007	4.2244
57	供水管	0.002793	0.0010	2.7581
58	工程项目	0.002784	0.0030	0.9163
59	补偿	0.002718	0.0010	2.6840
60	蝴蝶	0.002658	0.0007	3.9367
61	模糊	0.002639	0.0030	0.8687
62	裂隙	0.002598	0.0017	1.5388
63	升级	0.002583	0.0010	2.5504
64	忽略	0.002558	0.0020	1.2626
65	耦合	0.002523	0.0020	1.2455
66	燃气管	0.002522	0.0010	2.4898
67	曲面	0.002507	0.0007	3.7136
68	排序	0.002489	0.0020	1.2287
69	得到	0.002464	0.0066	0.3743
70	法对	0.002455	0.0020	1.2121
71	拟建	0.002409	0.0010	2.3786
72	导数	0.002384	0.0007	3.5313
73	碎屑岩	0.002384	0.0007	3.5313
74	溶隙	0.002384	0.0007	3.5313
75	主观性	0.002312	0.0014	1.7121
76	数法	0.002280	0.0007	3.3771
77	任建喜	0.002280	0.0007	3.3771
78	国柱	0.002280	0.0007	3.3771
79	个子	0.002280	0.0007	3.3771
80	一般	0.002278	0.0044	0.5190
