Rank	Word	TF-IDF	TF	IDF
1	agent	0.057535	0.0136	4.2244
2	实验	0.035731	0.0209	1.7121
3	认知	0.026977	0.0123	2.1875
4	PSF	0.016941	0.0037	4.6299
5	个体	0.015352	0.0062	2.4898
6	ABM	0.011450	0.0027	4.2244
7	交互	0.011270	0.0049	2.2785
8	行为	0.009628	0.0073	1.3157
9	模型	0.008346	0.0156	0.5355
10	Agent	0.007216	0.0016	4.6299
11	演化	0.006844	0.0033	2.1041
12	BDI	0.006588	0.0014	4.6299
13	性格	0.005961	0.0013	4.6299
14	再现	0.005647	0.0012	4.6299
15	规则	0.005315	0.0033	1.6341
16	原型	0.005033	0.0014	3.7136
17	它们	0.004992	0.0026	1.8890
18	系统	0.004788	0.0167	0.2861
19	IDA	0.004706	0.0010	4.6299
20	计算	0.004475	0.0127	0.3532
21	构建	0.004414	0.0065	0.6786
22	感知	0.004352	0.0018	2.3786
23	模块	0.004323	0.0019	2.2785
24	情景	0.004253	0.0016	2.6150
25	施工现场	0.004171	0.0047	0.8922
26	系统安全	0.004121	0.0017	2.4326
27	监视	0.004068	0.0012	3.5313
28	操作	0.003891	0.0064	0.6045
29	安全事故	0.003826	0.0044	0.8687
30	Safety	0.003771	0.0027	1.3912
31	应激	0.003765	0.0008	4.6299
32	INTH	0.003765	0.0008	4.6299
33	开发	0.003679	0.0029	1.2626
34	of	0.003622	0.0070	0.5190
35	系统化	0.003568	0.0012	2.9251
36	运行	0.003543	0.0041	0.8571
37	要素	0.003493	0.0023	1.5163
38	所提	0.003468	0.0009	3.9367
39	状态参数	0.003468	0.0009	3.9367
40	DETH	0.003451	0.0007	4.6299
41	TorL	0.003451	0.0007	4.6299
42	Construction	0.003412	0.0042	0.8122
43	机和	0.003397	0.0015	2.2785
44	评估	0.003392	0.0094	0.3602
45	Zhang	0.003372	0.0017	1.9908
46	疲劳	0.003369	0.0012	2.9251
47	Modeling	0.003312	0.0014	2.3273
48	刻画	0.003275	0.0011	3.0204
49	触发	0.003223	0.0014	2.3786
50	建模	0.003223	0.0020	1.5853
51	Based	0.003207	0.0026	1.2455
52	本章	0.003175	0.0020	1.5618
53	心智	0.003137	0.0007	4.6299
54	DESCS	0.003137	0.0007	4.6299
55	INSCS	0.003137	0.0007	4.6299
56	SL	0.003137	0.0007	4.6299
57	模拟	0.003042	0.0035	0.8804
58	信息	0.002950	0.0045	0.6596
59	PL	0.002862	0.0007	4.2244
60	SH	0.002862	0.0007	4.2244
61	主体	0.002841	0.0021	1.3527
62	TorH	0.002823	0.0006	4.6299
63	Simulation	0.002803	0.0010	2.7581
64	视角	0.002740	0.0012	2.3786
65	态势	0.002728	0.0010	2.6840
66	and	0.002725	0.0054	0.5027
67	理解	0.002723	0.0015	1.8265
68	负荷	0.002661	0.0009	3.0204
69	结泥	0.002658	0.0013	2.0649
70	基于	0.002636	0.0073	0.3602
71	Computational	0.002632	0.0007	3.5313
72	更新	0.002578	0.0016	1.5853
73	从人	0.002577	0.0009	2.9251
74	信念	0.002510	0.0005	4.6299
75	微观	0.002418	0.0007	3.2436
76	具体来说	0.002418	0.0007	3.2436
77	人员	0.002403	0.0063	0.3814
78	这些	0.002389	0.0030	0.8012
79	Approach	0.002378	0.0008	2.9251
80	可视化	0.002357	0.0014	1.7395
