Rank	Word	TF-IDF	TF	IDF
1	双模	0.020366	0.0070	2.9251
2	气垫	0.015941	0.0047	3.3771
3	泥岩	0.013364	0.0073	1.8265
4	邕江	0.012961	0.0031	4.2244
5	泥水	0.012126	0.0153	0.7904
6	圆砾	0.011109	0.0042	2.6150
7	双模式	0.010967	0.0026	4.2244
8	复合	0.009891	0.0092	1.0745
9	模式	0.008109	0.0087	0.9286
10	排浆口	0.007898	0.0020	3.9367
11	江段	0.007811	0.0028	2.7581
12	排浆	0.007485	0.0025	3.0204
13	mode	0.007129	0.0024	3.0204
14	dual	0.007012	0.0019	3.7136
15	闸门	0.006698	0.0024	2.8381
16	Fig	0.006462	0.0033	1.9557
17	直排式	0.005982	0.0014	4.2244
18	油缸	0.005910	0.0042	1.3912
19	of	0.005818	0.0112	0.5190
20	铰接	0.005638	0.0028	1.9908
21	黄钟晖	0.005575	0.0014	3.9367
22	螺旋	0.005531	0.0054	1.0189
23	slurry	0.005384	0.0020	2.6840
24	环流	0.005359	0.0019	2.8381
25	南宁市	0.005164	0.0017	3.1258
26	刀具	0.004805	0.0071	0.6786
27	出渣	0.004797	0.0033	1.4518
28	渣土	0.004692	0.0045	1.0463
29	输送机	0.004652	0.0031	1.5163
30	搅拌棒	0.004593	0.0014	3.2436
31	气囊	0.004382	0.0012	3.7136
32	composited	0.004371	0.0009	4.6299
33	江底	0.004214	0.0017	2.5504
34	耐磨性	0.004214	0.0017	2.5504
35	五一	0.003988	0.0009	4.2244
36	面粉	0.003988	0.0009	4.2244
37	转换	0.003940	0.0028	1.3912
38	疏通	0.003921	0.0013	3.0204
39	station	0.003906	0.0014	2.7581
40	MPa	0.003831	0.0028	1.3527
41	冲刷	0.003764	0.0017	2.2785
42	增刊	0.003764	0.0017	2.2785
43	kN	0.003759	0.0019	1.9908
44	针对性	0.003736	0.0054	0.6883
45	Wuyi	0.003278	0.0007	4.6299
46	Xinxiu	0.003278	0.0007	4.6299
47	cake	0.003278	0.0007	4.6299
48	mm	0.003220	0.0034	0.9410
49	and	0.003204	0.0064	0.5027
50	粉砂	0.003193	0.0024	1.3527
51	全断	0.003188	0.0009	3.3771
52	隔板	0.003167	0.0012	2.6840
53	堵塞	0.003121	0.0017	1.8890
54	磨损	0.003086	0.0040	0.7691
55	选型	0.003075	0.0035	0.8687
56	泥饼	0.003018	0.0017	1.8265
57	滚刀	0.003018	0.0017	1.8265
58	撕裂	0.003014	0.0011	2.8381
59	新秀	0.002991	0.0007	4.2244
60	Interchange	0.002991	0.0007	4.2244
61	防泥	0.002991	0.0007	4.2244
62	浆口	0.002991	0.0007	4.2244
63	shield	0.002982	0.0047	0.6317
64	滞排	0.002951	0.0009	3.1258
65	刀盘	0.002933	0.0081	0.3602
66	转矩	0.002851	0.0009	3.0204
67	strata	0.002807	0.0012	2.3786
68	软化	0.002807	0.0012	2.3786
69	仓压	0.002787	0.0007	3.9367
70	compound	0.002787	0.0007	3.9367
71	土压	0.002780	0.0050	0.5608
72	粉细砂	0.002742	0.0017	1.6594
73	土仓内	0.002721	0.0014	1.9218
74	关闭	0.002689	0.0012	2.2785
75	配置	0.002681	0.0026	1.0326
76	缓冲	0.002629	0.0007	3.7136
77	循环	0.002610	0.0021	1.2287
78	圆砾层	0.002604	0.0009	2.7581
79	系统	0.002566	0.0090	0.2861
80	river	0.002534	0.0009	2.6840
